param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
alpha,0.05,10000,1000,0.05,binomial,0.1,781020512,-0.0242731628281943,0.20197028979312326,0.0684964656829834,-0.21733843856757887,0.06571315480112078,0.10117173194885254,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,4204554059,-0.00804190625138962,0.24202276600476652,0.07668375968933105,-0.36847584110713455,0.01729860437247572,0.09184885025024414,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,727841268,0.0050628612949515,0.22919875877743767,0.06938934326171875,-0.20159423680656666,0.0740329537988138,0.08664941787719727,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,259495031,-0.029082588451605877,0.1976706023514632,0.0842893123626709,-0.35822976774838144,0.013329728357163322,0.10022163391113281,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2678185529,-0.007835227070586174,0.26622947489524124,0.07754325866699219,-0.3928690376503787,0.017145410915593243,0.08618021011352539,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,947380072,0.015854942183146675,0.21187552532973655,0.08380508422851562,-0.3963034990487273,0.002317550623593417,0.082122802734375,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,1369685350,-0.02762391720510039,0.19896978527780876,0.08370256423950195,-0.28853686563481507,0.03427953932037233,0.0782158374786377,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2028053869,-0.03234403164431554,0.194781153495596,0.07764720916748047,-0.4175095501093302,0.0031555924729636487,0.07226705551147461,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,470475814,0.014762458925167733,0.23858014889824686,0.07271909713745117,-0.40940736305903463,0.004131513120332131,0.10251212120056152,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2690882795,0.015318322349354407,0.2655529733489531,0.07894110679626465,-0.42645401452435217,0.005409011979584202,0.07599973678588867,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2320123009,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,binomial,0.1,1472501943,-0.029533423117301033,0.19726992195604787,0.06682610511779785,-0.3549734779671048,0.014092238024744517,0.08699345588684082,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,1051880743,-0.010457229987577461,0.26353057757225384,0.07918715476989746,-0.2646422408734741,0.0671676805444544,0.07940053939819336,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,3452587823,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,binomial,0.1,4125618433,-0.009364236141509304,0.21559303861270734,0.07146215438842773,-0.40400386278350064,0.004855350861559648,0.08225250244140625,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2954173373,-0.006276885050661898,0.21846960790830391,0.07554817199707031,-0.409900246855543,0.004068394021554468,0.058547258377075195,ok
alpha,0.05,10000,1000,0.05,binomial,0.1,2841777980,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,binomial,0.1,1346599503,-0.024006209487655417,0.20221030461812547,0.07939410209655762,-0.3512086765259796,0.015000256428667515,0.11561441421508789,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,binomial,0.1,3149462701,-0.3017523242797595,0.029560573508298778,0.09688448905944824,-0.4590741289975161,0.00021345448227817485,0.09755539894104004,ok
