param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
alpha,0.05,10000,1000,0.05,normal,0.1,781020512,-0.01704196670315064,5.8474794144606307e-05,0.07436347007751465,-0.02443953667415189,6.215615599183591e-08,0.08765459060668945,ok
alpha,0.05,10000,1000,0.05,normal,0.1,1369685350,0.04088968968204054,0.0021690995585217435,0.060683250427246094,-0.0036328144871065064,4.206965109847247e-06,0.08826875686645508,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2678185529,-0.01265688515469316,7.94326158309801e-05,0.07059597969055176,-0.010326235598480832,4.3320725415082826e-05,0.09153437614440918,ok
alpha,0.05,10000,1000,0.05,normal,0.1,727841268,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,normal,0.1,4204554059,0.010244531379239906,0.0002220897303323061,0.06440281867980957,0.010454441689546361,0.00022839024305314348,0.09073638916015625,ok
alpha,0.05,10000,1000,0.05,normal,0.1,947380072,0.013213156835751654,1.0428250497246845e-06,0.0746164321899414,-0.3243121700774144,0.1146137427990964,0.08839178085327148,ok
alpha,0.05,10000,1000,0.05,normal,0.1,259495031,-0.0212159127686269,0.00018397436228767992,0.07177495956420898,0.0022059652373323485,9.718337953355749e-05,0.08931303024291992,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2028053869,0.02431309002644557,9.92415298949774e-05,0.06826281547546387,-0.2404630532506404,0.07548104974020449,0.05264091491699219,ok
alpha,0.05,10000,1000,0.05,normal,0.1,470475814,-0.017852402917876438,0.00010028787821500222,0.054988861083984375,-0.024910548100841336,8.739345379700837e-06,0.1129302978515625,ok
alpha,0.05,10000,1000,0.05,normal,0.1,1051880743,0.005735861453089345,0.008022615811312394,0.08616089820861816,-0.1779263211196329,0.008853516448710545,0.09270644187927246,ok
alpha,0.05,10000,1000,0.05,normal,0.1,4125618433,-0.00507515128185024,0.000896655051396087,0.07392024993896484,-0.24660976648310662,0.07370074653876482,0.07998228073120117,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2320123009,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,normal,0.1,2690882795,-0.005345420421393165,0.0006776188205309491,0.0660257339477539,0.013590878713893063,5.03363773732989e-05,0.0638120174407959,ok
alpha,0.05,10000,1000,0.05,normal,0.1,1472501943,0.008696643569445984,0.001230461679989054,0.07104277610778809,-0.0006823765635371962,0.0006604343397228776,0.06701207160949707,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2954173373,0.002437817274051517,0.006354153333243758,0.06894731521606445,-0.06324271219126505,0.0001969086386782259,0.06898951530456543,ok
alpha,0.05,10000,1000,0.05,normal,0.1,3452587823,-0.0019640611330368632,0.00046479262980852836,0.06433916091918945,-0.04249283382185209,0.003854897705807858,0.07609939575195312,ok
alpha,0.05,10000,1000,0.05,normal,0.1,1346599503,0.013272103404593089,0.0037060657318969325,0.06827759742736816,-0.7512579849580784,0.49512701451461294,0.11892390251159668,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2841777980,0.02112843019841056,0.00016491595067483236,0.07532596588134766,-0.24369091734905082,0.07709580201238421,0.12133955955505371,ok
alpha,0.05,10000,1000,0.05,normal,0.1,1989427189,0.00218971057173628,0.0007632938403207885,0.0991215705871582,0.02536418219679123,1.9831893036353126e-05,0.09229922294616699,ok
alpha,0.05,10000,1000,0.05,normal,0.1,2387800701,-0.01680890952654511,2.78490305668395e-05,0.09231233596801758,-0.03045720290924104,0.00035817498377662587,0.08650016784667969,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,567857515,-0.04211969768373995,6.596063035947488e-05,0.08662152290344238,-0.019143210948106296,0.00022066721400548347,0.08354496955871582,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,839291543,-0.0442287804593389,0.0006977580256077117,0.08793234825134277,-0.06580493354534352,2.3415502054577865e-05,0.07397675514221191,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3149462701,-0.029491623543002363,7.830290588670298e-05,0.08119845390319824,-0.032909567911026706,2.949520216013756e-05,0.0667107105255127,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3607595641,0.015320689481256446,4.964303178598194e-06,0.07021665573120117,0.009204988947854178,1.5113658507690253e-05,0.05914187431335449,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,2965783971,0.019228168082962894,5.749101428193831e-05,0.12458229064941406,0.011201624332833336,1.9736768501077354e-07,0.08817148208618164,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3935420626,-0.05345766067054382,1.0626561094098843e-06,0.10657310485839844,-0.046417054177003106,3.6117147536422397e-05,0.11340498924255371,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,2878366397,-0.00823086697535276,0.0004069919344369647,0.0980384349822998,0.004470475623973814,5.584122293103732e-05,0.07551813125610352,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3722008050,-0.008664244613027536,1.0191710701898964e-05,0.07493829727172852,-0.005965158761935503,2.434041189230392e-07,0.07050132751464844,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,4158125581,0.009498205630900234,5.4329970839413894e-05,0.07779073715209961,0.0041659634062083265,4.156071323028323e-06,0.06618714332580566,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3668915175,0.030088668277763117,0.00021636992869834392,0.0632162094116211,0.04102645755579641,1.4225939835738297e-05,0.0682213306427002,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3690036118,-0.04836183541847045,9.158552735427232e-05,0.055927276611328125,-0.03270679205203654,3.7027353872621225e-05,0.045601606369018555,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,1297834098,0.022089663583339705,5.737447741712914e-05,0.06388735771179199,0.030526022571067086,7.426385354350028e-07,0.05029106140136719,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,4147998539,0.0062850547513502225,0.0002843207694383757,0.08147501945495605,-0.01313305806988472,6.534663956377243e-06,0.1150672435760498,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,1671550611,-0.0011938269308587877,0.0005209038656783708,0.08943843841552734,0.019498995392271908,4.539013803384598e-06,0.1063230037689209,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,3425846353,-0.020738522401839116,0.00024816667005775545,0.07639288902282715,-0.041850040706025236,2.8710432250503265e-05,0.09207868576049805,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,2785251670,-0.008663821891951312,9.548438549818648e-05,0.06256318092346191,-0.015583918212322866,8.131137124565008e-06,0.060506343841552734,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,1331297472,-0.0358409312729204,1.4791138382560562e-05,0.07200980186462402,-0.03463205472741934,2.555101771405706e-05,0.07859182357788086,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,2118991218,-0.012803145488564842,7.099137872009357e-05,0.07730579376220703,-0.002922674351835942,2.1165389354690037e-06,0.07302260398864746,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,normal,0.1,2932353902,0.017890252785883767,2.0424448282303266e-05,0.06947851181030273,0.015093064752635924,2.9658128254772763e-06,0.06834173202514648,ok
