param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
alpha,0.05,10000,1000,0.05,standard_t,0.1,2678185529,-0.0029233748558545325,0.0030879765591594025,0.0746145248413086,0.029288691975555795,0.0005455727227427465,0.08613920211791992,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,781020512,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,standard_t,0.1,4204554059,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,standard_t,0.1,1369685350,0.0082119126227912,0.0437833184649158,0.07747435569763184,0.2103507163158889,5.04928789274612e-05,0.07662034034729004,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,259495031,0.02587840632158562,0.0027038233682585813,0.0767371654510498,-0.014475098765841032,0.00013560128558947633,0.0871877670288086,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,2028053869,0.002208937928196195,0.19568777494308182,0.07738637924194336,0.2681335090571853,0.031131616506170925,0.0846092700958252,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,727841268,0.0064879432802154285,0.08192590925003623,0.07878708839416504,-0.24930077520178434,0.0009264904409077989,0.08420324325561523,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,947380072,0.03266088702491337,0.006392842470073421,0.07727742195129395,0.08617219372809375,0.0006992822917073128,0.07066512107849121,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,470475814,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,standard_t,0.1,1472501943,-0.005538244800416804,0.09105820298159253,0.07147049903869629,-0.23657693591328355,0.28387286567833303,0.07916641235351562,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,1051880743,0.005976443070358997,0.026168202484126105,0.06125926971435547,-0.23828313155555153,0.006805208351646621,0.09494423866271973,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,4125618433,-0.014306399247386008,0.04888002929833237,0.08230924606323242,-0.1693602460692191,0.004360546886348935,0.08323359489440918,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,2690882795,0.002036980159169113,0.003522281717873399,0.08027982711791992,0.005484855601427563,0.003124914926613032,0.08953022956848145,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,2320123009,-0.001542877531628176,0.0027661450842946644,0.07297420501708984,-0.04701614485070232,5.0707033800033865e-05,0.09396600723266602,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,2954173373,-0.0004057257364612067,0.026577870724660748,0.07698202133178711,0.1046738180061237,0.003357931855585939,0.07540106773376465,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,3452587823,0.003477711945385573,0.0028537518061145166,0.07565522193908691,-0.23900921797639121,0.08756121808303255,0.07767128944396973,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,2841777980,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,standard_t,0.1,1346599503,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,standard_t,0.1,2387800701,0.02039023542021715,0.05059980086668075,0.07581686973571777,0.12877483680341104,0.01358609223001668,0.06909918785095215,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,839291543,0.10576252209571546,0.0044096618187404405,0.08755874633789062,0.15758178664035047,0.0002127519801622845,0.0927884578704834,ok
alpha,0.05,10000,1000,0.05,standard_t,0.1,1989427189,-0.00398895766474696,0.00929317639112239,0.059247732162475586,-0.08941375298452947,0.00012047975516340452,0.08910965919494629,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,567857515,0.14839732858446142,0.005506922840698526,0.07660770416259766,0.22059956539819875,4.025669699205477e-06,0.09384751319885254,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3607595641,-0.36010716210895743,0.04326621858197642,0.08600592613220215,-0.6005427759382104,0.001051723110682945,0.08016395568847656,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3149462701,0.054254051368034746,0.0007095219771119931,0.08077740669250488,0.067852653308412,0.0001699960099638559,0.11934447288513184,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,2965783971,-0.1850124896577013,0.012569893328190675,0.08833503723144531,-0.28783570138039194,8.634728348139688e-05,0.16848087310791016,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3935420626,0.34379453485584066,0.04238670856683373,0.10431218147277832,0.5263891331636226,0.0005422251065745351,0.14907264709472656,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,2878366397,0.3654857676190412,0.05526655573210931,0.09965229034423828,0.5690961535523444,0.0009908653585431267,0.09692025184631348,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,1297834098,-0.2132648612443634,0.010870528157180996,0.09023213386535645,-0.30859432049988145,7.978715820873767e-05,0.0873415470123291,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3668915175,-0.0800399842218073,0.0011655622063162206,0.08665847778320312,-0.11760128062626923,1.1703003744737222e-05,0.10232353210449219,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,4158125581,0.2903925677604256,0.02894748962197573,0.08299970626831055,0.4391677889445896,0.00045643745240823893,0.0931403636932373,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3722008050,-0.16246558936108613,0.005870293690215337,0.09436798095703125,-0.23592140557644403,9.998406133271744e-06,0.0895380973815918,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3690036118,0.19469314435048832,0.007766027426623889,0.08369255065917969,0.2411868942413944,0.0017331665608693574,0.07341814041137695,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,4147998539,0.15005430061424874,0.008503614498306718,0.12604594230651855,0.23415959150089294,6.576810948856451e-05,0.11860346794128418,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,3425846353,0.12321072082621856,0.004684142918687513,0.12250256538391113,0.18776134413588186,1.5133464112497019e-05,0.12765908241271973,ok
alpha,0.33214285714285713,10000,1000,0.33214285714285713,standard_t,0.1,1671550611,0.0667932641733705,0.0025142509661656505,0.12940502166748047,0.11487410419171208,4.249646728359189e-06,0.13823223114013672,ok
