param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
alpha,0.05,10000,1000,0.05,uniform,0.1,259495031,0.010823071295109768,0.0001171374053355432,0.08933472633361816,-0.16825935895710406,0.028311234682051687,0.1833956241607666,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,947380072,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,uniform,0.1,1369685350,-0.013838558375626262,0.00019150150775526381,0.09965991973876953,-0.01684954744218987,0.00028390214714753075,0.14567279815673828,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,781020512,-0.0005359764485072144,2.8733041710174395e-07,0.12250351905822754,-5.81466290416421e-05,3.3875059883369064e-09,0.16902375221252441,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,727841268,-0.001617264033479836,2.6158831674347755e-06,0.09469246864318848,-0.23248199525015004,0.05404792701965576,0.15355944633483887,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,2028053869,0.0017793963667716228,3.1664480436029276e-06,0.10694146156311035,-0.015208553823435509,0.00023129842896782923,0.1157987117767334,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,2678185529,0.009260184363789854,8.57555392017954e-05,0.09700536727905273,-0.0027519107437270402,7.5716681686075255e-06,0.11674237251281738,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,4204554059,0.004944415768334991,2.444798931588656e-05,0.08129596710205078,-0.18428724999420548,0.03396176285401164,0.09537506103515625,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,1051880743,0.017642523612325683,0.00031127171377398117,0.06926155090332031,-0.0007908939042709668,6.249272027294923e-07,0.09302043914794922,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,2690882795,,nan,nan,,nan,nan,error: IndexError('list index out of range')
alpha,0.05,10000,1000,0.05,uniform,0.1,2320123009,0.020646265331130346,0.0004262643378779533,0.07986807823181152,-0.01090986299581291,0.00011902718952831889,0.08977794647216797,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,470475814,-0.00445519854143919,1.9847635047822876e-05,0.07914328575134277,-0.005333294810459155,2.8442646104118805e-05,0.08836746215820312,ok
alpha,0.05,10000,1000,0.05,uniform,0.1,3452587823,0.0019763348750030355,3.906160918942967e-06,0.07910823822021484,-0.23581334115440322,0.05560790067936157,0.08490777015686035,ok
