param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
m,80,10000,80,0.6,uniform,0.1,781020512,-0.008432631760468531,7.111447881403796e-05,0.007247447967529297,-0.006537268285905249,4.2739908198460615e-05,0.007487773895263672,ok
m,80,10000,80,0.6,uniform,0.1,2678185529,0.028019079291756056,0.00078516674922956,0.0077321529388427734,-0.007041824642736336,4.956268237285127e-05,0.008056402206420898,ok
m,80,10000,80,0.6,uniform,0.1,727841268,0.00044232275136039435,1.9527459852712454e-07,0.005495309829711914,0.019439605247977474,0.00037788177164203233,0.010118961334228516,ok
m,80,10000,80,0.6,uniform,0.1,4204554059,-0.012516361183243946,0.00015668598341820976,0.010769844055175781,0.012265285573388317,0.0001504110816165235,0.010331869125366211,ok
m,80,10000,80,0.6,uniform,0.1,947380072,-0.001780640674901488,3.1713537139064675e-06,0.008133649826049805,-0.0007191628052412947,5.174667704300306e-07,0.008263587951660156,ok
m,80,10000,80,0.6,uniform,0.1,259495031,0.006942736959644245,4.82080116591176e-05,0.005831241607666016,0.008211624214500756,6.743835983580124e-05,0.006018400192260742,ok
m,80,10000,80,0.6,uniform,0.1,2028053869,-0.01112728337360862,0.00012379196608258895,0.007808208465576172,0.005413868126954217,2.932187513428229e-05,0.00763249397277832,ok
m,80,10000,80,0.6,uniform,0.1,1369685350,-0.0011801135287151667,1.395083456926037e-06,0.0068318843841552734,0.018878901574847253,0.00035637430016657406,0.007787942886352539,ok
m,80,10000,80,0.6,uniform,0.1,470475814,-0.020188649410017058,0.000407560515718794,0.0069217681884765625,-0.009032769640515222,8.158150969654238e-05,0.007819414138793945,ok
m,80,10000,80,0.6,uniform,0.1,1051880743,0.003179066304479181,1.0115540980837486e-05,0.0076062679290771484,-0.0099692443420234,9.93573721557697e-05,0.008697748184204102,ok
m,80,10000,80,0.6,uniform,0.1,2320123009,0.004543649190814877,2.064176622573352e-05,0.0059909820556640625,-0.018680946812443703,0.00034899003362283214,0.01006317138671875,ok
