param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
n,40,40,1000,0.6,normal,0.1,781020512,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,2678185529,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,727841268,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,4204554059,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,947380072,-0.17295583801200454,0.042151554082731954,0.0009720325469970703,-0.3290740325161732,0.1306292095720143,0.001561880111694336,ok
n,40,40,1000,0.6,normal,0.1,259495031,0.27414287005288646,0.07747744244811189,0.0006296634674072266,-0.5204301481108325,0.2664885784588873,0.0020542144775390625,ok
n,40,40,1000,0.6,normal,0.1,1369685350,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,2028053869,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,normal,0.1,470475814,0.16974944886883628,0.038731497040910556,0.0004985332489013672,0.007172742338744764,0.0011714524223207594,0.0011632442474365234,ok
n,40,40,1000,0.6,normal,0.1,1051880743,-0.2922643753646845,0.042269918164675124,0.0005483627319335938,-0.26439959652133815,0.031588562416561106,0.0011746883392333984,ok
n,40,40,1000,0.6,normal,0.1,2690882795,-0.1039187885566824,0.022898993107540195,0.0004086494445800781,0.1479014128104626,0.010099459837386545,0.0006852149963378906,ok
n,40,40,1000,0.6,normal,0.1,2320123009,-0.2239293030674251,0.009846056228895492,0.00035452842712402344,0.001286476099658951,0.015873097944801347,0.0009860992431640625,ok
n,40,40,1000,0.6,normal,0.1,4125618433,-0.2626263101361605,0.10442051988462847,0.0005178451538085938,-0.020651633054409924,0.0065880759655091185,0.0015630722045898438,ok
n,40,40,1000,0.6,normal,0.1,1472501943,-0.08476330540408841,0.010193768401544663,0.0003330707550048828,-0.01180625086650905,0.0007843998418588746,0.0006809234619140625,ok
n,40,40,1000,0.6,normal,0.1,2954173373,-0.21586833157825605,0.04826958362526335,0.0005724430084228516,-0.08603679084793814,0.008076950946933456,0.0015816688537597656,ok
n,40,40,1000,0.6,normal,0.1,2841777980,-0.2085024042147953,0.03898706987566751,0.00045609474182128906,0.01828146620374605,0.0008603916647666252,0.001220703125,ok
n,40,40,1000,0.6,normal,0.1,3452587823,0.06920439570104114,0.0012500752361881639,0.0006361007690429688,0.20979898668842323,0.030958752300523917,0.0017957687377929688,ok
