param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
n,40,40,1000,0.6,standard_t,0.1,781020512,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,2678185529,-0.193379947981948,0.047615965487818865,0.0006310939788818359,-0.4001914812666259,0.00012994392164570475,0.0011899471282958984,ok
n,40,40,1000,0.6,standard_t,0.1,727841268,0.10278935621562098,0.4712732827677903,0.00047659873962402344,-0.4336391834822054,0.022519482960153728,0.0019443035125732422,ok
n,40,40,1000,0.6,standard_t,0.1,4204554059,0.3612171302793912,0.006675923002292767,0.0004649162292480469,0.29208067179264735,0.00015800146066904304,0.0012824535369873047,ok
n,40,40,1000,0.6,standard_t,0.1,947380072,0.37718328964672726,0.179814435350155,0.0005090236663818359,0.15967855407712203,0.04265901395994339,0.0012803077697753906,ok
n,40,40,1000,0.6,standard_t,0.1,259495031,-0.1495441246616441,0.03548901182902373,0.001961946487426758,-0.19594307745363593,0.020160115688276015,0.0016644001007080078,ok
n,40,40,1000,0.6,standard_t,0.1,1369685350,-0.20126449532745677,0.3018269619277985,0.0008208751678466797,0.6164157449115164,0.07198083000308683,0.0014946460723876953,ok
n,40,40,1000,0.6,standard_t,0.1,2028053869,-0.30000000000000004,0.149078965102601,0.0004878044128417969,0.16289485413030202,0.005896305004075787,0.0013935565948486328,ok
n,40,40,1000,0.6,standard_t,0.1,1051880743,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,470475814,0.20939729375975596,0.0013599871697001526,0.00047016143798828125,0.042017314548261374,0.017030765567096352,0.0011682510375976562,ok
n,40,40,1000,0.6,standard_t,0.1,2690882795,-0.13141108331151874,0.000812044892959588,0.0003559589385986328,-0.13409254041486482,0.0009720588610840648,0.0006837844848632812,ok
n,40,40,1000,0.6,standard_t,0.1,4125618433,-0.24289689907006867,0.5074248828507715,0.00032901763916015625,0.15316260739538445,0.1000318442056483,0.00106048583984375,ok
n,40,40,1000,0.6,standard_t,0.1,2320123009,-0.2327350547874635,0.2288359450437094,0.00043487548828125,0.08211993181464089,0.026736506104100204,0.0012080669403076172,ok
n,40,40,1000,0.6,standard_t,0.1,2954173373,-0.13279189825809587,0.0010299289230341912,0.0003285408020019531,0.10808755690739072,0.04359199026105549,0.0007865428924560547,ok
n,40,40,1000,0.6,standard_t,0.1,3452587823,-0.07025037601945357,0.005673134010563089,0.0004050731658935547,-0.5566247408040734,0.3155007951643841,0.0011510848999023438,ok
n,40,40,1000,0.6,standard_t,0.1,1472501943,0.13793534840712898,0.0002599920568094375,0.0006034374237060547,0.15764054102220115,0.0012837503330141492,0.0017135143280029297,ok
n,40,40,1000,0.6,standard_t,0.1,2841777980,0.22656495939108498,0.022852150433906693,0.0005779266357421875,-0.42768183458380504,0.25308698766895343,0.0014662742614746094,ok
n,40,40,1000,0.6,standard_t,0.1,1346599503,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,1989427189,-0.07518437198667438,0.19056368533968865,0.0006363391876220703,0.20819018856563748,0.02345842865415457,0.0014243125915527344,ok
n,40,40,1000,0.6,standard_t,0.1,3926379781,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,2387800701,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,4243162185,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,standard_t,0.1,2390268618,0.13687033469903195,0.17040096515003317,0.00045871734619140625,0.2996013923972161,0.06253273436151356,0.001222372055053711,ok
n,40,40,1000,0.6,standard_t,0.1,312743187,-0.2924291737077439,0.03606990681231981,0.0004487037658691406,-0.49272332645016237,0.00010760663611920619,0.001455068588256836,ok
n,40,40,1000,0.6,standard_t,0.1,1803210951,0.13848316432354155,0.07700871224616083,0.0004942417144775391,-0.2789912129719751,0.48299555154693313,0.0013093948364257812,ok
n,40,40,1000,0.6,standard_t,0.1,1863184316,0.39102591582033575,0.39351508442954836,0.00041222572326660156,-0.2173295080604385,0.0003591928170275696,0.0011603832244873047,ok
