param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,dame_backtrack_estimate,dame_backtrack_mse,dame_backtrack_time,status
n,40,40,1000,0.6,uniform,0.1,781020512,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,2678185529,-0.273776234919653,0.0749598838308521,0.000682830810546875,-0.28570161973333513,0.08163215379696992,0.0013453960418701172,ok
n,40,40,1000,0.6,uniform,0.1,727841268,0.0510029390552692,0.0025969959136373623,0.000446319580078125,0.020476213657498257,0.00041754850859937535,0.0007786750793457031,ok
n,40,40,1000,0.6,uniform,0.1,947380072,-0.2805379906952896,0.07872450297617097,0.00037360191345214844,0.1360549026675111,0.018499814218937958,0.0007672309875488281,ok
n,40,40,1000,0.6,uniform,0.1,4204554059,-0.4392833203586773,0.19291790143700782,0.00046563148498535156,0.22429278862729643,0.05033377724142697,0.0017185211181640625,ok
n,40,40,1000,0.6,uniform,0.1,259495031,-0.07215748146879473,0.005206256789394289,0.0003821849822998047,-0.28331365850353024,0.08026488050769748,0.0007321834564208984,ok
n,40,40,1000,0.6,uniform,0.1,1369685350,0.16229635212969093,0.0263335013171603,0.0004665851593017578,-0.19948264634299592,0.03980144499664423,0.0012257099151611328,ok
n,40,40,1000,0.6,uniform,0.1,2028053869,-0.037571588533612914,0.0014114727041926248,0.00034165382385253906,0.25544837640520857,0.06525490349785631,0.0007343292236328125,ok
n,40,40,1000,0.6,uniform,0.1,1051880743,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,470475814,0.2266519513282876,0.05138492356226012,0.0005211830139160156,-0.05190270843949857,0.002690728337430521,0.0014507770538330078,ok
n,40,40,1000,0.6,uniform,0.1,2690882795,0.0399647602067187,0.0015991980341683568,0.00034356117248535156,-0.06769775841623198,0.00457957327265013,0.0008375644683837891,ok
n,40,40,1000,0.6,uniform,0.1,4125618433,-0.20710176737053013,0.042898621599820635,0.0004451274871826172,-0.19419052190987351,0.03771697207769239,0.0013689994812011719,ok
n,40,40,1000,0.6,uniform,0.1,2320123009,-0.02705266848731909,0.0007333445575060071,0.0027604103088378906,-0.2775627884375294,0.07705646082085968,0.002000570297241211,ok
n,40,40,1000,0.6,uniform,0.1,1472501943,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,2954173373,0.19575970360399536,0.03832593454311648,0.0007326602935791016,-0.1631423126115037,0.026612020014010307,0.0016679763793945312,ok
n,40,40,1000,0.6,uniform,0.1,3452587823,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,2841777980,0.02559612692968017,0.0006554487349394683,0.0005307197570800781,-0.46430641297130704,0.21557523924653998,0.0013942718505859375,ok
n,40,40,1000,0.6,uniform,0.1,1346599503,-0.2627251977031691,0.06901447617593043,0.00048542022705078125,0.02744638703473833,0.0007543548175320724,0.0011563301086425781,ok
n,40,40,1000,0.6,uniform,0.1,1989427189,-0.1365717586696532,0.018654129366032696,0.0005738735198974609,-0.06611941473128682,0.004372882857309077,0.0016326904296875,ok
n,40,40,1000,0.6,uniform,0.1,2387800701,-0.46037992863768384,0.21192091086132256,0.0004923343658447266,-0.12408133570605971,0.01538842509428542,0.001344919204711914,ok
n,40,40,1000,0.6,uniform,0.1,3926379781,-0.12059264742346283,0.014544061166317183,0.0004360675811767578,-0.2630996711122968,0.06922465396199522,0.0012164115905761719,ok
n,40,40,1000,0.6,uniform,0.1,4243162185,-0.08619479673558335,0.007434856201332662,0.0005555152893066406,-0.08138703397016048,0.006628866208504044,0.0016045570373535156,ok
n,40,40,1000,0.6,uniform,0.1,312743187,-0.10491607348910692,0.011011019617084923,0.00048089027404785156,0.2838125339619617,0.0805397165767292,0.0010738372802734375,ok
n,40,40,1000,0.6,uniform,0.1,2390268618,-0.027850550634395968,0.0007795586190147859,0.0004322528839111328,-0.07388638069100109,0.005469550142078377,0.0013115406036376953,ok
n,40,40,1000,0.6,uniform,0.1,1139351029,-0.19103782173815342,0.036488356997176764,0.0003275871276855469,0.10708520048664433,0.01147121627170065,0.001268625259399414,ok
n,40,40,1000,0.6,uniform,0.1,1863184316,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,1803210951,-0.41064848467895687,0.1686464374104675,0.00046372413635253906,0.11311237509263534,0.012790482046480514,0.00208282470703125,ok
n,40,40,1000,0.6,uniform,0.1,3194031095,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,3387436816,-0.08082716592835482,0.006527747176396983,0.0004417896270751953,0.053414255312318075,0.00285657607179972,0.0013129711151123047,ok
n,40,40,1000,0.6,uniform,0.1,845025431,-0.02544696727388317,0.000647608490876796,0.0003349781036376953,-0.12600675353268453,0.015878000755088075,0.0007557868957519531,ok
n,40,40,1000,0.6,uniform,0.1,1100160589,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,1705053442,0.26377807692178445,0.06959076115886646,0.0005588531494140625,0.02666451688496145,0.0007121985671981185,0.0015170574188232422,ok
n,40,40,1000,0.6,uniform,0.1,2142071295,0.14594820847782922,0.02130958804313716,0.00046753883361816406,-0.051023697490419684,0.002600374407993963,0.0013241767883300781,ok
n,40,40,1000,0.6,uniform,0.1,4045147272,,nan,nan,,nan,nan,error: IndexError('list index out of range')
n,40,40,1000,0.6,uniform,0.1,3329482216,-0.035899861777311935,0.0012898338544657679,0.00033664703369140625,-0.26644122567827727,0.07099859789935964,0.0007770061492919922,ok
