trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
0,2159069229,1584,249,0.6,0.01610212238524279,0.009809446317418017,0.21006695721461263,-0.2510844476989824,-0.27538763935459976,0.49803476716277384,0.004197096692651913,0.0050520365482783595,0.0166874287940559,0.0626043983807274,0.07535678395404678,0.24891169221860704,0.04119539260864258,0.004001140594482422,0.5472967624664307,ok
1,347351515,1584,249,0.6,-0.029060315057160006,0.022628972577585813,0.27186059832509496,-0.4255080730321934,-0.22587684294985655,0.7366904180845282,0.012088439793809004,0.00339401243954911,0.03647086713400321,0.18031261990652142,0.050625497203025616,0.5440038346853256,0.03464221954345703,0.0021386146545410156,0.5119161605834961,ok
2,2681509929,1584,249,0.6,0.007041045525134424,0.003548258091800876,0.2193561399266589,-0.2860795889018597,-0.2995692205767946,0.533910884945036,0.005453243600688523,0.005981300488471676,0.019173667819343463,0.08134123653676154,0.08921779649982854,0.28599673214187576,0.04354381561279297,0.003832578659057617,0.5141658782958984,ok
3,1784591584,1584,249,0.6,0.028672872868635912,-0.015831011519898748,0.23552391654476668,-0.20253445800303327,-0.3744146596940534,0.5963530907029595,0.0027263282294921654,0.009354398124254808,0.023912536991685985,0.040666239330290045,0.13953132597780488,0.3566822739019416,0.042383670806884766,0.003706216812133789,0.5105493068695068,ok
4,2695097668,1584,249,0.6,0.03601360532970179,0.006154610416017131,0.27793779301500393,-0.17418352654382652,-0.28950312478944484,0.7601613906382463,0.0020136328568543796,0.0055849488846886975,0.03882896537322417,0.03003558955020953,0.08330576837202512,0.5791775112526393,0.04470086097717285,0.003965139389038086,0.4869520664215088,ok
5,1277456904,1584,249,0.6,0.05831437338596802,0.031016890946067417,0.21512047503477305,-0.08805485341696517,-0.19348153362459097,0.5175521570291322,0.0005095291603261422,0.0024870403437862554,0.018018591994566853,0.007600198154953624,0.03709699248624124,0.268767482403393,0.046530723571777344,0.0049822330474853516,0.49947214126586914,ok
6,1873611887,1584,249,0.6,-0.007589811206708965,0.02406517702968859,0.2489384490521769,-0.34258599593875916,-0.2203300212670154,0.6481618841295047,0.007828168416507283,0.003228733884160022,0.028241247181434538,0.11676590034164777,0.04816018241924055,0.42124983501345614,0.03557419776916504,0.0033676624298095703,0.4972684383392334,ok
7,2047035795,1584,249,0.6,-0.02669022600543582,0.020068383559787614,0.23004888449407437,-0.41635445891888256,-0.23576619447217784,0.57520775415386,0.011572886663318831,0.003698919431340302,0.022249230198684324,0.1726225674890619,0.05517352651495079,0.3318721899978105,0.047834157943725586,0.0039958953857421875,0.5737290382385254,ok
8,1378856058,1584,249,0.6,-0.021616059379237426,0.052849130124388514,0.25127847781712354,-0.3967573204868602,-0.10916238429875946,0.6571994012273477,0.01050690301176348,0.000786129212412581,0.029033212775939905,0.15672222730720428,0.011725997754297285,0.4330628889440569,0.044451236724853516,0.0036542415618896484,0.4775385856628418,ok
9,3218965466,1584,249,0.6,-0.010892006313108535,0.0584836001186634,0.24158884241179077,-0.3553395334941749,-0.08740127619900218,0.6197766793534312,0.008423409127138142,0.0005019179716694336,0.025825041659462238,0.1256445822757579,0.007486668750770525,0.38520942323735863,0.04265785217285156,0.0034208297729492188,0.48084425926208496,ok
10,62164594,1584,249,0.6,-0.041346541811070676,0.06596332724518554,0.22899446920463928,-0.4729591924456664,-0.0585135279773743,0.5711354554072612,0.014941069545203441,0.00022271976911014213,0.021935785112764977,0.22286278790757674,0.0033221148269101655,0.32719680544835916,0.040810585021972656,0.003668069839477539,0.4640955924987793,ok
11,1268433720,1584,249,0.6,-0.04075294834813054,0.03592900843686713,0.2692871315163131,-0.47066665179366707,-0.1745102515298056,0.7267513307393232,0.014796307686081518,0.002021232334326245,0.03549456208061792,0.220703502629573,0.030148944268952864,0.5294411512450666,0.04205608367919922,0.003612041473388672,0.49307727813720703,ok
12,2329112794,1584,249,0.6,0.021858238163808663,0.05091366856417058,0.23610040233705737,-0.22885352663287417,-0.11663740648853338,0.5985795591475096,0.0034844095985287447,0.0008984081503279754,0.024091161152990016,0.051973872083965623,0.01340076387806224,0.35934665334649535,0.0402989387512207,0.003570079803466797,0.48242664337158203,ok
13,3426927916,1584,249,0.6,0.024649528402631554,0.10268871971152536,0.24444009365448505,-0.21807317485417244,0.08332505422788028,0.6307886088827184,0.003162667382905313,0.00047530948860209036,0.026749573230386993,0.047174726551280424,0.007089773421394303,0.39899984719472653,0.039716243743896484,0.0033185482025146484,0.4994688034057617,ok
14,2375343576,1584,249,0.6,0.01874288623712563,0.05691707379453126,0.2368244387107646,-0.24088544979764626,-0.0934514191077751,0.6013758884939087,0.003861906535022456,0.0005745634024693907,0.02431644549716903,0.05760466172984879,0.008570256722022813,0.3627070216831633,0.016494274139404297,0.0033948421478271484,0.50038743019104,ok
15,3524201801,1584,249,0.6,0.01593993098056995,0.07346101822508241,0.22092964498462322,-0.2517108534999766,-0.029556400851330267,0.5399879806961305,0.0042181381401779055,5.514707660305515e-05,0.019611907125098065,0.06291825513931298,0.0008225804183245504,0.2925335622634189,0.05437445640563965,0.004873514175415039,0.557262659072876,ok
16,1699284697,1584,249,0.6,-0.00530696462536262,-0.007174127955127338,0.24288268836037374,-0.33376932440047513,-0.3409805693090817,0.6247736926626084,0.00742942125778568,0.00775478444718136,0.02624256222623458,0.1108181398286494,0.11567129624103625,0.3914372101597162,0.040601491928100586,0.0034799575805664062,0.5052225589752197,ok
17,3788744959,1584,249,0.6,0.04416475693698978,0.016226774873147956,0.21739776632524163,-0.1427026434361105,-0.2506030224243849,0.5263473732600943,0.0013485323891962362,0.0041809610071369754,0.018635154923508167,0.02011487108942738,0.06236371655753025,0.2779642091068318,0.0404200553894043,0.004690885543823242,0.4872915744781494,ok
18,317130537,1584,249,0.6,-0.031689651397105445,0.02883838581648738,0.2308441436442904,-0.43566293629037167,-0.20189522393953396,0.5782791557857365,0.012673530807879859,0.002709071354118622,0.02248710714241852,0.18903990774766266,0.04040883370449559,0.33542039106194155,0.03379988670349121,0.003975868225097656,0.44599342346191406,ok
19,1568852594,1584,249,0.6,0.07466834224845977,0.04752666524292258,0.2533098276999028,-0.024893547271340744,-0.12971848518498774,0.6650447574778031,3.867327128005685e-05,0.0011129203415577661,0.02972958806338913,0.0005768551594585395,0.016600453487497693,0.44345010637326043,0.04273104667663574,0.00404047966003418,0.5081114768981934,ok
20,339027885,1584,249,0.6,0.024909579458358786,0.03103509440901989,0.23369849159264933,-0.21706882144721762,-0.19341122931460308,0.5893030452237253,0.0031334857162062394,0.0024852250532000487,0.023351313455970208,0.04673944930578822,0.03706991539382314,0.34831099623466655,0.03561115264892578,0.0041637420654296875,0.5823638439178467,ok
21,3008991202,1584,249,0.6,-0.048548791128247164,0.06354924138890353,0.22854189790404655,-0.5007752827100083,-0.06783706387942434,0.5693875619931426,0.01675365664140756,0.00030060224259709803,0.021801931667659206,0.24989955474432804,0.00448381915590264,0.3252002313840298,0.036901235580444336,0.0031843185424804688,0.4142427444458008,ok
22,304902015,1584,249,0.6,-0.007520991302844819,0.04778187179783688,0.22475166739228894,-0.3423202038821991,-0.12873284191509615,0.5547491637102233,0.007815995204061687,0.001095957855425908,0.020697006271595143,0.11658432324268495,0.016347439006991,0.3087190314637887,0.03934645652770996,0.002658367156982422,0.4693870544433594,ok
23,1687870297,1584,249,0.6,0.03405962562596765,0.041976492180455204,0.2200796207039885,-0.18173006838376793,-0.1511540267900413,0.5367050685008214,0.0021928147907652185,0.001514037423810953,0.019374550583450032,0.03270828879795927,0.022583564064544277,0.28899312357931156,0.041914939880371094,0.003708362579345703,0.19077610969543457,ok
24,3286340258,1584,249,0.6,-0.05363304724141729,0.016919061003705233,0.20398378644297643,-0.5204113881463601,-0.24792931694040377,0.47454071414885135,0.018095677007422123,0.0040919133386669825,0.015152787813566658,0.2699172917138188,0.06103547083911949,0.2260208030279576,0.008717775344848633,0.0009317398071289062,0.09728765487670898,ok
25,3385996787,1584,249,0.6,-0.002441064290796234,0.03307443199818724,0.24821385476478605,-0.3227008180374997,-0.18553502342924721,0.645363400042732,0.0069435872962231105,0.00228605370718537,0.027998234160963725,0.10357138210448275,0.03409905167420494,0.4176250236118288,0.009156227111816406,0.0011289119720458984,0.10953998565673828,ok
26,954162490,1584,249,0.6,-0.01393966766115385,-0.010554788886818331,0.25228832408596147,-0.36711002621374744,-0.35403715281345827,0.6610995682071428,0.008992120795012602,0.008361623797162895,0.02937837070718724,0.13412755382171104,0.12472298487281354,0.4382113061034486,0.008054971694946289,0.0010004043579101562,0.10800671577453613,ok
27,1670198375,1584,249,0.6,0.05494454127152811,0.0011726148299988082,0.2376732457585339,-0.10106961452047081,-0.3087442858232259,0.6046540995663099,0.0006730177021087523,0.006354403290195931,0.02458188735066091,0.010038812880785878,0.09478304270371142,0.3666663842520599,0.009147167205810547,0.0010607242584228516,0.10375094413757324,ok
28,1912804122,1584,249,0.6,0.002475198622631454,0.05188282823729802,0.24776225426543688,-0.3037135257429928,-0.1128943768097388,0.6436192559982654,0.006148430354171725,0.0008412492883886307,0.027847308435440494,0.09171072565057253,0.012548175428026241,0.4153737973622411,0.010196685791015625,0.0011701583862304688,0.11277580261230469,ok
29,70887211,1584,249,0.6,0.03632624337958234,0.03868034145867517,0.26835630311939684,-0.17297607483914756,-0.16388422008996617,0.7231563417894842,0.0019856722594207765,0.0017814126608538315,0.03514469237188466,0.02961852592054344,0.026571765214705896,0.5242224526467633,0.009601354598999023,0.0011136531829833984,0.09054327011108398,ok
30,4033432605,1584,249,0.6,0.03264751392130567,0.0407618491193386,0.20029423675215793,-0.18718384051944392,-0.15584514751345147,0.46029115922302655,0.0023270601729726073,0.0016100378443086375,0.01425805809949077,0.034710709043172555,0.02401551786729466,0.21267490714684686,0.009416580200195312,0.0012238025665283203,0.09970855712890625,ok
31,204034367,1584,249,0.6,-0.026820526517150674,0.0033884050303598532,0.19915029862006992,-0.4168576976483038,-0.3001865953704539,0.45587311078597903,0.011600938409571228,0.006006051751078188,0.013986177999464538,0.17304099070545695,0.08958698930574052,0.2086195109193472,0.010982036590576172,0.0014600753784179688,0.1076810359954834,ok
32,944935090,1584,249,0.6,-0.006240568923409617,0.08118394416917055,0.21734525761191,-0.3373750342672137,0.00027061508565839887,0.5261445772938105,0.00759123522170893,8.810102881271997e-08,0.01862082168451346,0.11323177634999812,1.3141255275840597e-06,0.27775041279242235,0.008402347564697266,0.0012640953063964844,0.09749770164489746,ok
33,2495419935,1584,249,0.6,0.039953113423037215,0.048354508248218214,0.23926652152691633,-0.15896859744383107,-0.12652124016528354,0.6108075525554497,0.001675593385200954,0.0010583712174259117,0.02508403292921249,0.02499335218911796,0.01578679220005351,0.37415644801442194,0.010623931884765625,0.0019502639770507812,0.10531973838806152,ok
34,1402458463,1584,249,0.6,0.032447579547960834,0.08319917329925082,0.2547735480337145,-0.18795601492371494,0.008053710743282316,0.6706978493292555,0.0023463896599467573,5.345562739389678e-06,0.030236487769598627,0.034999029992542834,7.973505587609426e-05,0.4510110832747867,0.00944209098815918,0.0010869503021240234,0.10117053985595703,ok
35,1743689874,1584,249,0.6,-0.012281138120646249,0.06550247205695707,0.24292920591561132,-0.36070455406564905,-0.060293414919636135,0.6249533499416584,0.008680325438230288,0.00023668757677806066,0.026257635665158718,0.1294767768302172,0.0035304603237577624,0.3916620473851786,0.011833667755126953,0.0011143684387207031,0.10303521156311035,ok
36,1052480003,1584,249,0.6,7.335305376360346e-05,0.039178973788978805,0.26792169491954976,-0.31298978794976007,-0.16195843256198295,0.7214778243730233,0.006530865896917452,0.0017395699603992086,0.03498192997297791,0.0974151801404872,0.02594763446899954,0.5217946691552834,0.012150049209594727,0.0013935565948486328,0.12070393562316895,ok
37,2266391996,1584,249,0.6,-0.001695933840111461,0.060717291990289766,0.23556232471667107,-0.3198230204270325,-0.07877444699778202,0.5965014284137968,0.006819961771647584,0.00040682220375753373,0.02392441709974205,0.1017273689312567,0.006068208854647382,0.3568594790206267,0.011534929275512695,0.0015840530395507812,0.1363542079925537,ok
38,929897814,1584,249,0.6,-0.02608100354259938,0.02724412988056597,0.22221748672107391,-0.41400155689188534,-0.20805246247226483,0.5449618049015585,0.011442180736666405,0.002877571032079909,0.019974270863102536,0.17067294218803006,0.042922195139456436,0.29793862330298926,0.020305156707763672,0.0011649131774902344,0.10000991821289062,ok
