trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
0,2159069229,40,15,0.6,-0.12278835122018075,0.2862764694288119,-0.19333691214625423,425.8862554826023,624.4872259076881,391.63492915299355,0.0044980451999999845,0.22670195584026184,1.2118011278257716e-05,1060.2353586032978,53435.97468659702,2.856339467901061,0.0008213520050048828,0.000415802001953125,0.0035784244537353516,ok
1,347351515,40,15,0.6,-0.15823345384886026,-0.5157546830905256,-0.9428429266433771,408.67765815637836,235.1011013595498,27.74975911464042,0.000999973961533753,0.10621006978263971,0.5669895846633257,235.70411246661124,25034.802100983456,133645.25674838867,0.0005645751953125,0.00021600723266601562,0.00446772575378418,ok
2,2681509929,40,15,0.6,0.10282792935812061,-0.24645852310292843,-0.2598481239057739,535.4229597033676,365.8443870335283,359.34373584374674,0.08566377640285003,0.0032038661407936824,0.004898922781919998,20191.83015185989,755.1840890130131,1154.7263136570616,0.0004134178161621094,0.00015926361083984375,0.00774836540222168,ok
3,1784591584,40,15,0.6,0.07739748689373546,-0.2204395305410598,-0.5441310226169385,523.0764798869086,378.47660792231545,221.32438851947637,0.07142432937406348,0.0009353634273123214,0.12551092007952147,16835.44653284285,220.4747472926449,29584.21034967403,0.0005030632019042969,0.00017070770263671875,0.0022749900817871094,ok
4,2695097668,40,15,0.6,0.3553435459893425,0.3698010602294551,-0.4723314587871851,658.0192915778258,665.0384147414004,256.18307675882164,0.29724234730516413,0.3132158221818199,0.07979248721805372,70063.06799388707,73828.17975043227,18807.907110289252,0.0006535053253173828,0.00025773048400878906,0.003991365432739258,ok
5,1277456904,40,15,0.6,-0.6,0.13324192315477434,-0.776299946373468,194.20000000000002,550.188953691643,108.6063760356813,0.1682182494185127,0.10439215081980487,0.34391671483159986,39650.765624999985,24606.299967773906,81064.69483213511,0.00044918060302734375,0.00016164779663085938,0.002502918243408203,ok
6,1873611887,40,15,0.6,-0.4321553645219307,-0.12804529347450352,-0.616272253689292,275.68857052460265,423.33401001812854,186.29982083384877,0.05870906988440312,0.003820541034037088,0.18183097599182477,13838.329539720131,900.5406822681397,42859.42480877701,0.0004470348358154297,0.00014925003051757812,0.002035379409790039,ok
7,2047035795,40,15,0.6,0.13960339847423361,0.020636701531715918,-0.5950906476856253,553.2774499592404,495.5191185936481,196.58349054862893,0.10854337580976357,0.04430710109183887,0.16421526658770214,25584.786247963293,10443.637875132616,38707.22154120393,0.0004811286926269531,0.0001838207244873047,0.0025572776794433594,ok
8,1378856058,40,15,0.6,-0.045339882842929134,0.02467793091643662,-0.7552691605826733,463.4874868797579,497.48113545993,118.81682253711209,0.020884855729236228,0.046024729743179546,0.3196922471296702,4922.774565152203,10848.500553947288,75354.73949399636,0.00038361549377441406,0.0001533031463623047,0.0024018287658691406,ok
9,3218965466,40,15,0.6,-0.2,0.07402213621826524,-0.24519083955518434,388.40000000000003,521.4377471339677,366.45984739595804,0.00010290441336344012,0.06963157511483686,0.003061964528222524,24.25562499999955,16412.875978211956,721.7364244384621,0.0006363391876220703,0.0002484321594238281,0.0039691925048828125,ok
