param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.00619473 -0.05681845 -0.08086726  0.02327249 -0.04021385  0.05303619
 -0.11663424 -0.01187693]",1.4975598541024884,0.0038471221923828125,"[-0.18074024 -0.1163561  -0.00250245 -0.11824287 -0.072       0.1034816
  0.09157508  0.00169177]",1.5989492764441253,0.013870000839233398,"[ 0.09769761  0.76873178 -0.0585554   0.24461259 -0.25347057 -0.57098082
 -0.62187804 -0.20308326]",3.2395398439133105,1.007049322128296,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[ 0.12731827  0.0258427   0.06581435 -0.01217425  0.02160199  0.24689109
  0.07013938  0.11795187]",0.8509032436595052,0.0029087066650390625,"[-0.0893827   0.152      -0.04       -0.05651448  0.02530892 -0.06619637
  0.008       0.088     ]",1.3117453558448755,0.014373540878295898,"[-0.84020187  0.40477421 -0.02741127  0.40125283 -0.83738848  0.35524306
 -0.17054827  0.50475632]",3.5904380833441887,1.1623866558074951,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[ 0.12556852 -0.04581909 -0.16894495 -0.01043069 -0.05327742  0.06352058
  0.07664519  0.05438468]",1.3089061012373848,0.0049169063568115234,"[ 0.11019404  0.02720366  0.01277329  0.12870937  0.09141372 -0.04
 -0.056       0.09062703]",1.0389808723546663,0.028691530227661133,"[ 0.24941386  1.69050276  0.36533593 -0.11931025  0.47076258 -0.51067453
  0.84529299  0.19308393]",3.034393832743437,1.2352044582366943,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[ 0.05314261  0.03028634 -0.0198043  -0.00340186  0.03689924  0.18189881
  0.21615165 -0.14121543]",1.1020916063000612,0.0027191638946533203,"[-0.08937942 -0.024       0.06635993 -0.01145157 -0.05314107 -0.01556497
  0.02590528 -0.024     ]",1.3976302364199313,0.02936077117919922,"[-0.42045731 -0.16098544 -0.88076354  0.15087093  0.04364497  0.40871675
  0.85799368 -0.83100986]",4.542483753911291,1.07999587059021,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.03565259 -0.0897709  -0.04993597  0.03724218  0.18807809  0.06141549
 -0.15996859  0.10414047]",1.2673082392481705,0.0047986507415771484,"[ 0.168      -0.06924123  0.04        0.00219006 -0.024       0.008
  0.184       0.17113982]",0.9943370595441785,0.03318023681640625,"[ 0.28896583 -0.66301491 -0.36462328  0.00112751  0.29664563  0.64830443
 -0.04265196  1.10485141]",2.6511707855240134,1.2363526821136475,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[-0.05055602  0.04941116 -0.10767151  0.02143999 -0.0193387  -0.00836869
  0.02620313  0.12024874]",1.287546105242824,0.004612445831298828,"[ 0.00043878 -0.024      -0.04551312  0.04400609 -0.00433582 -0.136
 -0.056      -0.08219809]",1.5558732266583641,0.013043403625488281,"[-0.82316795 -1.1909629   0.83586886 -0.40002476 -0.79266773 -0.07853551
  0.31946385  0.16792374]",6.569122064560906,1.162369966506958,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.08433465  0.16104644 -0.04554497 -0.11977555 -0.04027862  0.00519868
  0.13358967  0.12691028]",1.255621597132183,0.004261493682861328,"[ 0.04       -0.056       0.05425297  0.22561673  0.04602514 -0.088
  0.008       0.04907965]",1.1277378297779783,0.031223058700561523,"[-0.14730357  0.53221868 -0.18534662  0.60122128  1.08749548  0.06781053
  0.40389167  0.24536141]",1.3070717664909552,1.2704119682312012,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-0.03227504 -0.13218932 -0.02651924 -0.0525756  -0.1597067   0.0912134
 -0.02513475  0.03216708]",1.5814918919523477,0.0026636123657226562,"[ 0.07142091  0.0486345   0.024      -0.072       0.11073202 -0.0776206
  0.04       -0.22132892]",1.4230289534925655,0.016473054885864258,"[ 0.47586648 -0.67309974  1.0688044  -0.19988424  0.20133011 -0.57682408
 -0.2651827  -0.69849845]",4.6072810813708145,1.321568250656128,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[-0.07098615 -0.06109168 -0.10445254 -0.01286954 -0.02108831 -0.16448537
  0.01149039  0.04444942]",1.6326821511006333,0.002475261688232422,"[ 0.01486395  0.088      -0.08067261 -0.01122551 -0.0556682  -0.01983507
  0.008      -0.05943732]",1.394467996284425,0.02512836456298828,"[ 0.53631199 -0.96425152  0.32072101  0.54491345 -0.56892563  0.75791648
 -0.66533841  0.70819633]",4.203900219376911,1.2102043628692627,ok
alpha,0.1,2000,20,0.1,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2320123009,"[-0.04887177 -0.16892375 -0.06866629 -0.06465404 -0.0936637  -0.008
 -0.07521643  0.05053209]",1.7188378925001093,0.003741741180419922,"[ 0.08158407 -0.0602526   0.008       0.00277885 -0.04        0.02537698
  0.152       0.02326584]",1.1620448392420701,0.02273845672607422,"[ 0.34599949  0.09571273 -0.68713392 -0.1540414  -0.06050014 -0.91198758
 -0.55646624 -0.11519524]",4.69795443339468,1.1421165466308594,ok
