param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.00416198  0.0978588  -0.04738618 -0.0083706  -0.09891974  0.04338467
  0.0605749  -0.03762999]",0.08274545280604505,0.002917766571044922,"[ 0.16180654 -0.0247262   0.03045885 -0.0488443   0.104       0.12
  0.00550364  0.04      ]",0.04756487246346259,0.01786971092224121,"[ 0.19935934 -0.69632361 -0.06347745 -0.48109729  0.06584474 -0.57027484
  0.33404669 -0.60710218]",1.9263446671751425,0.6190087795257568,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[ 0.00974917 -0.04001203 -0.12347933 -0.02075364  0.11898291  0.01265977
  0.07160343  0.02999743]",0.03905508440820185,0.002028942108154297,"[ 0.24879914 -0.04       -0.12        0.138701    0.01852816 -0.100322
  0.06480974  0.04586029]",0.1181616004017868,0.01598668098449707,"[-1.04368424  0.18220071  1.27768722  0.47441017 -0.80062065  0.44452087
 -0.35396317 -0.21158945]",3.9886616495264886,0.6506404876708984,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.03442589 -0.10777434 -0.23606202 -0.10402297  0.03669277  0.07376619
 -0.11359444  0.19913967]",0.13401131416060785,0.003101825714111328,"[-0.0953802  -0.02567745  0.00117746  0.0295581   0.024      -0.104
 -0.04391215 -0.104     ]",0.022109318177178865,0.017791748046875,"[-0.01391294 -0.41534643 -0.83404152 -0.27867125  0.03694631 -0.38765022
  1.08758031  0.43926371]",2.4569858540057936,0.6734998226165771,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[-0.02504323 -0.02780094 -0.03655561  0.01834526 -0.00405413 -0.10554689
  0.07336409 -0.11266896]",0.08780872669296527,0.0024743080139160156,"[ 0.136      -0.04229113  0.056       0.168      -0.072       0.00340288
 -0.03725161  0.09809249]",0.05953059267940917,0.011295795440673828,"[ 0.10303058  0.40975866 -0.60119599 -0.04260737 -0.75584394 -0.12264505
  0.61680707 -0.4199711 ]",1.811825442335551,0.6999425888061523,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[-0.18644153 -0.0615746   0.01704287 -0.01607439  0.0419321  -0.05288002
  0.13561743  0.00930437]",0.06089880046278319,0.002130746841430664,"[ 0.00806071 -0.09404739  0.01870543  0.05319631  0.01350719  0.12599281
  0.04280255 -0.1277903 ]",0.0514808288946218,0.009711742401123047,"[ 0.17348495 -0.24847236  0.08689847  0.44087235 -0.09660433 -0.39496115
  0.71805697 -0.47194833]",1.2095617825357876,0.7471914291381836,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[-0.12180505  0.00391441 -0.06135633  0.12577543 -0.0812953   0.04396769
 -0.00189016  0.10018829]",0.07496646994213267,0.003084421157836914,"[ 0.29060394  0.09671663  0.05238524  0.14596815 -0.05544235 -0.1485108
  0.01172875 -0.152     ]",0.16322377377953692,0.01800370216369629,"[ 0.83560498  0.29201741 -0.82548764  0.24505635 -0.01198923 -0.73402112
 -0.78442916 -0.28312753]",2.9172151135255673,0.7446188926696777,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-8.37935307e-02 -2.63890600e-02  7.28760489e-02 -8.53766426e-05
  4.46318878e-02 -1.33678551e-02  1.78890146e-02 -7.72182661e-02]",0.02300878249084863,0.0015316009521484375,"[-0.07273397 -0.13510819 -0.04        0.00512446  0.136       0.12
  0.088       0.152     ]",0.085422145648038,0.006489992141723633,"[ 0.43134379  0.97881351  0.70775713 -0.0597305   0.43361629 -0.81094902
 -0.50114647  0.73844694]",3.2610244478442376,0.747795581817627,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[-0.00486266  0.02159788  0.1032411  -0.05120376  0.01854994  0.1965416
  0.01327787  0.1383759 ]",0.06291740757752395,0.002634286880493164,"[ 0.10371028 -0.09199246  0.05083205 -0.008      -0.02069153  0.06643946
  0.072       0.19209779]",0.06131961932708901,0.016484498977661133,"[ 0.04065794 -0.24058968  0.15169404 -0.5343418   0.68287508  1.51890238
 -0.58529926  0.62934408]",3.842027188305284,0.7587597370147705,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[ 0.00922785 -0.01168231 -0.10188623 -0.00667499 -0.11430093  0.07614674
 -0.02164462  0.22935454]",0.09080903954289195,0.0022096633911132812,"[ 0.12512593 -0.05983414  0.12962238 -0.03639961  0.136       0.13157385
 -0.056      -0.008     ]",0.10012479009832952,0.011535406112670898,"[ 0.04308608 -0.10994013  0.00650976 -0.08282139 -0.28107359  0.98114849
  0.63352808 -0.42795248]",1.691234830739822,0.6973319053649902,ok
alpha,0.1,2000,20,0.1,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[-0.00233188 -0.05808929  0.00111885 -0.02004954  0.19896771  0.13017678
  0.11031366 -0.03771448]",0.06169550005118765,0.0009424686431884766,"[ 0.11753052  0.06410996 -0.09336589 -0.04954629  0.21385291 -0.13508708
  0.0874015  -0.06709928]",0.10424042816641316,0.005202293395996094,"[-0.42583421 -0.23205013 -1.04376893 -0.02427273  0.15449119  0.450556
 -0.46644896 -1.43545436]",4.021582929143867,0.7325613498687744,ok
