param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[-0.01477707 -0.02891364  0.08271162  0.00774589  0.12098374  0.00843213
  0.072      -0.06826191]",1.2937080074866998,0.004723072052001953,"[-0.04583622 -0.02352493 -0.008       0.23537152  0.03697218 -0.19223429
  0.06902158  0.008     ]",1.4466301463326419,0.030343055725097656,"[-0.58490162 -0.48226375 -0.15055385 -0.59217483  0.20906991  0.65235751
 -0.48232224  0.13688629]",4.168416516713861,0.9832496643066406,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[-0.01877457  0.13675062 -0.08771324 -0.0074481  -0.0138573   0.08639702
  0.07674739  0.05022797]",3.956248093827347,0.002068758010864258,"[-0.12        0.23231563 -0.056       0.03775105  0.02353634 -0.104
  0.008       0.04      ]",4.233280242887509,0.009951114654541016,"[-0.27823617  0.91652634 -0.33513479 -0.431003    0.36307258  0.63979647
 -0.1480489   0.26103479]",4.645663994003161,1.0733883380889893,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.21355785  0.11123283  0.09947797  0.01262027  0.20500359 -0.11635911
  0.05347323  0.08073845]",0.22993665923053522,0.0023436546325683594,"[ 0.024      -0.00438948 -0.05597803 -0.11388901 -0.056       0.06276535
  0.03961535 -0.01838871]",0.22410020771152916,0.03027629852294922,"[ 0.3264941   0.29388058  0.2806468   0.1461909   0.15520017  0.35024684
  0.55183236 -0.23084758]",0.4254797057333205,1.096956491470337,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.06238164  0.11990927 -0.06663485  0.07401687 -0.06751887  0.12298736
 -0.03559088  0.06032246]",0.09436016992905794,0.004194974899291992,"[-0.02957832  0.02387658 -0.02172573  0.06673281  0.01049462 -0.136
 -0.16231019 -0.04944985]",0.17729851884644568,0.028542757034301758,"[ 0.35792878 -0.28353457  0.08479681  0.27069565  0.24202595 -0.67602871
 -0.06164795 -0.45829741]",1.1837520702326028,1.0367510318756104,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[-0.04396805  0.14497797  0.13511491  0.08578449 -0.00763022  0.05200736
  0.0989318  -0.05208398]",0.27170703399367363,0.001984834671020508,"[-0.03101583  0.12       -0.00306055  0.00335102  0.05998122 -0.08061683
 -0.232      -0.008     ]",0.1497410037232341,0.01609349250793457,"[-0.83269731  0.06038014 -0.54566958  0.26453769 -0.91824765 -0.46063648
 -0.50926459  0.14573137]",1.8536735914052231,1.189321517944336,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-0.17571532 -0.01327662 -0.15634895 -0.0374538   0.02513554 -0.08503511
 -0.08907388 -0.07141265]",0.5426623030765029,0.001969575881958008,"[-0.072       0.03552699 -0.04       -0.05079722  0.12        0.072
 -0.15109654 -0.16314708]",0.7765079141163235,0.011545658111572266,"[ 0.18506768  0.00858877  0.96634709 -0.56560169 -0.08997403 -0.34217541
 -0.76400905 -0.40317262]",2.3608355888413843,1.1605908870697021,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.06463456 -0.11557057  0.17941601 -0.01301482  0.00223595  0.00037757
 -0.0395941   0.09437331]",0.40848131975641183,0.00205230712890625,"[-0.04620889 -0.03544108 -0.02799744  0.088      -0.008       0.04320926
 -0.10669172 -0.03197544]",0.5122153727889851,0.008929729461669922,"[ 0.7378758  -0.12605091  0.64128362 -0.64060248  0.30982972 -0.11252555
 -0.19693774  0.3467731 ]",1.6337635874666132,1.2020032405853271,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[-0.0522363  -0.03235327 -0.02534726  0.22817683 -0.03742917 -0.0569386
 -0.05889681 -0.01077015]",1.1306289062881867,0.0037980079650878906,"[-0.072      -0.03786995  0.13162139  0.088       0.02196256 -0.04156045
  0.12061423 -0.03629892]",0.9573805588472603,0.02061152458190918,"[ 0.52090891 -0.04750424  0.13176702  0.68610734  0.15101122  0.19440196
  0.62224193  0.59557218]",0.545721642798242,1.1821200847625732,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[ 0.11003598 -0.14266703  0.03766179  0.07958443 -0.04905283 -0.04579557
 -0.05839123 -0.08993533]",0.21634229640341968,0.0034971237182617188,"[-0.04131062 -0.16892492 -0.056       0.088      -0.024       0.09924614
 -0.06051896  0.10685902]",0.25991386714329723,0.0189211368560791,"[-1.00041647 -0.9458967   0.47730446 -0.43645383  0.9993426   0.11467166
  0.08546269 -0.2487183 ]",3.2959602025150363,1.1884233951568604,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2690882795,"[ 0.00837442 -0.08770915 -0.20729908 -0.04605072  0.08866377  0.10183935
 -0.06202914 -0.00065262]",0.5819660310205172,0.0015571117401123047,"[ 0.02689276 -0.056       0.04047173 -0.12        0.1222776  -0.04187423
 -0.104       0.01391084]",0.6028720111708692,0.015591144561767578,"[-0.32117098 -0.15252519  0.69298501 -0.41226511  0.17459175  0.16583107
  0.47533726 -0.9778067 ]",2.4399815952553805,1.1654255390167236,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4125618433,"[-0.06454742  0.07698962  0.00752611  0.0867068  -0.104       0.09350417
 -0.0654906   0.02517466]",0.9665552000662553,0.0033855438232421875,"[-0.07887491  0.01906575  0.07650817 -0.12090338  0.09104641 -0.088
 -0.06100454 -0.056     ]",0.7918417168701783,0.02620673179626465,"[-0.29608053  0.32469058 -0.16390807  0.24560278  0.29818323  0.62993185
  0.0657191  -0.39828127]",2.2862707159467934,1.176957607269287,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[ 0.01662969 -0.04742527  0.14886316 -0.05323172  0.00347126  0.03592371
 -0.14681031  0.01137097]",0.06503070366803995,0.0027441978454589844,"[ 0.04        0.00648341 -0.232       0.02177987  0.07557312 -0.152
  0.14581086  0.008     ]",0.12489549828751674,0.016736984252929688,"[-0.55154178  0.15897375  0.72190892 -0.55025309  1.61841171 -0.14701197
  0.54780707 -0.65114413]",4.441228314933201,1.2910306453704834,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2320123009,"[ 0.10017797 -0.00554552 -0.03326427 -0.06867055  0.03656114  0.09343818
  0.03595621  0.04528672]",2.017288574297943,0.0015175342559814453,"[-0.088      -0.17410289 -0.19179228 -0.04        0.12       -0.072
 -0.072      -0.23414668]",1.2384100933732163,0.014954805374145508,"[-0.25632374  0.56830469 -0.80261324 -0.26899119 -0.03878299  0.41729763
  0.19561592 -0.65681172]",2.7473954511493046,1.1680185794830322,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",3452587823,"[-0.01052652 -0.05869017 -0.06875959 -0.08907481  0.02864916 -0.0996489
 -0.00400616  0.02625076]",0.0389010225087068,0.0032851696014404297,"[ 0.056      -0.04480095 -0.04038435  0.01249607 -0.136       0.024
 -0.22567873 -0.02058251]",0.09184346968689128,0.008776426315307617,"[ 0.26804881 -0.20129324 -1.36540409  0.09391421 -0.79063795 -1.10314344
  0.1918222   0.4112642 ]",4.117677383557618,1.1762962341308594,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1472501943,"[ 0.03198648 -0.11433401  0.07195725  0.12267234  0.05860974 -0.06279784
 -0.14109631 -0.05906105]",0.8925736625621212,0.002354860305786133,"[-0.01594496 -0.104       0.02979138 -0.008       0.136      -0.11005203
  0.008       0.09250945]",0.9589712019394723,0.016262292861938477,"[ 0.14861507  0.0156679  -0.43732157  0.3775926   0.23844839 -0.76109316
  0.02474729  0.16234361]",1.754101071906749,1.2371253967285156,ok
alpha,0.1,2000,20,0.1,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2954173373,"[0.10129304 0.04731926 0.0383291  0.14235142 0.14389695 0.03345176
 0.12047781 0.00279919]",1.457201748576232,0.003521442413330078,"[-0.104      -0.06727952 -0.22119817  0.02372877 -0.00870116 -0.01117966
 -0.00359106 -0.00778975]",2.4866988681837032,0.027056217193603516,"[ 0.42467847 -0.42488332 -0.32180074  0.2112174  -0.38411365  0.06762322
  0.37679426  1.22755746]",3.146822666287931,1.2189066410064697,ok
