param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.06268552  0.09389953  0.07546787  0.11249572  0.05945511 -0.0594891
 -0.01716954  0.11455918]",0.05158757103025616,0.004425764083862305,"[-0.11283399 -0.024      -0.08569692 -0.01877763  0.008      -0.16437893
 -0.17633449  0.072     ]",0.08436980226781175,0.01657867431640625,"[ 0.3085604  -0.13565467  0.82094309  0.08409119  0.12324998  0.83983089
  0.39563298  0.04294291]",1.6734895857681957,1.0088050365447998,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[ 0.0128174  -0.03321202  0.16278998 -0.06713082 -0.01035171 -0.02628694
 -0.01314821  0.14434929]",0.05408323532321398,0.004549741744995117,"[ 0.072      -0.0663728   0.07209572 -0.216       0.008      -0.00498601
 -0.03076535  0.13578597]",0.08091615444708385,0.03070354461669922,"[ 0.72633454  0.46631461  0.98972875  0.8353886   0.87790639 -0.49973142
  0.66231076  0.11188101]",3.894097724277809,1.066673755645752,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.04702551 -0.03128848  0.05955577  0.03636177 -0.02695352 -0.21910527
 -0.0359295   0.2064891 ]",0.10072148916023023,0.0030808448791503906,"[ 0.07398792 -0.024       0.05896945  0.01915255  0.05401592 -0.05108382
  0.152       0.0154522 ]",0.03876569780210418,0.015437841415405273,"[ 0.13576364  0.31691524 -0.41390884  0.01818829  0.08114908 -0.37460545
  0.30279748 -0.1805153 ]",0.5617044090679691,1.1583540439605713,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.04338823 -0.03739203  0.0129061  -0.07485674  0.23812245  0.04861918
  0.04809645  0.03893174]",0.07194556840110074,0.004696846008300781,"[-0.00426789  0.02398001  0.04       -0.15306599 -0.088      -0.024
 -0.1024482   0.04695905]",0.04664349072537727,0.02970743179321289,"[-0.59669294  0.22192012  0.29721088  0.75817998  0.66352962  0.53220513
 -0.29846323  0.10667509]",1.8924342942481618,1.1568427085876465,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[ 0.03775189  0.16968585  0.1564807  -0.00556626  0.0666092   0.00888726
 -0.10903759  0.03780889]",0.07256561334351175,0.001999378204345703,"[-0.17105164  0.01028408  0.03393     0.05292162 -0.12329818 -0.00583815
 -0.2137099   0.06849453]",0.09892068366031613,0.02324700355529785,"[-0.50440679 -0.60290963  0.81435436 -0.05743739 -0.08143568  1.60838014
  0.85126912  0.82533212]",5.2837131649139275,1.0508396625518799,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.09298764  0.16410228 -0.11254588  0.07627134 -0.06962327 -0.00777845
  0.08031125 -0.07228156]",0.07064204798446573,0.003293752670288086,"[ 0.07261298  0.00090571 -0.232      -0.01564777  0.08988789  0.13980973
 -0.008       0.024     ]",0.08760866075791703,0.02593064308166504,"[ 0.71548451  0.16650531  0.18733229 -0.11338054 -0.7628385  -0.06812878
 -0.08744324 -0.36683759]",1.3163720331017301,1.136103630065918,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[-0.02472784 -0.03103227  0.00667594  0.00630695 -0.03454814  0.01099938
 -0.04276255  0.0005417 ]",0.004802682768598748,0.003021717071533203,"[ 0.01112997  0.08668472 -0.008      -0.22430313 -0.07865194  0.05692984
  0.11282911 -0.024     ]",0.08074778887692116,0.02289557456970215,"[ 0.28790846 -0.12187856 -0.4871607  -0.7565168  -0.33777918 -0.00908271
  0.68124494  0.5261858 ]",1.762533074953791,1.3158962726593018,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[-0.02730012  0.02571463 -0.08017321 -0.10577259  0.04479489  0.0587498
  0.01568625  0.07775395]",0.0307719998229307,0.0037539005279541016,"[-0.17588547 -0.06469067 -0.07486943  0.01694819  0.1544773   0.01616177
 -0.18869459 -0.09744591]",0.11023813655345256,0.027624845504760742,"[-0.12679151  0.53573723  0.19266591  1.04932163  0.41072206 -0.22905748
 -0.11512165  0.38571436]",1.8244796337083857,1.235966682434082,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[ 0.18766815  0.07685486 -0.03029595 -0.08383811 -0.05153011 -0.01043238
  0.0869696   0.03383811]",0.06054581138363506,0.002569437026977539,"[ 0.11303992 -0.02459495  0.11597921 -0.13018842  0.27431681  0.03205674
 -0.072       0.08880403]",0.1331310503379066,0.016631603240966797,"[ 0.11212529  0.39826302 -0.23390611 -0.95971041  0.08300308  0.11873025
  0.12140375 -0.01480163]",1.182885592431435,0.9202966690063477,ok
alpha,0.1,2000,20,0.1,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[-0.16787185 -0.00967838 -0.08965183 -0.02296025  0.08391905 -0.05299067
 -0.07826231 -0.07984497]",0.05919296715329945,0.0024018287658691406,"[-0.02827578  0.03882244 -0.07768829  0.02646158  0.12       -0.10901621
 -0.08962126  0.03274122]",0.04443151976438671,0.01577138900756836,"[-0.62876365  0.10187808  0.28112659 -0.45210183  0.76422114 -0.78592857
  0.37195442 -0.95028445]",2.9322689836203657,0.9960544109344482,ok
