param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",781020512,[-0.22741459 -0.27655129],0.6018526087702913,0.0011610984802246094,[-0.04956809  0.00395924],1.2094985169762276,0.023591279983520508,[-0.08009922 -0.08974776],1.0227153735099048,0.43669915199279785,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",2678185529,[-0.15446189 -0.18714107],0.7923155104733198,0.0011601448059082031,[-0.11089115 -0.08011507],0.9931053190456659,0.026397228240966797,[-0.07502671 -0.19179678],0.8954974290388624,0.4453566074371338,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",1369685350,[-0.20198259 -0.21559188],0.6991576659301857,0.0016002655029296875,[-0.03851752 -0.05957879],1.1280791294696912,0.010269641876220703,[-0.10786754 -0.16490623],0.8823914392416836,0.35894083976745605,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",4204554059,[-0.3302697  -0.16070891],0.6293396532264507,0.001890420913696289,[-0.01899202  0.00548837],1.2587849818548542,0.025811433792114258,[ 0.04700649 -0.40670248],0.8721029343698383,0.4292442798614502,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",947380072,[-0.23059501 -0.20336984],0.680189587838814,0.0011289119720458984,[-0.09198435 -0.10894148],0.9788480398020202,0.014071941375732422,[ 0.07631054 -0.06591405],1.3068023400032707,0.451404333114624,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",727841268,[-0.1428786  -0.13360169],0.8758952463214948,0.0016841888427734375,[-0.11976193 -0.00457336],1.09542737856761,0.02794504165649414,[ 0.1238419 -0.1160895],1.3212174210079248,0.4954414367675781,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",259495031,[-0.17121481 -0.16644729],0.7967598481241069,0.001340627670288086,[-0.04801192 -0.12151375],1.0258296644440188,0.01644301414489746,[-0.30011142 -0.10710292],0.7299949534632951,0.49969005584716797,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",2028053869,[-0.17563741 -0.1776641 ],0.7771306187841398,0.0014061927795410156,[ 0.00476018 -0.02932457],1.241579559752117,0.012769222259521484,[-0.04746678 -0.1192655 ],1.029705707494881,0.4134235382080078,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",4125618433,[-0.20096432 -0.18819518],0.7331488903643582,0.013814687728881836,[ 0.01986054 -0.07808057],1.193338975228936,0.01468658447265625,[-0.27278924 -0.03259104],0.8668676910770804,0.3429148197174072,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",2320123009,[-0.21455251 -0.11709112],0.8091133062340482,0.000993967056274414,[-0.07246893 -0.00291885],1.1646398257583919,0.01916337013244629,[-0.12406417 -0.20495577],0.8109668789082483,0.3698911666870117,ok
d,2,2000,20,0.6,2,binomial,"[0.1, 0.1]",1051880743,[-0.22136174 -0.25755064],0.6290735351040716,0.0013437271118164062,[-0.02952192 -0.06659652],1.1315171343116617,0.033635854721069336,[-0.00731501 -0.30689418],0.8715028338668067,0.4162464141845703,ok
