param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",4204554059,[0.00878805 0.06772174],0.011740761567754703,0.001974344253540039,[ 0.02929562 -0.02069273],0.0039537738951279785,0.02873539924621582,[-0.11208262  0.18205012],0.05235719421643974,0.4292447566986084,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",727841268,[0.04280999 0.03322657],0.0007898804847086198,0.0012922286987304688,[-0.00339085  0.01543597],0.0005002592835863819,0.02716541290283203,[-0.02629373  0.0613608 ],0.003844528682048768,0.4516444206237793,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",2028053869,[ 0.01209369 -0.00968497],0.0013320149790129994,0.0018818378448486328,[-0.03335083  0.02802683],0.0026465175751746246,0.018732547760009766,[-0.0099465   0.09438789],0.013741044739344756,0.4026670455932617,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",781020512,[ 0.10219688 -0.00774391],0.006109935097959949,0.002147674560546875,[ 0.01235826 -0.05395516],0.013088344355742576,0.029371261596679688,[-0.02166225 -0.04807829],0.015787923079695055,0.5322284698486328,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",1369685350,[0.05110043 0.02532465],0.001033018185554374,0.001550436019897461,[-0.02621656 -0.0450283 ],0.017309520350321645,0.019745826721191406,[0.12165157 0.08057105],0.0047474583871075305,0.45329785346984863,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",2678185529,[-0.00958951  0.04005476],0.0015337599291712631,0.002031564712524414,[-0.02615524  0.01947058],0.0011201691012404417,0.03053140640258789,[-0.05267182  0.11699126],0.01609861862955031,0.5225348472595215,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",947380072,[-0.00834463 -0.0320442 ],0.0003219393933773597,0.0010268688201904297,[0.01126236 0.03842055],0.005283022793843991,0.011750459671020508,[0.15664228 0.07343459],0.042531008747117266,0.5313417911529541,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",259495031,[ 0.02729743 -0.04280063],0.0027221557092654224,0.0020008087158203125,[0.05816726 0.02571057],0.003441138141548726,0.027895450592041016,[ 0.16245572 -0.17218924],0.05614265470067615,0.5299100875854492,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",2690882795,[ 0.02404808 -0.01513046],0.003701359307130145,0.0006992816925048828,[-0.01302822 -0.03468957],0.009110618461368028,0.008208274841308594,[-0.07096157  0.23744399],0.05083454126418073,0.37810516357421875,ok
d,2,2000,20,0.6,2,normal,"[0.1, 0.1]",470475814,[ 0.05389201 -0.00868526],0.007008580447089321,0.0013136863708496094,[ 0.06248522 -0.03623147],0.008197853685686561,0.024754047393798828,[0.00893963 0.06580046],0.010071556583180881,0.4773433208465576,ok
