param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",4204554059,[-0.06638366 -0.0049964 ],0.004430650610700883,0.0019359588623046875,[-0.00196338  0.03374081],0.0011427884095745145,0.02929544448852539,[-0.21147268  0.02947375],0.04558658187262782,0.512209415435791,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",259495031,[-0.02784828  0.05936974],0.004300487186431444,0.0018270015716552734,[-0.0097189  -0.01049886],0.00020455840300703568,0.019243955612182617,[0.02789517 0.19588951],0.03915222202555618,0.5125083923339844,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",2028053869,[0.01986673 0.00144766],0.0003973003460579807,0.0013840198516845703,[-0.04435003  0.03647631],0.003297255695406545,0.023873090744018555,[-0.23047905 -0.07299686],0.058441768666819466,0.48647022247314453,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",947380072,[-0.03985778  0.02578352],0.00225417664771714,0.0020875930786132812,[0.03424603 0.0511192 ],0.003781459599368257,0.029211044311523438,[ 0.01844203 -0.06585571],0.004679586052028812,0.5279734134674072,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",2678185529,[0.01176917 0.03445311],0.0013260079179845442,0.0014302730560302734,[-0.01232006  0.08373892],0.00716472952953335,0.017291545867919922,[0.15018373 0.08741318],0.030198673185569076,0.5773887634277344,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",1369685350,[0.00368178 0.0125652 ],0.00017077924726437006,0.0014414787292480469,[ 0.04698243 -0.0601526 ],0.005826220501995397,0.015166759490966797,[0.0015176 0.0463976],0.002153090979125495,0.5691232681274414,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",781020512,[-0.00280948 -0.05303268],0.002820553720254891,0.0020711421966552734,[-0.00325164 -0.00371392],2.4390675357972524e-05,0.033273935317993164,[0.11244832 0.0050693 ],0.012669911314936078,0.6015269756317139,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",727841268,[ 0.01431003 -0.01916571],0.0005720701403313178,0.0021355152130126953,[0.10225101 0.01310614],0.010627785710940085,0.030733585357666016,[ 0.02963085 -0.14759947],0.022662828146192783,0.5981395244598389,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",3452587823,[-0.00840176  0.01504921],0.0002974272610344099,0.0014333724975585938,[0.12495785 0.02650211],0.016324968149343783,0.014887094497680664,[0.18887561 0.10348964],0.046399817245369575,0.40602922439575195,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",1051880743,[-0.00608613  0.02612481],0.0007191716312465209,0.0011942386627197266,[-0.00370653  0.07982345],0.006384097377996396,0.016434907913208008,[ 0.04189385 -0.07727503],0.007727187821909973,0.4943382740020752,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",2320123009,[ 0.01032501 -0.03366607],0.0012413030796927765,0.001825571060180664,[ 0.0031899  -0.00309386],1.9743613510895224e-05,0.027272939682006836,[ 0.17163602 -0.134371  ],0.04751242970957441,0.4493589401245117,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",2690882795,[ 0.04933641 -0.00386807],0.002451337116242158,0.0007228851318359375,[-0.09900703 -0.0395356 ],0.011358470020535603,0.024933815002441406,[0.31711704 0.12179837],0.11542019682931344,0.512357234954834,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",470475814,[0.06487188 0.03857687],0.0056982809743290905,0.0014095306396484375,[0.0585851  0.06055636],0.007101296026987771,0.02588963508605957,[-0.10289898  0.1166341 ],0.02419194566435719,0.5360140800476074,ok
d,2,2000,20,0.6,2,uniform,"[0.1, 0.1]",4125618433,[-0.00773868  0.05221138],0.0027842769363043986,0.0012514591217041016,[-0.01316295 -0.00756421],0.00023124509954721315,0.017975330352783203,[0.3472745  0.19780277],0.1597054235358447,0.5118076801300049,ok
