param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[ 0.0494126   0.03616116 -0.0674386   0.04432763 -0.17565875 -0.07385436
  0.03957417 -0.06491513]",0.04674046260468971,0.0021088123321533203,"[-0.01223584 -0.03260721 -0.04393173 -0.04471353  0.152964    0.03566611
  0.12485467  0.06125387]",0.06597599245862532,0.014802694320678711,"[ 0.24811833 -0.06401404  0.3827795  -0.49170687 -1.07322039  0.39663992
 -0.23474412 -0.4490656 ]",1.9611767753764233,0.9582171440124512,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[-0.0366286  -0.04981346  0.00323848 -0.04311775 -0.04854583 -0.03034658
 -0.00216132 -0.10993769]",0.010917270977239614,0.003203868865966797,"[ 0.06893289 -0.04166923  0.14445055  0.137924    0.01375343 -0.07072139
 -0.05838197  0.04491163]",0.07155048487651593,0.01809215545654297,"[ 0.28309241  0.5570855  -0.09028455  0.55601688 -0.04885512 -0.24630664
 -0.69462705  0.32921938]",1.3943216707692738,0.9996442794799805,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[ 6.57967793e-02  1.04213018e-01 -9.92781144e-05 -3.12177059e-02
  1.49329152e-01 -6.27313375e-02  1.09020604e-01  4.45467007e-02]",0.08930656039435195,0.0013811588287353516,"[ 0.0492261   0.00624887 -0.05071536  0.03681539 -0.22481934 -0.02682863
  0.06959165 -0.04692444]",0.06096244562038519,0.013721942901611328,"[ 0.24272049 -1.13358921 -0.27506114 -0.08722673  0.49473193 -0.27112755
  1.27177858  0.60689857]",3.794799090267731,1.1091372966766357,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[-0.04201793  0.04633223  0.19317282 -0.06786711  0.0094962   0.00181952
  0.04196209  0.17217191]",0.06216463072400504,0.0014243125915527344,"[-0.06581782  0.13894144 -0.08652057  0.13545287  0.05773826  0.11978169
  0.104      -0.02614092]",0.0611137142895221,0.023415327072143555,"[-0.59234698  0.32094381 -0.03862393  0.14851144 -0.09486727  0.54044473
  0.23731081 -0.16090991]",0.8449777939373386,1.141627550125122,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-0.16874555  0.01465761 -0.00863698  0.16127302  0.00744225  0.07893459
 -0.02010004  0.14110159]",0.08385553786788733,0.003726482391357422,"[ 0.04179777  0.12559991 -0.11337761 -0.07208449 -0.04981199  0.05251364
 -0.01902272 -0.00241829]",0.0713001489124322,0.021956920623779297,"[ 0.38535848  0.0359539  -0.91922067 -0.01422908 -0.32403794 -1.11932594
 -0.24764685 -0.18209676]",2.744864815891199,1.0766165256500244,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[-0.05897757 -0.0075444   0.16307216  0.16648343  0.10743151 -0.02683923
  0.09019313 -0.04678566]",0.06873762331225733,0.0036177635192871094,"[ 0.02263479  0.02397771 -0.02422525  0.03504052  0.07637262  0.01455682
  0.01836489 -0.01804997]",0.006846962595650932,0.027637481689453125,"[ 0.58959494  0.30590716  0.2004473  -1.27611186  0.05482499 -0.44937073
  0.00169025 -0.86270743]",3.115642326403713,1.1479415893554688,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.04290721  0.08840971  0.00456044 -0.04388583  0.11260267  0.11768833
 -0.05490361 -0.04147328]",0.041280550566186534,0.003360748291015625,"[-0.08133382 -0.072      -0.05377443  0.1685541   0.00378379  0.11477751
 -0.0678931   0.09045136]",0.06842149242370069,0.026965618133544922,"[-0.05516739 -0.06174047 -0.03014875  0.15284208 -0.38048719  0.07397665
  0.69994084 -0.21334456]",0.7155147397045107,1.1670446395874023,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[ 0.01170301  0.05431951  0.13701317  0.08885671 -0.02426333 -0.04758755
 -0.02188128  0.02319293]",0.03238735875362298,0.003698110580444336,"[-0.04542557 -0.01512672 -0.12696945 -0.03867394 -0.1519819  -0.11942619
  0.02253727  0.08986222]",0.068199839526714,0.017717838287353516,"[ 0.01556539 -0.04871306  0.33071978 -0.84057481 -1.00375845  0.09062239
  1.06275533 -0.18100479]",2.9999763242370205,1.2458348274230957,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[-0.15714655 -0.04204279  0.06120665 -0.05859254 -0.00419172  0.04297861
 -0.14375213 -0.06546171]",0.04627783657673582,0.003149271011352539,"[-0.0120564   0.08291362 -0.02063597  0.03936537 -0.00774059 -0.024
  0.02669928  0.06800922]",0.029521295637391455,0.020589828491210938,"[ 0.29272891  0.26525259  0.20105705 -0.73979203  0.29715063 -0.78444535
  0.00553175  0.27705325]",1.5200674474803242,1.0168592929840088,ok
m,5,2000,5,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2320123009,"[ 0.19019937 -0.0044009   0.01856757 -0.05674095 -0.16040439  0.07309077
 -0.10334527  0.19018416]",0.2787861558848645,0.0018532276153564453,"[-0.16891632  0.09923526  0.00106505  0.09016714 -0.07370624 -0.20082769
  0.072      -0.04969224]",0.16680273960606318,0.015166282653808594,"[ 1.15335792e-02  3.30642146e-01  4.07995885e-01  5.51388804e-01
 -4.96268186e-01 -1.47146616e-01  5.79487944e-05 -2.01112081e-01]",1.1267329945136324,1.010596752166748,ok
