param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[0.04875951 0.15799646 0.07892386 0.1240334  0.14972628 0.11289372
 0.0065758  0.03259817]",2.535882419718118,0.0037147998809814453,"[ 0.02153103 -0.04980575  0.03996048 -0.14020986  0.07758307  0.07196286
  0.04847915 -0.11138266]",3.4794838113952666,0.016144752502441406,"[-0.37017246 -0.32973434  0.495403   -0.50046848  0.23456095 -0.31711014
 -0.46763276 -0.33038031]",6.659625768314206,1.0742411613464355,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[-0.04165083 -0.04832645  0.03122469 -0.08531688  0.07247969  0.01764753
 -0.00467581 -0.00063651]",0.11465799657265185,0.0017116069793701172,"[-0.02927732 -0.01574414  0.10570515 -0.09492613 -0.05220644  0.13373115
 -0.02701599  0.04244464]",0.16986989879434383,0.01807427406311035,"[ 0.16957861 -0.55329687  0.01138054  1.18655073  0.30025659  0.87562947
 -0.12350533  0.0698379 ]",3.186173335918238,1.05812668800354,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[-0.15914592 -0.03113643 -0.02408162 -0.1220271  -0.24867583 -0.05599905
  0.06513241 -0.16259444]",2.8306118825035376,0.004274845123291016,"[ 0.01148091  0.12507952 -0.18725336 -0.02486168 -0.20503337  0.05801111
 -0.07017503  0.03882545]",3.4553761311716733,0.01558375358581543,"[-0.50047581  0.04240381 -0.48319372 -0.80169458  0.39904962  0.15573688
 -1.35220721  0.55535864]",4.447231456580468,1.1003086566925049,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[ 0.09562103  0.0368217  -0.03929787  0.06304162  0.01620638  0.10531891
  0.10221104  0.03243971]",0.08444624110703935,0.0018095970153808594,"[ 0.13656169  0.03940317 -0.13798566 -0.09958226 -0.07948464 -0.08970791
 -0.1054911  -0.07329178]",0.3605810085566289,0.015135049819946289,"[ 0.14944004  0.06044448  0.93201532  1.21418433  0.15575827  0.62064199
 -0.09595239  0.45858388]",2.1620976837047,1.1218724250793457,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[ 0.09390369  0.02749369  0.09566837  0.10276705  0.20727944  0.04054627
  0.14608828 -0.10419581]",1.0756410993676402,0.0033063888549804688,"[ 0.04616377  0.02826434 -0.06015206 -0.00115594 -0.06241232 -0.06783654
 -0.01655432  0.03977465]",1.5950299593078678,0.026087045669555664,"[ 0.28352094 -0.04250377  0.19977687  0.5025918   1.49528228  0.46681447
 -0.23267082 -0.26158493]",2.3619177954826855,1.085186243057251,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[ 0.07211349  0.10440214 -0.12337486 -0.13127311  0.00147702 -0.15589359
  0.16308677  0.08922461]",0.20461952341192838,0.0013427734375,"[-0.08892117  0.03883933 -0.08119246  0.02022047  0.03577531 -0.0488475
  0.05699749 -0.06462476]",0.15886922551231256,0.007777214050292969,"[-0.07530981 -0.65892252 -0.61231451  0.50889661  0.57245534 -0.18463917
  0.04273109  0.69727687]",1.9598101606845106,1.1111297607421875,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.24170732  0.08087069 -0.00461275  0.00455492 -0.03057845  0.25180419
 -0.00607646  0.14554746]",1.215590240059731,0.003201723098754883,"[-0.06302423 -0.06721733  0.08334296 -0.24147127  0.00092099 -0.12401312
 -0.08301662  0.01433693]",2.2318405783632267,0.025493621826171875,"[ 0.1585503   0.40891539  0.30554123  0.50880357  0.11697014 -0.47878552
  1.13193231  0.55241756]",1.5789979415564157,1.155327558517456,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[0.01627064 0.29507412 0.00932614 0.20702305 0.13058192 0.0225767
 0.05380651 0.3544942 ]",1.0803532532330011,0.003515005111694336,"[-0.12213729  0.07796831 -0.02764712  0.02338712 -0.13658241 -0.09382356
  0.01235764 -0.00265417]",2.160954959227128,0.02313232421875,"[ 0.53195202  0.91675437 -0.52837173 -0.1091477   0.02247047  0.87382604
 -0.50944515  0.35856337]",2.920806182909853,1.1618516445159912,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[ 0.11545311  0.10299328 -0.07537841 -0.12352472 -0.01648671  0.04251966
 -0.09705046 -0.01698121]",0.999461868053811,0.002341032028198242,"[ 0.03511437 -0.11292612 -0.04450801 -0.0407442   0.06150558  0.04142962
 -0.10258243 -0.13695038]",0.8324532024312716,0.014697551727294922,"[-1.40951779 -0.49436707  0.81320706  0.54889875  0.09001271 -0.25182222
  0.48929864  0.13565147]",4.458695707738252,0.9935638904571533,ok
m,5,2000,5,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[-0.11857217  0.07781306  0.01800988 -0.01926439 -0.09352626  0.15030874
 -0.06771253  0.177237  ]",0.12914923770159523,0.0012574195861816406,"[ 0.06572667  0.04874208  0.07608998 -0.10198688 -0.20630725  0.1247027
 -0.15432158  0.06475647]",0.18675179138981046,0.008438587188720703,"[-0.0628129   0.35184763  0.14551719  0.76307134 -1.05382288  0.24507394
  0.19336523  0.42679254]",2.0052243598456805,1.0091102123260498,ok
