param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[ 0.          1.          1.          0.73928357  0.75603126 -1.
  1.          0.74255952]",3.559218630765059,0.0010459423065185547,[ 1.  0.  0.  0.  1. -1.  0.  0.],3.4799999999999995,0.0011756420135498047,"[-3.82558352 -2.33138461  0.45536743  1.73013578 -1.73013578 -4.34463257
 -2.33138461 -0.97441648]",63.4868438949015,0.01422262191772461,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[-0.82555265 -0.5302713  -0.59212479  0.          0.73463607  0.
  0.28167895  1.        ]",4.157676747182672,0.0008542537689208984,[ 0.  0. -1.  0.  1.  0.  0.  0.],3.2800000000000007,0.0012934207916259766,"[ 0.45856045  2.85856045  0.35579161 -0.35579161  3.25721773 -0.85721773
 -0.14244    -0.14244   ]",16.953896026359633,0.022937774658203125,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.00572964  1.          1.         -0.2249936   1.          1.
  0.         -0.53504096]",3.029535129810863,0.002863168716430664,"[-0.16891741  0.         -1.          1.          0.         -0.61571838
  0.          1.        ]",4.515350841383076,0.0028417110443115234,"[ 4.16073494  4.82999442  0.8904364   1.41842682 -0.33925397  9.84811719
  2.93104458 -3.65968479]",147.74634095414865,0.03180241584777832,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.         -0.22589185 -0.31790066 -1.          0.72546109  0.38018004
  0.          0.88797135]",3.5315557644995437,0.0027332305908203125,[ 1. -1.  0.  0.  0.  0.  0. -1.],5.079999999999999,0.0027379989624023438,"[ 7.09492496  4.04407745 -1.65863231  0.09052018 -1.65863231 -2.49052018
 -0.10507504 -0.75592255]",76.61939707352857,0.03525114059448242,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-1.          0.08959647  1.          0.          0.         -0.80681194
 -0.94842621  0.30283364]",6.020439950325656,0.0010180473327636719,"[ 1.          0.          0.         -0.19471668  1.          0.
  0.          0.        ]",1.87368793377799,0.00095367431640625,"[ 3.60942904 -0.53842079 -3.18674622  0.07407102  1.74113903 -1.31101114
 -1.33731429  0.6246391 ]",31.946983115983606,0.030475616455078125,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.8720467   0.         -0.04293505  0.         -0.37678372 -0.34876443
  1.          0.86928437]",2.483288499896205,0.0028417110443115234,"[-0.06501909  0.         -1.          0.          1.         -0.39048099
  0.          0.        ]",3.801102950978206,0.0027201175689697266,"[-0.15394071  2.62511275  6.47710063  5.45172733 -5.45172733 -1.67710063
  2.17488725 -0.15394071]",109.72321303545347,0.020259618759155273,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[-1.          1.         -1.         -0.74703718  0.35575921 -1.
  0.          0.23758196]",7.744031160088088,0.0014069080352783203,[ 0. -1.  1.  0.  0.  0.  0. -1.],5.079999999999999,0.0009706020355224609,"[ 0.36871211 -0.39861592  3.09713334 -1.67296286 -4.99755884  1.66429225
  2.92598006  1.06412897]",49.764188367534075,0.011228799819946289,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[0.         1.         0.84346845 1.         0.         0.
 0.         0.        ]",1.716664267565451,0.0027854442596435547,"[ 1.          0.          0.          0.          0.         -1.
 -1.          0.23741747]",4.9464330791928,0.0025348663330078125,"[ 1.74819767 -2.83934982  0.19360308  3.12248943 -5.00861602  7.52027034
  4.72547641  1.16567575]",119.01295500600983,0.024698734283447266,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[ 1.          0.55835926 -1.          0.57838489  1.          0.27832808
 -0.07987798  1.        ]",3.341985753378241,0.0008630752563476562,"[-1.         -1.          0.          1.         -1.         -0.20297817
 -1.          1.        ]",9.083582670697938,0.0012888908386230469,"[-4.1783845  -4.65547014  1.66060621 -0.02675158  0.49636055  4.87481743
 -0.52004649  2.49850337]",73.57410620239597,0.01283407211303711,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-1.          1.         -0.35743121  1.         -1.         -0.4317238
  1.          0.        ]",6.425466510971189,0.002424001693725586,"[ 0.         -1.          1.          1.          0.70847414 -1.
 -1.          0.        ]",7.015156296683175,0.0025224685668945312,"[-3.80963195  0.4474258  -2.84448238  6.68227623 -6.20963195 -7.6474258
 -4.35551762 -0.51772377]",199.62237200233,0.04236316680908203,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1472501943,"[ 1.         -0.40129975 -0.10854833  1.         -0.02504167  1.
  0.          0.        ]",2.4813631148048483,0.000751495361328125,[1. 0. 0. 0. 0. 1. 0. 0.],1.6799999999999997,0.00070953369140625,"[ 1.41883542  0.82238194 -0.60664548  1.63457188 -3.38116458  6.37761806
 -1.79335452 -1.63457188]",62.733345016545236,0.015069723129272461,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2954173373,[-1.  0.  0.  1.  0.  0.  0.  0.],3.2800000000000007,0.001291036605834961,[0. 0. 1. 1. 1. 0. 0. 0.],1.8800000000000001,0.0008711814880371094,"[ 0.51788121 -3.41720322 -0.65485484  4.64446717 -4.07882531  3.8017543
 -4.29391074  0.17449035]",87.42861773429937,0.013817071914672852,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4125618433,"[-1.         -1.         -1.          1.         -1.          0.93485812
  0.56831682  0.        ]",8.674403765686598,0.0007786750793457031,"[-1.          0.          0.          0.0285378  -1.         -0.06457068
  0.         -1.        ]",6.713810082417053,0.002413511276245117,"[ 1.10232954 -3.44165511 -5.87307962  6.12909497 -1.14968861 -1.40570395
 -1.02572055 -1.2817359 ]",97.94865417029253,0.03629255294799805,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2320123009,"[-1.         -0.03925374  1.          0.203401   -0.36293638  0.
  0.          0.        ]",3.61366694050504,0.002905130386352539,"[ 0.          1.          0.          1.         -0.22204727  0.
  0.          0.        ]",1.9069428034563496,0.0014526844024658203,"[ 7.17865088 -0.78358925 -3.18358925  0.02134912 -1.18124567  6.82369271
 -2.77630729  1.18124567]",114.79991830363042,0.029027938842773438,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2690882795,"[-0.424644    1.          0.          1.         -0.43337373 -1.
  1.          0.26726783]",4.592167322236085,0.002838134765625,"[-1.          0.          0.         -0.62320484 -1.          0.
  0.         -1.        ]",7.5669481383460235,0.002683401107788086,"[ 7.19974646  1.58488486  3.21511514 -7.20025354 -2.88165316  4.18215901
  5.41784099 -1.91834684]",168.95666568024137,0.0412907600402832,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1989427189,"[-1.          1.          1.          0.          0.         -0.02892447
 -0.47008123  1.        ]",4.301017541861654,0.0007789134979248047,"[-1.          0.          0.          0.          0.26606686  0.80995804
 -1.          1.        ]",4.946003681702919,0.0007305145263671875,"[-1.51897018  0.2772079   0.70242833 -2.85580939 -1.17206343  4.57023812
  3.75066492 -1.99163663]",51.19843265094841,0.013207197189331055,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2841777980,"[ 0.52236573 -1.          0.          0.24360072 -0.45985367  0.
  0.          0.        ]",3.378782446189734,0.0008454322814941406,[-1.  1.  0.  0.  1. -1.  0.  0.],5.279999999999999,0.0007374286651611328,"[-1.97475319 -3.17475319 -0.66549529 -6.66549529 -0.77475319  5.22524681
  4.26549529 -1.73450471]",113.63603300002539,0.037981510162353516,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2387800701,"[ 0.47140079  0.         -1.         -1.          1.         -0.12532643
  0.39039156 -0.26712068]",5.166208255178683,0.0017015933990478516,"[-1.          1.          0.          0.         -1.          0.
  0.          0.33814486]",4.923826058166528,0.0029032230377197266,"[ 1.37266806  5.3256554  -2.88934582  2.38766928  3.56003455  4.06171109
 -0.11549078 -3.01716732]",75.31549910410932,0.020954370498657227,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4243162185,"[-0.17334744  1.         -0.25619804  1.          0.73342086 -1.
 -1.          0.3897903 ]",5.5105968563972905,0.0007457733154296875,[ 0. -1.  1. -1.  0.  1. -1.  0.],7.080000000000001,0.0007338523864746094,"[-1.55639961 -2.88373384  0.37312851  0.01326195 -4.05729584 -2.78283761
 -3.58682395 -3.25330949]",74.00007262194548,0.013208389282226562,ok
n,40,40,20,0.6,8,binomial,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",3452587823,"[ 1.         -0.24361742 -0.60306378  0.12068467  1.         -0.55302296
  0.05518834 -0.53110178]",4.11249575270557,0.0022203922271728516,"[ 1.          0.         -0.57797705 -1.          1.          1.
 -0.07456537  0.        ]",4.541651391912442,0.002348184585571289,"[  1.83928152 -10.60808466  -2.88219257  -2.05099572  -3.62626088
   2.79506403  -4.42958742  -6.00160943]",226.2822537171601,0.04147958755493164,ok
