param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[ 1.         -0.71804729  1.         -0.50862888  1.         -0.23147547
  0.         -1.        ]",4.825061803200842,0.0017271041870117188,"[ 0.          0.          0.          1.          0.         -0.32491806
 -1.         -1.        ]",3.112646687836629,0.001161813735961914,"[ 5.49717907  3.42936381 -1.08761584  0.98019941  8.9148021   3.40144191
 -0.71842157  3.36821825]",146.9017933416241,0.04306483268737793,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.41030526 -0.39400954 -1.          0.         -0.35519385  0.
  0.64248878  0.        ]",2.0028826023911988,0.0027077198028564453,[ 0. -1.  1. -1.  0.  0.  0.  0.],3.097241651070284,0.002590656280517578,"[-2.43810837  1.54773826 -4.35105251 -1.83167181 -5.76555327  1.12288668
 -4.3215026   8.03895313]",149.10971298545476,0.03945136070251465,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.          0.          1.          1.         -0.05529526  0.
  0.40762477  1.        ]",2.9438674652190926,0.0030617713928222656,[ 0.  1.  0. -1. -1.  0.  0.  0.],3.0800021278509395,0.0029609203338623047,"[-4.05493598  4.65250791 -1.32815588  2.79202746  9.55887764 -0.63869429
  2.68565773 -1.22178615]",147.2700365159565,0.04482841491699219,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.9659584   1.          0.          0.81685688  0.          1.
 -0.7994899   0.19576512]",3.8636963359334002,0.0027489662170410156,[ 0.  1.  0. -1.  1.  0.  0.  1.],3.7546621665675386,0.003096342086791992,"[-1.57203449  0.7245095   4.31271515 -2.78382884  2.3141598   6.44421019
  2.83241584 -1.12595416]",83.96420001179874,0.0313868522644043,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[ 0.          0.13069919 -0.42146918  0.          0.          1.
  0.99883988  1.        ]",3.067595212654717,0.0027551651000976562,[ 1. -1. -1.  1.  0. -1.  1. -1.],7.052335783594172,0.003002643585205078,"[-0.97434704  2.52801116 -3.09827038  0.59937142 -9.73314407 -3.56449773
  0.59423852 -2.90811968]",134.3442411804808,0.0407567024230957,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.77916761  0.58716384  1.         -1.          0.53164164 -0.51536916
 -0.37004128  0.        ]",3.6494165020031537,0.0026192665100097656,"[ 0.          0.         -0.07620338 -1.          0.          1.
  0.          1.        ]",2.9872479224034993,0.0026938915252685547,"[-1.61092928  2.81092928 -1.61092928 -5.21092928  5.21092928  6.41092928
  5.21092928 -4.01092928]",151.58976153893485,0.0413060188293457,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[-0.49058172  0.          1.          0.          1.          0.
 -1.         -0.58583693]",3.586822189929868,0.0015995502471923828,"[ 0.          0.         -0.06893132 -1.          0.         -1.
  0.          1.        ]",3.031292525112297,0.0014486312866210938,"[ 4.35178298 -4.94501934 -0.02236441  0.61560076 -1.05498066  4.04821702
 -2.98439924  1.17763559]",71.53813071563613,0.036438941955566406,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[ 0.         -1.          0.         -1.          0.00974036  0.89018419
  0.          1.        ]",3.817533834766011,0.0024487972259521484,"[ 0.          1.         -1.         -1.          1.         -0.06714087
  0.          1.        ]",5.173728518630608,0.0025250911712646484,"[ 1.67246854  7.65597408 -0.55455804 -7.7980141  -0.77500956  2.02243742
  3.85201702  0.23552256]",143.03209596721007,0.039449453353881836,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[ 0.24291936  0.          0.03836075  0.45478376  0.          0.
  0.23891259 -0.54785528]",0.6044295657378808,0.002682209014892578,"[ 0.         -1.          1.         -1.          1.          0.
  0.10391873 -1.        ]",5.08337448754876,0.002604246139526367,"[-4.4853439  -1.36051643  0.50584747  6.3517078   3.9146561  -0.16051643
 -1.70584747  2.7517078 ]",88.00424537150418,0.028306007385253906,ok
n,40,40,20,0.6,8,normal,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2320123009,"[-0.89575248 -0.53286313 -0.60261857  1.          0.22522579  1.
 -0.89682049 -0.96593534]",4.913527433430361,0.0013608932495117188,[ 0. -1.  1.  0.  0.  0.  1. -1.],4.188971191227149,0.0014061927795410156,"[ 5.36619373 -0.96372082  8.61688416 -4.73218593  1.69812606 -4.53654657
 -0.37055437 -6.47873104]",191.70269031808266,0.0221102237701416,ok
