param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[ 0.          0.          0.         -0.54855114 -1.          0.
  0.         -0.74486238]",2.570754962070922,0.0036101341247558594,[ 0. -1.  0.  1. -1.  1.  0. -1.],7.528074090192084,0.00467991828918457,"[ 0.51557361  2.52390234  0.4138504  -3.20552167 -0.80552167  2.8138504
  9.72390234 -1.88442639]",141.83588696726483,0.028224706649780273,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[ 0.          0.14396935  0.          1.         -1.          0.
 -0.9260755   0.        ]",3.6567235554910402,0.003030061721801758,"[ 1.          1.          1.         -0.93511578  0.         -1.
  0.55530412  0.        ]",8.001455584706894,0.0032012462615966797,"[-1.81059114 -3.45807523 -4.04756468  5.69504876 -3.15243532 -1.50495124
  6.61059114 -1.34192477]",120.64259994229143,0.04365968704223633,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[ 0.          0.32085594 -1.          0.3739083  -1.          1.
  0.         -0.25692652]",4.396454699430738,0.0016717910766601562,[-1.  1. -1.  1. -1.  0.  0.  0.],6.354851426928689,0.0013413429260253906,"[ 5.55096713  0.22532639 -2.18134783  1.19494569  5.64262905  3.1212245
 -3.63479694 -3.5133924 ]",101.02322176265696,0.035718679428100586,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[-1.          1.          0.          0.46310362  0.95107408  0.58414817
  1.         -0.18109813]",6.876698695326291,0.0024874210357666016,"[ 0.          1.          0.         -1.         -0.65792981  0.
  0.         -1.        ]",3.1543652956861985,0.002457857131958008,"[ 6.80787687 -1.21829143 -5.60787687 -2.38170857 -7.01664747  3.37293797
  5.81664747 -2.62706203]",185.3070393813576,0.03799915313720703,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-0.60938379  0.          0.         -0.22860203 -0.00727811  1.
 -1.         -0.04308899]",4.89669092084981,0.0025153160095214844,"[-1.          0.          1.          0.          0.          1.
 -1.         -0.89111896]",7.267787922424848,0.0024514198303222656,"[-1.43170819  4.63497746  1.82864263 -1.30377242 -5.26656114  4.46329187
 -1.72781126  3.60294105]",89.48723896777568,0.0375971794128418,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[ 0.          0.          1.         -0.34020652  0.         -1.
 -0.50165276 -1.        ]",3.686209501171707,0.0016851425170898438,"[ 1.         -1.         -1.          1.          0.10706343 -1.
  0.         -1.        ]",6.33788609554422,0.0017535686492919922,"[ 4.15123862  4.05386873  5.35027042  6.74709947 -1.94613127 -1.84876138
 -3.14709947  0.64972958]",123.3041279930985,0.02770233154296875,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[-1.         -1.          1.         -1.         -0.37640068  0.
  0.          0.        ]",5.167993425467855,0.0030798912048339844,"[-0.81447501 -1.          1.          1.         -1.          0.
  0.         -1.        ]",6.500568434546344,0.002633333206176758,"[  6.93836359 -10.37798058  -5.06163641   1.62201942   0.80595742
  -2.63365957   1.59404258  -5.03365957]",223.87338868357338,0.04252886772155762,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[-0.04403369 -0.7903015   0.          1.         -0.04856017  0.
  1.          0.        ]",2.477362867720766,0.0015642642974853516,"[-0.15066512  0.          1.          0.          0.          0.
  0.         -1.        ]",2.2852470596651546,0.0014448165893554688,"[-1.82265684  2.88605048  5.60165625  1.10690297 -3.90847606 -2.98627721
  3.10142951  0.36196412]",76.99475950632552,0.03282737731933594,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1051880743,"[-1.         -0.93803362 -0.67145958  0.         -1.          1.
  1.          1.        ]",6.8881666920086655,0.002115011215209961,[ 0.  0.  0.  0.  1.  0.  0. -1.],2.985171019485005,0.0021734237670898438,"[-2.77895981 -2.88540196 -0.52020251 -1.77335534 -2.10070063  4.60714277
  0.42213223 -5.32857438]",67.38969365798806,0.03866314888000488,ok
n,40,40,20,0.6,8,standard_t,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[0.98453946 0.95968247 0.         0.         0.         0.79663102
 0.         0.        ]",2.7447283658614294,0.004789590835571289,[ 0. -1.  0.  0.  0. -1.  1.  0.],2.935565215593471,0.0028533935546875,"[ 6.41056241  0.03103134 -0.84555623  3.19603752  1.2521377  -7.70328603
  0.38285612  2.66172015]",120.58643415188303,0.042604923248291016,ok
