param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",781020512,"[ 0.          0.73596672 -1.          1.          1.          0.
  1.          0.4406397 ]",4.7333429725776694,0.0016467571258544922,"[0.         0.         0.         1.         0.31771248 0.
 1.         0.        ]",2.099141301531594,0.0014543533325195312,"[-1.54458199  2.3700594  -1.1700594   2.74458199 -3.95372303  1.73163558
 -6.66836442 -2.04627697]",84.19614060971729,0.03292703628540039,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2678185529,"[-0.13511625  0.95406719 -1.          1.         -0.40997397  0.
  0.45901324 -1.        ]",4.307265406143954,0.0026950836181640625,"[ 1.          0.          1.         -1.          0.          0.
  0.50786559  1.        ]",4.258060690091995,0.004068136215209961,"[ 0.12885349  4.85192448 -3.77721098  1.55798896  3.54807552 -5.87114651
  2.75798896  0.17721098]",94.94971398558273,0.03590846061706543,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",727841268,"[ 0.          0.          0.          1.          0.         -0.60116231
  0.34867779  0.        ]",1.4830933768936676,0.004336118698120117,[-1. -1.  0.  0.  0. -1.  0.  0.],2.9995144432943364,0.0027151107788085938,"[ 7.1930001   0.07171074 -0.5745489  -4.29100269 -0.97481057  1.35963785
 -4.262476    0.47281316]",91.67816526836681,0.043393611907958984,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",4204554059,"[-1.          0.53017198  0.00349707  0.          1.         -1.
 -0.25408931  1.        ]",4.34567530070958,0.0026845932006835938,"[ 1.          0.          0.          1.          0.          0.
  0.         -0.94276468]",2.8888784216060888,0.002605915069580078,"[-1.51193322 -3.51348968 -0.91108266  4.11434024  4.38597896  4.98859814
 -2.38619112  6.98838599]",131.043629944059,0.0444791316986084,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",259495031,"[ 0.810243   -0.67976177  0.          0.         -0.6045065  -1.
  0.          0.07931418]",2.4910079597689863,0.002654552459716797,[-1.  1.  1.  0.  0. -1. -1.  0.],5.000515901391975,0.0016531944274902344,"[ 0.63370505 -1.76629495  1.59686904 -1.59686904  4.58895155  2.61104845
 -0.04162254 -0.04162254]",36.4977930622399,0.030830860137939453,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",947380072,"[-1.          0.         -0.95494447  0.         -0.58703859  0.12590024
 -0.77542528  0.        ]",2.8738720102317674,0.002877473831176758,"[ 0.        -1.         0.5933046  0.         0.        -1.
  0.         1.       ]",3.352036290322104,0.002808094024658203,"[-2.22379817 -0.25884171  5.73910257  3.42174244 -1.17686223  3.13770724
 -0.46023704 -9.6251935 ]",153.74436862922585,0.0452885627746582,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",1369685350,"[ 0.02304676  1.         -1.          0.          0.         -1.
 -1.          0.        ]",4.001430829063564,0.002330303192138672,[0. 1. 1. 0. 1. 0. 0. 0.],2.998635795784884,0.002304553985595703,"[ 0.87864647 -1.58934525 -0.57592669  2.03029929  2.98838604 -2.92039432
  0.86618712 -9.52055973]",116.60590427390692,0.03933262825012207,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",470475814,"[ 0.          0.         -0.22785297 -1.          1.          0.
 -0.51203337  0.        ]",2.312652471999906,0.0017900466918945312,[ 0. -1.  0.  0. -1. -1.  0. -1.],3.9921666890282164,0.0009112358093261719,"[ 1.51471021 -3.91471021  2.08528979  4.48528979  0.31471021  0.31471021
  6.31471021 -6.31471021]",122.04419308934894,0.031658172607421875,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2028053869,"[-0.68459999 -1.          0.          1.         -0.70365    -0.55806334
 -1.         -0.98841534]",5.252786074687867,0.002542257308959961,[0. 1. 1. 0. 0. 1. 0. 1.],3.999404337431923,0.002638578414916992,"[ 0.55759251 -1.95684353 -2.72199401  3.55230597  4.61710409  0.72153956
  0.05270259  1.52607712]",48.33728811337932,0.03263354301452637,ok
n,40,40,20,0.6,8,uniform,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]",2690882795,"[ 1.         -1.          0.         -0.65363372  1.          0.20504935
  0.         -1.        ]",4.4692575036380005,0.0019712448120117188,"[ 0.          0.          0.         -1.          0.          1.
 -1.          0.67052409]",3.4495843738089054,0.0010225772857666016,"[-0.00831174  6.17344758  0.8851395   2.26689883 -4.96498951  3.58323018
 -3.12846174  4.51022106]",111.65436709822289,0.021467924118041992,ok
