param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
m,80,2000,80,0.6,standard_t,0.7,4204554059,0.10798926214931258,0.029419640897010355,0.0011997222900390625,0.04398606552894954,0.05547190459892468,0.02852463722229004,0.512055636946461,0.054077097190447676,0.1651303768157959,ok
m,80,2000,80,0.6,standard_t,0.7,2678185529,0.0007932621079787863,0.0044009155700625155,0.0013988018035888672,-0.031092292247088506,0.0011870672604016106,0.0137481689453125,-0.509526663137445,0.1971187096234544,0.21274781227111816,ok
m,80,2000,80,0.6,standard_t,0.7,781020512,0.10643203735325779,0.001197749347511461,0.0024025440216064453,-0.00795662647749616,0.022200159458843557,0.019747018814086914,0.45625734348456887,0.0993616250740652,0.21436691284179688,ok
m,80,2000,80,0.6,standard_t,0.7,727841268,-0.2601968034425621,0.09605737858373417,0.002169370651245117,0.004413070299581134,0.33009750075234434,0.0299990177154541,-0.5379851261672236,0.0010331676553051322,0.2140042781829834,ok
m,80,2000,80,0.6,standard_t,0.7,1369685350,0.13742802344811528,0.005594882507326358,0.0009706020355224609,0.04622511190175643,0.027556617118560035,0.02238178253173828,0.5050669671616881,0.08575526353811064,0.2192707061767578,ok
m,80,2000,80,0.6,standard_t,0.7,947380072,0.23769035532901653,0.11453628201511915,0.0019643306732177734,0.05870625388837571,0.26771951894635193,0.028902053833007812,0.5269799779452438,0.0024149824597113024,0.24814438819885254,ok
m,80,2000,80,0.6,standard_t,0.7,259495031,-0.12653844867043615,0.013377001374584368,0.0020148754119873047,-0.028474390037066064,0.04567754042091797,0.01844954490661621,-0.4490422705922415,0.04278478555370421,0.27153587341308594,ok
m,80,2000,80,0.6,standard_t,0.7,2028053869,0.06710061905748209,0.0003612597286644996,0.0018770694732666016,0.04179107362284466,0.001963941462787667,0.021902084350585938,0.5003305213332423,0.17158075051057003,0.19830989837646484,ok
m,80,2000,80,0.6,standard_t,0.7,1051880743,0.057459771729967406,0.007338960755638145,0.0011332035064697266,0.01023585464800078,0.017660191093186572,0.012850522994995117,0.43971059331325485,0.0879615274701962,0.180067777633667,ok
m,80,2000,80,0.6,standard_t,0.7,470475814,0.14837866079665174,0.03285275227442429,0.0017261505126953125,0.029570430995903337,0.09003691092813962,0.012470245361328125,0.48715103463429715,0.024812264259765186,0.25738072395324707,ok
m,80,2000,80,0.6,standard_t,0.7,2690882795,-0.16468477920320473,0.047797961760696894,0.0008666515350341797,-0.03178997059506748,0.12356789808343334,0.012726545333862305,-0.5167858570586455,0.01781520941397148,0.28079891204833984,ok
m,80,2000,80,0.6,standard_t,0.7,4125618433,0.19279734595084708,0.09509803693397458,0.0008935928344726562,0.030688597237260994,0.2213593766531351,0.0076673030853271484,0.5369226802007486,0.0012777506505403308,0.2774844169616699,ok
m,80,2000,80,0.6,standard_t,0.7,2320123009,-0.06607239313113748,0.011315141152246603,0.0018012523651123047,0.018340149192546215,0.036398990478467515,0.029111385345458984,-0.38985939888151655,0.047269001096649964,0.26453161239624023,ok
m,80,2000,80,0.6,standard_t,0.7,1472501943,0.1625096852505324,0.044296142344674674,0.0015797615051269531,0.014361195374697861,0.1286047019711561,0.02960062026977539,0.462255844707956,0.007970859831575442,0.25235819816589355,ok
m,80,2000,80,0.6,standard_t,0.7,3452587823,0.10556663562898147,0.06239735043010124,0.0009195804595947266,0.024389637413792003,0.10954220974415776,0.010361909866333008,0.4189644497697219,0.004045366750707841,0.26065731048583984,ok
m,80,2000,80,0.6,standard_t,0.7,2954173373,-0.25022435497290574,0.05263947571472924,0.0009276866912841797,0.0011366916453285354,0.2311628612516173,0.007947921752929688,-0.5331314075519009,0.002859480306445918,0.3060026168823242,ok
m,80,2000,80,0.6,standard_t,0.7,1346599503,-0.10345482754408959,0.024705916515470053,0.0016655921936035156,-0.006868156293392111,0.06439811130024518,0.012666702270507812,-0.4585006023926226,0.039150406493302516,0.23800945281982422,ok
m,80,2000,80,0.6,standard_t,0.7,1989427189,0.10015684233847671,0.008335234493866833,0.0015659332275390625,0.004234580131909773,0.03505124138594578,0.03080129623413086,0.43019930084217495,0.05699915262829308,0.1783463954925537,ok
m,80,2000,80,0.6,standard_t,0.7,2841777980,-0.016560142778402457,0.0007456247939013064,0.0014486312866210938,0.054490023905382816,0.00967396130743248,0.02823352813720703,-0.5232984825123868,0.22985524270637003,0.2888143062591553,ok
m,80,2000,80,0.6,standard_t,0.7,312743187,-0.17731745657305537,0.08342914432560646,0.0014510154724121094,-0.04148173820097612,0.18035034606871056,0.014618396759033203,-0.5451446741100106,0.006238816805956471,0.14244294166564941,ok
m,80,2000,80,0.6,standard_t,0.7,2387800701,-0.032069964038920415,0.008635275234294651,0.0010988712310791016,0.023305136608817164,0.021993270328353805,0.023727893829345703,-0.4482200371008032,0.10447368398554202,0.21912264823913574,ok
m,80,2000,80,0.6,standard_t,0.7,2390268618,0.16817970565756826,0.015328668676695769,0.0006818771362304688,0.07707618065821321,0.04618739374129482,0.008530139923095703,0.4065639483328557,0.013127486053000358,0.18172740936279297,ok
m,80,2000,80,0.6,standard_t,0.7,4243162185,-0.035243385742888,0.0008766690766218736,0.0007603168487548828,-0.022693679713587073,0.0002910057958995932,0.008996009826660156,-0.4451813717466204,0.1932011995256246,0.2630620002746582,ok
m,80,2000,80,0.6,standard_t,0.7,3926379781,-0.02697294778461988,0.004273949663955029,0.0015599727630615234,-0.013943210101511934,0.006147373696986803,0.028796672821044922,-0.4197931849036995,0.10722008760344963,0.3273336887359619,ok
m,80,2000,80,0.6,standard_t,0.7,1139351029,-0.03360296642269958,0.02353879828281153,0.0014603137969970703,0.011525517738136244,0.03942292656034953,0.02356553077697754,-0.4952396923538844,0.09499533652908966,0.17136287689208984,ok
m,80,2000,80,0.6,standard_t,0.7,3194031095,0.10402792008344167,0.014849464817079596,0.0011887550354003906,0.023278797872175207,0.041049800020216125,0.018874168395996094,0.5043253357356112,0.0775282964815585,0.20941853523254395,ok
m,80,2000,80,0.6,standard_t,0.7,1863184316,-0.190012094517594,0.14576312827133556,0.0009794235229492188,-0.09157646064078334,0.23061606092231304,0.011608123779296875,-0.49003198941779347,0.006686248177444416,0.25403666496276855,ok
m,80,2000,80,0.6,standard_t,0.7,3387436816,-0.06902945483081156,0.02377457887037016,0.0014386177062988281,-0.06740068978258958,0.02427951055205482,0.026137113571166992,-0.4288442510129357,0.042281526438828404,0.2175760269165039,ok
m,80,2000,80,0.6,standard_t,0.7,1803210951,0.12144304099750503,0.021475532550497122,0.001234292984008789,0.040088980156883273,0.05193813048819722,0.028525590896606445,0.4812383183463504,0.045475541782224904,0.2861511707305908,ok
m,80,2000,80,0.6,standard_t,0.7,1100160589,-0.055828758942569626,0.00010252475055828684,0.0011332035064697266,-0.028250057302247986,0.0014216030987874784,0.02209162712097168,-0.45647935706002035,0.15250989081632624,0.23978519439697266,ok
