param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,girgis_estimate,girgis_mse,girgis_time,status
n,40,40,20,0.6,uniform,0.7,2678185529,-0.04121056422491244,0.0016101825541241237,0.0003647804260253906,-0.2,0.03956778027188376,0.0014214515686035156,0.9652397371987924,0.9337805681471498,0.003962516784667969,ok
n,40,40,20,0.6,uniform,0.7,727841268,0.35970149603563356,0.1285075600769592,0.00037860870361328125,-0.3,0.09073468404179823,0.0005669593811035156,-0.03046032184199342,0.001003768545211467,0.0042188167572021484,ok
n,40,40,20,0.6,uniform,0.7,781020512,-0.07503039982374701,0.0057274590541201015,0.0005311965942382812,1.5132174506282681e-05,4.025215953321301e-07,0.0009160041809082031,0.5218248904006625,0.271623706182123,0.007447719573974609,ok
n,40,40,20,0.6,uniform,0.7,947380072,0.028484094866362004,0.0009016850537311275,0.0002872943878173828,-0.2,0.039384793370843635,0.0004916191101074219,0.5317754078793431,0.2844295654661111,0.004172801971435547,ok
n,40,40,20,0.6,uniform,0.7,4204554059,-0.15545716375176985,0.024039010166759345,0.00028228759765625,-0.1,0.009917774473981185,0.0007805824279785156,0.045008302249067364,0.002063001699137795,0.007829904556274414,ok
n,40,40,20,0.6,uniform,0.7,259495031,-0.04442086238329164,0.0017607597251246762,0.0007586479187011719,-0.034700954136907235,0.0010395142785340672,0.0010645389556884766,-0.3066996610509873,0.09256210309060593,0.007996797561645508,ok
n,40,40,20,0.6,uniform,0.7,1369685350,-0.29801557810394086,0.08810034919867764,0.00031185150146484375,0.1411115444658666,0.02025216249485769,0.0004985332489013672,0.5997538603607321,0.3611437974406271,0.004216194152832031,ok
n,40,40,20,0.6,uniform,0.7,2028053869,-0.5992163063594055,0.35977732143895524,0.00035834312438964844,-0.1871635775025362,0.03525444733906087,0.0008084774017333984,0.12979710962893828,0.01669238422637846,0.007412910461425781,ok
n,40,40,20,0.6,uniform,0.7,470475814,0.2830518362315169,0.08157782790370077,0.0003261566162109375,-0.2729885537931127,0.07312809294173546,0.0007984638214111328,0.8354047199048311,0.7021957475274216,0.0072078704833984375,ok
n,40,40,20,0.6,uniform,0.7,1051880743,0.18724513481730465,0.034989920132111614,0.0002868175506591797,0.27698872451939405,0.07661797289973722,0.0004928112030029297,-0.9718755118887443,0.9449098177055568,0.008142948150634766,ok
n,40,40,20,0.6,uniform,0.7,2690882795,-0.29429830703180965,0.08690539837021607,0.00031828880310058594,-0.05033534816498059,0.0025841216653224655,0.0007946491241455078,0.020665510935356644,0.00040669184797732403,0.007431745529174805,ok
n,40,40,20,0.6,uniform,0.7,4125618433,-0.012398972594912183,0.00019280190582745434,0.00032639503479003906,-0.20082768855597638,0.04093096615009714,0.0008182525634765625,0.21242741310600272,0.04449613632358251,0.007174491882324219,ok
n,40,40,20,0.6,uniform,0.7,1472501943,0.03192817053203967,0.0010152665884318505,0.0003514289855957031,-0.4,0.16005194204818435,0.0008044242858886719,-0.4797911687484335,0.2302618681082214,0.007139682769775391,ok
n,40,40,20,0.6,uniform,0.7,2320123009,0.0629481314097244,0.004024652693627923,0.0003409385681152344,-0.18372616795329932,0.033574753314855973,0.0008356571197509766,-0.8272514162102876,0.6835311007501561,0.01707315444946289,ok
n,40,40,20,0.6,uniform,0.7,2954173373,0.4,0.16012534875102855,0.00033736228942871094,0.003500757149104983,1.3376665549999402e-05,0.0008249282836914062,-0.13459382547012325,0.018073352733380635,0.007230281829833984,ok
n,40,40,20,0.6,uniform,0.7,3452587823,0.4,0.15848035793098805,0.0003287792205810547,0.4,0.15848035793098805,0.0008051395416259766,-0.12631564525547656,0.01644029910075603,0.0077898502349853516,ok
n,40,40,20,0.6,uniform,0.7,1346599503,-0.10443863060696733,0.010631162177675154,0.00044918060302734375,0.1,0.010267992505510325,0.0009448528289794922,0.2685084210512302,0.07281336892743624,0.00877523422241211,ok
n,40,40,20,0.6,uniform,0.7,2841777980,0.12950541466900797,0.01704538451138207,0.0003800392150878906,0.20066422277721557,0.040689660085821776,0.0008687973022460938,-0.7481689509192657,0.5581829029438479,0.010029792785644531,ok
n,40,40,20,0.6,uniform,0.7,1989427189,-0.09780442162288011,0.00845394987624856,0.00031185150146484375,-0.17552166672673666,0.028785400771369363,0.0007808208465576172,0.49417633573375885,0.2500353950707437,0.007028341293334961,ok
n,40,40,20,0.6,uniform,0.7,2387800701,-0.178714850287271,0.03162079554914576,0.0003151893615722656,-0.4,0.15928681291234129,0.0007791519165039062,-0.11460291131621955,0.012930062301746516,0.009539127349853516,ok
n,40,40,20,0.6,uniform,0.7,4243162185,0.1942829246005153,0.03764355631899541,0.0005071163177490234,0.2527102007995473,0.0637293617221705,0.0007963180541992188,0.3652450268639803,0.1332115510639821,0.0056972503662109375,ok
n,40,40,20,0.6,uniform,0.7,3926379781,-0.1224704882131401,0.013566177114620218,0.0003943443298339844,-0.1,0.00883664766902808,0.0012519359588623047,-0.7037979943384269,0.486926848721699,0.008282899856567383,ok
n,40,40,20,0.6,uniform,0.7,1803210951,-0.16112262228568214,0.02633218972625358,0.000354766845703125,0.4,0.15908184902616748,0.0008563995361328125,0.8751555965178273,0.7638869365281362,0.005620241165161133,ok
n,40,40,20,0.6,uniform,0.7,2390268618,0.21529700818510317,0.046295041104131095,0.0003330707550048828,-0.4,0.16010736484675947,0.000820159912109375,0.7072519729026651,0.5000155680162884,0.007380247116088867,ok
n,40,40,20,0.6,uniform,0.7,312743187,-0.055275734859072334,0.002988343985025208,0.0003814697265625,-0.06819648507873066,0.00456793471764229,0.0006597042083740234,-0.4630264643480907,0.21382899848946504,0.004590749740600586,ok
n,40,40,20,0.6,uniform,0.7,1139351029,-0.19293016010568306,0.037704276479469244,0.0003044605255126953,-0.3793894779175172,0.1448831618614831,0.0007908344268798828,0.6446185856211333,0.41392863074992803,0.007546424865722656,ok
n,40,40,20,0.6,uniform,0.7,1863184316,-0.009364899105768033,0.00012509691411459491,0.00024771690368652344,0.08255924837594426,0.0065188627107248785,0.0013737678527832031,-0.1525411487215347,0.023827294485962942,0.006159782409667969,ok
n,40,40,20,0.6,uniform,0.7,1100160589,-0.22894656588419868,0.05236210728571158,0.00028967857360839844,0.3436352030937385,0.11816687346141838,0.0007805824279785156,-0.3580109757470148,0.12808674822336938,0.007070302963256836,ok
n,40,40,20,0.6,uniform,0.7,3387436816,-0.1,0.010140123019736729,0.0003559589385986328,0.1,0.009860851884848048,0.0008776187896728516,-0.9645215420574054,0.9316491076734623,0.008427858352661133,ok
n,40,40,20,0.6,uniform,0.7,3194031095,-0.19093476498422834,0.036684684850117805,0.00034618377685546875,-0.1,0.010119897091495175,0.0010242462158203125,0.6325685915584205,0.39938720874330863,0.009224891662597656,ok
n,40,40,20,0.6,uniform,0.7,1705053442,0.10769787572154106,0.011741537165068289,0.0002522468566894531,0.14136161457307272,0.020170280472158283,0.00048232078552246094,0.4458947404904626,0.1994115810623878,0.007060527801513672,ok
n,40,40,20,0.6,uniform,0.7,845025431,0.02461502885385132,0.000568822529325806,0.0003342628479003906,-0.08646895688364391,0.007609768160387177,0.0008614063262939453,0.3178401176031908,0.100536612295275,0.007831573486328125,ok
n,40,40,20,0.6,uniform,0.7,2142071295,-0.5015400836614025,0.2525893691084314,0.00035190582275390625,-0.36257475424731195,0.13221759130128738,0.0010111331939697266,-0.8636292993826334,0.7476575197193842,0.008146047592163086,ok
n,40,40,20,0.6,uniform,0.7,3329482216,-0.05516889544081012,0.003047682319556802,0.00035762786865234375,0.4,0.15997046347163416,0.0008399486541748047,-0.36330447215088296,0.13201696896840756,0.011186361312866211,ok
n,40,40,20,0.6,uniform,0.7,4045147272,-0.5475770038316261,0.297655519483451,0.0003833770751953125,0.5,0.2520028476601083,0.0008368492126464844,0.28796824855783426,0.08408091955077997,0.007016181945800781,ok
n,40,40,20,0.6,uniform,0.7,1974704002,-0.01359766995629843,0.00020165001619194307,0.0003170967102050781,-0.3,0.09036197285974565,0.0007989406585693359,-0.6779577884200778,0.46044431299674426,0.007112979888916016,ok
