param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.12227262 -0.06896417  0.03681177  0.02437572  0.00705255 -0.03938652
  0.0276737   0.07864847]",6.160765386871833,0.023796796798706055,"[-0.06207987 -0.06054094  0.01690722 -0.01724818  0.01060917  0.05178866
 -0.06354446 -0.02890539]",5.979337759553706,0.13286828994750977,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[ 0.00260107 -0.01092815 -0.02458887 -0.05038977  0.0640246  -0.00893139
  0.01844335 -0.03408558]",6.232703685984469,0.02311873435974121,"[ 0.01533836 -0.08443609 -0.05621771 -0.02279803 -0.00584604 -0.10098265
 -0.01567379 -0.01950586]",5.808503708227417,0.14634990692138672,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[-0.02683458 -0.07437558 -0.03921763 -0.08831746  0.01688142 -0.0411839
 -0.08244583  0.13540738]",5.959070156721659,0.020639419555664062,"[ 0.00626396  0.03675091 -0.01836951 -0.03127898 -0.0942809  -0.0254794
  0.08172995 -0.01521064]",6.182836388338151,0.09366250038146973,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.10915144 -0.02172594 -0.0152008  -0.06716736  0.02775417 -0.01290239
 -0.01511187 -0.03239951]",5.812984314027849,0.019484996795654297,"[-0.05385797  0.01118246  0.06176679  0.02105407 -0.01050765  0.10134764
  0.04867058  0.04916367]",6.653819961855748,0.10473418235778809,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.05207292 -0.05402466 -0.06789165 -0.03457573 -0.07571292 -0.06319047
 -0.00674166 -0.02922606]",5.608056476153968,0.01974630355834961,"[-0.04354371  0.07822469 -0.00750141 -0.0730705  -0.025182    0.08873955
  0.02462888 -0.03968543]",6.297637104686565,0.10954761505126953,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[-3.22407040e-02  2.34246467e-03 -2.35282808e-02  9.69241166e-05
  3.17825330e-02 -1.24993426e-01 -1.09742124e-01  1.76177738e-03]",5.813215491033895,0.021372318267822266,"[ 0.02222752  0.014793    0.04863744 -0.02639758 -0.03968595 -0.0331993
 -0.0878015  -0.05366774]",5.975467923532204,0.1358017921447754,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[-0.0092833   0.01761345 -0.05518919 -0.03470604 -0.06632665 -0.04491177
 -0.0870762   0.00906193]",5.7229112640397295,0.019465208053588867,"[ 0.01584724 -0.03345652  0.07497773 -0.00249931 -0.06462622 -0.06744519
 -0.03698663 -0.02898469]",5.940247757750338,0.08684945106506348,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[ 0.09980843 -0.00709292 -0.05921304 -0.01300433 -0.18750139 -0.00283608
 -0.07129232 -0.06499374]",5.714578246100909,0.018244028091430664,"[-0.04524885 -0.04763183  0.05782016 -0.04041295 -0.031681    0.00709636
  0.03322874 -0.01678454]",6.059772068949338,0.10574555397033691,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.01434169 -0.02285998 -0.10966117 -0.08136694 -0.00753056  0.0570932
  0.0468092  -0.00700699]",6.066693930214302,0.016230106353759766,"[-0.04180856 -0.03713341 -0.02609334 -0.01134511 -0.01370024 -0.0621491
 -0.01663152  0.00990001]",5.948057474548057,0.09923434257507324,ok
alpha,0.1,8000,40,0.1,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[-0.04697858 -0.05580541 -0.01673378 -0.11396118 -0.00839751  0.03976108
  0.02138497  0.03026275]",6.08882693555876,0.015466690063476562,"[ 0.01427705  0.01716754 -0.01719156 -0.05130924  0.05506084  0.01020608
 -0.03535259 -0.0090735 ]",6.31731385551368,0.0995035171508789,ok
