param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 0.0873401   0.02462604  0.00959308 -0.09354812 -0.02231444 -0.0034467
  0.05969008 -0.04833637]",0.026971502560992327,0.023777246475219727,"[-0.06075147 -0.02346924 -0.06852363 -0.02567042  0.04466183  0.03387957
  0.02745332  0.05440875]",0.03532652598132039,0.07817387580871582,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[-0.0067287  -0.01436723 -0.00763748  0.07641825  0.00921272 -0.05156986
  0.0697506   0.00839023]",0.02578428311209976,0.02463698387145996,"[0.0939113  0.01333983 0.02214722 0.02910185 0.00405516 0.04419719
 0.04502414 0.04815558]",0.034879838103384214,0.08562755584716797,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.02264424 -0.04573278 -0.0400053   0.06974574  0.0010827  -0.02303145
 -0.03626159  0.03098161]",0.011072638121441927,0.01865077018737793,"[-0.05018728  0.03415294  0.01408632  0.03330247 -0.071928   -0.01501458
  0.01750429 -0.0189017 ]",0.011394131260421736,0.08045005798339844,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.00226666 -0.00652654 -0.03451853  0.02861459 -0.05266485  0.04471098
  0.00945199  0.01549816]",0.031239921465400822,0.025997638702392578,"[-0.09219332 -0.01554092  0.03839117  0.03175219  0.03496128  0.05388842
 -0.05990643  0.06342471]",0.02459413414056977,0.11769795417785645,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[-0.08426966 -0.04429396  0.06484    -0.01009688  0.05283705  0.00979131
 -0.03661228 -0.04112001]",0.03618357788124302,0.025430917739868164,"[ 0.01860741  0.05612     0.06372519 -0.08451286  0.0617818  -0.02603025
 -0.05986818 -0.02856208]",0.030409736932760986,0.13135051727294922,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.03163606  0.00842456  0.02377827 -0.03109472  0.00576575  0.04065573
 -0.0352994  -0.01895409]",0.017304418677818456,0.01812434196472168,"[-0.08553678 -0.01544344 -0.04716416  0.0542309   0.05127493  0.01229474
 -0.00139997 -0.08391572]",0.03174750643693874,0.10946869850158691,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.01188724 -0.04265072 -0.0396444  -0.05327332  0.05186856  0.01166097
 -0.03001375 -0.13389224]",0.029815108309620735,0.021015405654907227,"[ 0.01846386  0.12337821  0.02753777  0.00812527  0.02949962 -0.00356324
 -0.02835189 -0.06815527]",0.021956983000838825,0.12578654289245605,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.00993003 -0.0640789   0.00472748 -0.05533243  0.02040964  0.01499688
  0.03747922 -0.01865079]",0.018856565784379768,0.01766037940979004,"[ 0.02750461  0.03105481  0.0177488   0.02507437 -0.03135071  0.07795861
 -0.01631797 -0.09573034]",0.019574687928621794,0.07834529876708984,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[ 0.01111476  0.03272622 -0.04311865  0.02279672  0.02911016 -0.04973277
  0.00393579  0.02189909]",0.021856634690400476,0.02134537696838379,"[ 0.0009168  -0.00538063 -0.01170076  0.0557684   0.04031524 -0.02771469
 -0.07164731 -0.05919026]",0.029795299686360233,0.09612703323364258,ok
alpha,0.1,8000,40,0.1,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.05862143  0.06888661 -0.00851637 -0.00279819  0.04293123  0.08925793
 -0.08450643 -0.03064955]",0.04065055215005283,0.015310049057006836,"[ 0.05112509 -0.01047099 -0.04382626  0.00277937 -0.01754726 -0.03221976
  0.02575567 -0.04765083]",0.003943388446814262,0.1106562614440918,ok
