param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[-0.03799754  0.07178602 -0.01631199  0.02671333 -0.02658528  0.02653986
  0.02137716 -0.02440639]",0.5867953863996238,0.02754378318786621,"[ 0.12866998  0.00529746 -0.06924881  0.05428946  0.02968323  0.02336226
  0.03297053  0.02212028]",0.6718061471734652,0.08508920669555664,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[-0.0222956   0.0100444  -0.07005477 -0.01546725 -0.00608357 -0.03073615
 -0.00587904  0.0030756 ]",0.1272355859737041,0.029397249221801758,"[-0.00939619  0.03801479 -0.00131751  0.10301065  0.03368155 -0.08672097
  0.00545682  0.03559226]",0.18354289154281944,0.10866403579711914,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[-0.02496523  0.01688412 -0.04106101  0.05735268  0.00743857  0.0147846
  0.00086712  0.0590645 ]",0.27951274760131684,0.022546052932739258,"[ 0.02389468 -0.01599779 -0.00025553  0.03388273 -0.00768522  0.06658446
 -0.00726189  0.0108483 ]",0.20029987572969715,0.09674572944641113,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.03900413  0.0211558  -0.02650237 -0.01039332  0.00058636  0.04489323
  0.0024168  -0.1286982 ]",0.7745825731909547,0.01908087730407715,"[-0.02201709  0.04616365 -0.02940945 -0.10413738 -0.04949087  0.01660669
  0.03446834 -0.03332372]",0.8959324534168019,0.10950565338134766,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.01711214 -0.03071011  0.02385446  0.00676639 -0.08559857  0.01905575
  0.08432187 -0.01381018]",0.6338536113388958,0.019622087478637695,"[-0.06385792 -0.02413537  0.00755097  0.0333641   0.07736024 -0.027888
  0.07382206 -0.01398832]",0.7307899915653467,0.13324379920959473,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[ 0.03792777 -0.02980638 -0.02048911  0.06509144  0.03574358 -0.02272343
  0.00636978 -0.00615378]",0.5376156206725876,0.015487194061279297,"[ 0.05458064  0.08430529  0.02036375  0.0079036  -0.05361919  0.01210182
  0.04994698 -0.06447872]",0.5507930588188179,0.11307334899902344,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.01905083  0.02978743  0.00780961  0.1403804  -0.07956969  0.0901584
  0.05698541  0.00380705]",0.729914375362983,0.02032756805419922,"[-0.0353867   0.08467563 -0.02733335 -0.01257499 -0.02824433 -0.00337064
  0.00207961 -0.06484791]",0.6010103066909593,0.08050251007080078,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[ 0.003292   -0.03640268 -0.0611712   0.06614032  0.02261529 -0.01629563
 -0.01781949 -0.04573653]",0.5281100655310775,0.014406442642211914,"[-0.00701321 -0.06593171 -0.02420295  0.01465538 -0.00643949 -0.04424495
  0.0081196   0.00966611]",0.49940797580867563,0.14246654510498047,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[ 0.00800828  0.04164044 -0.05105387 -0.01705376  0.04544503 -0.02213392
  0.03170919 -0.03660576]",0.289946828798549,0.011673212051391602,"[ 0.03858659  0.04915779 -0.03888126 -0.00961948 -0.0337911  -0.00935603
  0.09160095  0.06280863]",0.35363047900738065,0.15824580192565918,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.00457804 -0.06779392 -0.08319665 -0.00481448 -0.05856524 -0.03985475
  0.00932197 -0.04532785]",0.5180854044757166,0.02522563934326172,"[-0.02942651 -0.0107047  -0.05536402 -0.02295568  0.03436698 -0.0370549
 -0.09894879  0.01493109]",0.6279832382595456,0.1164402961730957,ok
alpha,0.1,8000,40,0.1,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[0.0393147  0.00800253 0.01889747 0.00285468 0.06332294 0.01770913
 0.05660812 0.0432055 ]",0.8760839088577591,0.01856541633605957,"[-0.0242264   0.07412903 -0.037124    0.010543   -0.0455665   0.00224224
 -0.02455148 -0.03568228]",0.7632955751583569,0.13681459426879883,ok
