param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.08648954 -0.02846117  0.06815429  0.0731781   0.03888667 -0.00176418
  0.06446049  0.10786012]",0.035594605745088256,0.02303934097290039,"[-0.03920835 -0.0476906   0.03011439 -0.00019637  0.03013043  0.0580809
 -0.04783118 -0.01458403]",0.011501792130321112,0.09260678291320801,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[ 0.03207801  0.01969942  0.00027084 -0.01393229  0.09041619  0.01768771
  0.04717687 -0.00234137]",0.012331421821403657,0.01882195472717285,"[ 0.0312224  -0.07533383 -0.04362115 -0.00807252  0.01083475 -0.09372402
 -0.00659775 -0.01406675]",0.017758897765991637,0.0925605297088623,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.0498457   0.00292538  0.0172781  -0.03981147  0.05113096  0.01527635
  0.01305367  0.00098762]",0.0073955714988030155,0.017340421676635742,"[-0.03859357  0.02808041  0.06787576  0.03358521 -0.00435261  0.11463834
  0.05943684  0.05934309]",0.02822861418249755,0.1013038158416748,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[-0.00206161 -0.04923987 -0.00943582 -0.05499492  0.0598702   0.00838743
 -0.05650786  0.16550187]",0.039781019521883745,0.015593767166137695,"[ 0.01572901  0.04637438 -0.00523057 -0.00554273 -0.08305773 -0.01020513
  0.09174493 -0.00377603]",0.01789084356658255,0.13472962379455566,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 0.00600024  0.02818033  0.00469579  0.03129677  0.06901469 -0.07984148
 -0.07019573  0.03442639]",0.019083403121430146,0.015841245651245117,"[ 0.03404605  0.02308348  0.07183642 -0.01624896 -0.02729332 -0.01808111
 -0.08194613 -0.04677975]",0.017092580202541407,0.15291786193847656,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.02608009 -0.03000843 -0.04170306 -0.00071987 -0.05380075 -0.04136189
  0.02598041 -0.01025159]",0.008705456730072156,0.01865839958190918,"[-0.03788979  0.08811874  0.0032613  -0.06156535 -0.00397203  0.09686208
  0.03525707 -0.03063326]",0.02458183029990005,0.11333060264587402,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.02395243  0.0485504  -0.01041366  0.00123925 -0.03050906 -0.01668706
 -0.05398908  0.029289  ]",0.008022468322705485,0.019176244735717773,"[ 0.02703788 -0.02736477  0.08337609  0.01040291 -0.05239973 -0.05458872
 -0.02482278 -0.01883035]",0.01523123573121944,0.13399910926818848,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[ 0.12721901  0.02337149 -0.02642405  0.02078003 -0.15032587  0.01870932
 -0.03380218 -0.04072103]",0.04360871385659236,0.020980119705200195,"[-0.03611673 -0.0297876   0.06361224 -0.03489865 -0.01851241  0.01666077
  0.04647874 -0.00894504]",0.010316657328238462,0.13928818702697754,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[ 0.02206698  0.01241352 -0.06958746 -0.04617456  0.02858271  0.08605275
  0.0825891   0.02068118]",0.023085337342858274,0.023914337158203125,"[-0.0295272  -0.0272375  -0.01960567 -0.00102211  0.0063112  -0.05456065
  0.00087648  0.02330893]",0.005559396146513094,0.11292624473571777,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[ 0.00489269  0.07606368  0.00857509 -0.00153292 -0.0361914  -0.04326472
 -0.02154412  0.01926209]",0.00990310275987373,0.019713163375854492,"[-0.02894653  0.027215   -0.07921055 -0.09351137 -0.01135953 -0.03211528
 -0.01207604 -0.03849887]",0.019384112359663454,0.1138768196105957,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1472501943,"[ 0.02919198 -0.00330242  0.04925105  0.05086676 -0.02594899 -0.06377848
 -0.01341684 -0.05857353]",0.014228071407850663,0.01026010513305664,"[ 0.06205568 -0.04614654 -0.0851385   0.01911857  0.00430628  0.04930964
 -0.06839289  0.03022829]",0.021635418650898946,0.10035467147827148,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[ 0.00134228 -0.02251285  0.02190015 -0.06962852  0.03833224  0.0668395
  0.05019282  0.05374677]",0.01718104555416976,0.02289605140686035,"[ 0.02817389  0.02929151 -0.00870021 -0.03363622  0.06903762  0.02571573
 -0.01957075  0.00376877]",0.008683971724601702,0.13515210151672363,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2320123009,"[-0.0338919  -0.05664636  0.09445086  0.15205881  0.05282159 -0.00899436
  0.03051254 -0.0387717 ]",0.04170332852147881,0.018887758255004883,"[ 0.00822836 -0.07257684  0.02302376 -0.09420413 -0.0547179  -0.02876388
  0.00596415  0.03291235]",0.019679566419872983,0.14143943786621094,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[-0.01831913 -0.04392396 -0.01005282 -0.10088245 -0.00409971  0.07658999
  0.02635545  0.04549294]",0.02118919312109304,0.019444704055786133,"[ 0.0188054  -0.02702345  0.0384746  -0.03807047 -0.06487317 -0.02068692
  0.01772806  0.0131032 ]",0.009137432252395414,0.14096331596374512,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2954173373,"[ 0.00288038 -0.02348997 -0.00742444  0.0377935  -0.03699429 -0.03622712
 -0.03351465  0.00572637]",0.005879789010053411,0.019622325897216797,"[ 0.00848799  0.11182918 -0.08688078  0.06528817 -0.03092116 -0.01853902
  0.00660379 -0.06571766]",0.03005421989334938,0.07429838180541992,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[ 0.0037659   0.02549805 -0.00118036 -0.03697108 -0.03450815  0.01670985
  0.10710377 -0.02706159]",0.015705084630688353,0.02235269546508789,"[-0.01531573  0.05362008 -0.04020617  0.00674993 -0.0056266   0.07629282
  0.06780778  0.01181412]",0.015364425162930679,0.12576937675476074,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2841777980,"[-0.00126465  0.01116958 -0.06926404  0.03109966 -0.0652766   0.02162632
 -0.0776447  -0.00134397]",0.01664947097890084,0.025045156478881836,"[ 0.04268501 -0.06837429  0.01430089  0.00897017 -0.05566829 -0.03465581
  0.0750497  -0.03759066]",0.01812809407769551,0.09064602851867676,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2387800701,"[ 0.01468812 -0.07307476  0.03686775 -0.04735798 -0.01795292  0.03302827
 -0.05375895 -0.02599387]",0.014135684856797445,0.013506412506103516,"[-0.00127374  0.03523637  0.05030949 -0.00166881  0.0844511  -0.04876678
  0.02256843 -0.04671775]",0.015980197708650997,0.09625697135925293,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3926379781,"[-0.04435013  0.0541512  -0.06612299 -0.02109389 -0.08914233  0.07051035
  0.01098606 -0.04438497]",0.0247253375461067,0.01900959014892578,"[-0.00109795  0.01335306  0.07837934  0.10260916 -0.04852436  0.03102169
  0.0097954   0.06523085]",0.024519212411257024,0.08299136161804199,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1346599503,"[-0.0192577   0.02502878 -0.05458385  0.03282634  0.00560598 -0.01797015
  0.02438758 -0.03170524]",0.007008424104767504,0.017157793045043945,"[-0.01445607 -0.01563643 -0.01394136  0.08598647 -0.09919935 -0.05884905
  0.02373777 -0.05523513]",0.024960252344754585,0.12619853019714355,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4243162185,"[ 0.02752612 -0.08396673 -0.04473789 -0.01072538  0.06504236  0.04743355
  0.03363748  0.05132473]",0.02017029851962626,0.018706083297729492,"[-0.0019069  -0.0017276  -0.02362182 -0.01459454  0.01935836 -0.02199802
 -0.02291905 -0.08952736]",0.01017637457098091,0.08463191986083984,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1989427189,"[ 0.04385786 -0.06239481  0.00636956 -0.02174625 -0.03537212  0.04586089
 -0.04238667  0.05948843]",0.015018743410308113,0.019617557525634766,"[ 0.04896294  0.01212084 -0.06548844 -0.01136344 -0.01597221  0.00635083
  0.01086422 -0.00738804]",0.007429597210615653,0.12384867668151855,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",312743187,"[ 0.03480572  0.03613042 -0.0359179   0.03377392 -0.03213006 -0.02466403
  0.01241947  0.03160091]",0.007741487762454213,0.014434576034545898,"[ 0.00180338  0.03313641  0.03067057 -0.11501099 -0.0454877  -0.0411814
  0.00319456  0.03700485]",0.020413195649842043,0.11999058723449707,ok
alpha,0.1,8000,40,0.1,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2390268618,"[ 0.02007396  0.02479368 -0.02606543 -0.00357212 -0.04276466  0.00103318
 -0.02493922 -0.02260996]",0.004673279685213809,0.01645064353942871,"[-0.00101836 -0.10396918  0.04804772  0.00411288  0.02769271 -0.00156746
 -0.0263508   0.08098548]",0.02115831806186929,0.07049942016601562,ok
