param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2678185529,[-0.27951148 -0.28689282],0.8671941503733955,0.00928807258605957,[-0.03017715 -0.01297044],1.693715478302458,0.0814199447631836,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",781020512,[-0.27353436 -0.2902077 ],0.8489452594596173,0.009919881820678711,[-0.01498551 -0.08793514],1.5580608386277992,0.09653639793395996,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",727841268,[-0.28400657 -0.30790344],0.8558352423314612,0.0061643123626708984,[-0.05249516 -0.06765216],1.5840526405349604,0.09839797019958496,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",947380072,[-0.30834191 -0.31414314],0.8160390430468893,0.009906768798828125,[-0.05597067 -0.08307601],1.5508456390686063,0.07713675498962402,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1369685350,[-0.30529409 -0.32480517],0.8065142873224035,0.009043455123901367,[-0.03390077  0.00176518],1.745094760851919,0.11443495750427246,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4204554059,[-0.26528229 -0.287703  ],0.884929511784736,0.010181903839111328,[-0.03937483 -0.06230662],1.5871613313160908,0.11231398582458496,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",259495031,[-0.27489497 -0.26238318],0.9059408986060786,0.008532047271728516,[-0.10268842 -0.03781102],1.5198971200808793,0.12393617630004883,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2028053869,[-0.27083065 -0.2733544 ],0.8967590767784724,0.006513118743896484,[-0.04459678 -0.06870446],1.5665344991834755,0.12023615837097168,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1051880743,[-0.32621417 -0.33748993],0.7437622714602784,0.010264873504638672,[-0.02043088 -0.05692523],1.6309734396099889,0.07988977432250977,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",470475814,[-0.30898891 -0.29421422],0.8193684594537735,0.007714986801147461,[-0.07389409 -0.04105713],1.5637183832845885,0.11854362487792969,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4125618433,[-0.28498634 -0.32641301],0.8311038935971906,0.008350849151611328,[-0.02587505 -0.13458364],1.5189107633593348,0.09328794479370117,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2320123009,[-0.29921103 -0.32808459],0.8103050561426284,0.007603645324707031,[-0.08664547 -0.04537967],1.563718985071604,0.05893301963806152,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2690882795,[-0.2896083  -0.28545374],0.8777389247770273,0.009230852127075195,[-0.0286031  -0.04916104],1.6604830685503933,0.12365126609802246,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2954173373,[-0.31998106 -0.27569878],0.8308831575312344,0.009113550186157227,[-0.10428098 -0.03326916],1.5277232444741162,0.06581234931945801,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1472501943,[-0.25762486 -0.27866692],0.9300714350929339,0.00919795036315918,[-0.049227   -0.02630385],1.6646065801711063,0.10123586654663086,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1346599503,[-0.30752226 -0.29923109],0.836277817381242,0.009431123733520508,[-0.01529027 -0.04643277],1.6901160265779245,0.06670069694519043,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3926379781,[-0.2745412  -0.34559577],0.7794425152024183,0.00555729866027832,[-0.10276118 -0.05041977],1.469386461232819,0.04638266563415527,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2841777980,[-0.33230922 -0.28872967],0.776743870632435,0.010575056076049805,[-0.05530575 -0.040579  ],1.5679427347602128,0.12598204612731934,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3452587823,[-0.30346971 -0.28711127],0.8574228796682426,0.009270906448364258,[-0.08626644 -0.03393386],1.5852128460686559,0.10969829559326172,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1989427189,[-0.30545232 -0.28115194],0.819575135222416,0.009717464447021484,[-0.03289296 -0.07809972],1.5422173987711858,0.08707761764526367,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2387800701,[-0.32377452 -0.25174128],0.8361296748515618,0.008956670761108398,[-0.07807714 -0.04052666],1.5285669130236896,0.09984469413757324,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",312743187,[-0.310341   -0.29371288],0.8398764206196826,0.00859832763671875,[-0.05690044 -0.0696648 ],1.5726168837363657,0.08069586753845215,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4243162185,[-0.28754807 -0.28225748],0.8629186718879767,0.008825063705444336,[-0.05904739 -0.06856852],1.5412973651402668,0.12195873260498047,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2390268618,[-0.31803175 -0.32081313],0.7744721616727976,0.010551691055297852,[-0.07326631 -0.0676191 ],1.5183113348773918,0.07479095458984375,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1803210951,[-0.31160333 -0.28415115],0.8079857032928999,0.006449222564697266,[-0.04333564 -0.02671242],1.6140573732000176,0.10975861549377441,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1863184316,[-0.3257497  -0.29961469],0.8126894911616305,0.009826898574829102,[-0.10348249 -0.06232306],1.5045622408726242,0.07887840270996094,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3387436816,[-0.29179778 -0.31976373],0.788035533737142,0.008626461029052734,[-0.09158991 -0.08889195],1.4216132420008112,0.09034323692321777,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1139351029,[-0.31974389 -0.31937249],0.7949138160544257,0.010078668594360352,[-0.10867948 -0.03496213],1.5451145095496703,0.09272432327270508,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3194031095,[-0.31438555 -0.29677481],0.8092124871464207,0.011193037033081055,[-0.03945294 -0.09608099],1.5300874471949615,0.09947633743286133,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1705053442,[-0.28072724 -0.27758455],0.9000685675659409,0.005444526672363281,[-0.06350948 -0.02084486],1.6491947116281458,0.052370309829711914,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1100160589,[-0.30426203 -0.28836941],0.8334857471250928,0.006534576416015625,[-0.06564336 -0.04032333],1.5803975378839126,0.10677981376647949,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",845025431,[-0.29357523 -0.28253866],0.8547950796127937,0.008502721786499023,[-0.06255407 -0.04335797],1.5802562978824435,0.10830068588256836,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4045147272,[-0.30813205 -0.29765078],0.8164361566858233,0.008948087692260742,[-0.08976605 -0.04903326],1.5233468284835314,0.05585527420043945,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3329482216,[-0.29030159 -0.28199565],0.8597196350558028,0.010399103164672852,[-0.06506965 -0.07859464],1.5132291207517166,0.0742180347442627,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",378778862,[-0.30499189 -0.30155649],0.7939549520878381,0.0074841976165771484,[-0.05949021 -0.10431798],1.4508682666718118,0.06513357162475586,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1972023672,[-0.28942705 -0.29329844],0.8458722423674931,0.007080554962158203,[-0.06768867 -0.06226983],1.5374055381805656,0.06535768508911133,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",2142071295,[-0.28062181 -0.29612934],0.8320612674675537,0.009417057037353516,[-0.02119902 -0.06350582],1.5885888965876054,0.12626290321350098,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4214505796,[-0.26762484 -0.29155316],0.8775176444696944,0.009858131408691406,[-0.05439822 -0.01677235],1.6421865946912146,0.09370660781860352,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1974704002,[-0.32854327 -0.31002259],0.7747247577058254,0.012671470642089844,[-0.07485749 -0.03013568],1.5816404092019922,0.12454771995544434,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1402619146,[-0.3222325  -0.30743199],0.8069856849435145,0.0063631534576416016,[-0.01408456 -0.03451615],1.7140483919766751,0.08063817024230957,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1531504262,[-0.28547095 -0.31115593],0.827847413199097,0.007867813110351562,[-0.02908247 -0.04573258],1.6353691831678694,0.06210756301879883,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3805239392,[-0.29959222 -0.28218398],0.8690085204736152,0.009004831314086914,[-0.04509357 -0.0431953 ],1.6411504063784832,0.08303022384643555,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1203735892,[-0.26384257 -0.26910674],0.934427661928473,0.010468006134033203,[-0.05217594 -0.04479225],1.625489111909058,0.09077668190002441,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1341160856,[-0.31070214 -0.29131159],0.8208936794347802,0.008820295333862305,[-0.10440029 -0.04782627],1.4991616212840182,0.08438467979431152,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",749546756,[-0.28817103 -0.28492717],0.8803394539296793,0.006944417953491211,[-0.05233239 -0.04810798],1.6192163485146016,0.08629131317138672,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",192949088,[-0.27557002 -0.33160074],0.8372734522963073,0.007463216781616211,[-0.08211454 -0.03394331],1.592385032155218,0.07409024238586426,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1571121076,[-0.33589584 -0.29451136],0.7865969156278559,0.007442474365234375,[-0.05942338 -0.06016877],1.5555182266828977,0.12236690521240234,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",4065730800,[-0.31291336 -0.309282  ],0.7954404962000458,0.007862091064453125,[-0.07766453 -0.04105811],1.5583444522610146,0.07985758781433105,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",3116093383,[-0.29710207 -0.31619227],0.8065024498809251,0.007985115051269531,[-0.05263087 -0.07284373],1.5450399416351877,0.10445666313171387,ok
d,2,8000,40,0.6,2,binomial,"[0.1, 0.1]",1538947423,[-0.30370436 -0.28528584],0.8376636093601089,0.006506919860839844,[-0.03673873 -0.01970253],1.668767389054903,0.09702086448669434,ok
