param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",727841268,[ 0.03367172 -0.01439114],0.024177099492793987,0.01239466667175293,[0.02123949 0.02699253],0.034686326498741114,0.054955482482910156,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",259495031,[0.06712154 0.07179508],0.03811363802226714,0.009941577911376953,[0.01515589 0.01568685],0.07300474426652905,0.07851839065551758,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",781020512,[-0.04835279 -0.12649588],0.06983472164847127,0.013173818588256836,[-0.00363687  0.00238419],0.15870104040242844,0.11315321922302246,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",4204554059,[0.02160719 0.04838171],0.028097423550633892,0.010339021682739258,[-0.02974776  0.00956673],0.04332883535366867,0.1263113021850586,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",947380072,[ 0.02538849 -0.006396  ],0.010490078504009312,0.009555339813232422,[-0.01730033 -0.0378066 ],0.023837908440376726,0.09575915336608887,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2678185529,[ 0.09472137 -0.01429507],0.05021815177738813,0.014172554016113281,[ 0.03275481 -0.00079298],0.07424612895214358,0.12172436714172363,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2028053869,[-0.13310616 -0.02888344],0.0507522378664237,0.008436918258666992,[-0.01525154  0.01295312],0.12244881854136314,0.05414128303527832,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",1369685350,[-0.00302698  0.00397233],0.016653616111622468,0.007195472717285156,[0.00625777 0.00634471],0.016696013886374435,0.12286710739135742,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",470475814,[ 0.01876875 -0.16726806],0.11104027613454842,0.008677005767822266,[ 0.00066486 -0.01663783],0.23513476507369652,0.09464621543884277,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",1051880743,[ 0.02547468 -0.11859723],0.097238187028364,0.008820772171020508,[ 0.00741867 -0.00685911],0.18025125500009787,0.12635493278503418,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",1472501943,[0.16289641 0.22689975],0.3105345785587025,0.009294748306274414,[0.01995535 0.02016866],0.6527863154628504,0.06856250762939453,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2320123009,[-0.07200618  0.02655301],0.009762484239590108,0.012100458145141602,[-0.0332123   0.00431699],0.01736206951674828,0.08486723899841309,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",3452587823,[-0.02806672 -0.03175278],0.020842590959296442,0.008675575256347656,[-0.02356475  0.02953751],0.03905932008259337,0.07087564468383789,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2954173373,[-0.23127805 -0.07694164],0.19116782449409772,0.009682655334472656,[-0.05113483 -0.01413003],0.39424877393136865,0.09035015106201172,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2690882795,[-0.08966423  0.02426332],0.04753855899948001,0.008558511734008789,[-0.01377172 -0.00422137],0.08698853707470157,0.12638545036315918,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",4125618433,[0.04590633 0.07377428],0.03252362325204831,0.010914325714111328,[ 0.00531974 -0.00222499],0.07080366313091167,0.10364866256713867,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",1989427189,[-0.05541495  0.10732166],0.03506484507928559,0.00923299789428711,[ 0.00833371 -0.01413841],0.10246963303713467,0.06185650825500488,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2390268618,[0.1456698  0.07847056],0.1169854035170316,0.011044979095458984,[0.01534636 0.02719584],0.23165317511739694,0.049701690673828125,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",2841777980,[-0.16013431 -0.20461165],0.25657394952681856,0.009731769561767578,[-0.00277973 -0.06880254],0.49971993895202393,0.11024284362792969,ok
d,2,8000,40,0.6,2,standard_t,"[0.1, 0.1]",3926379781,[ 0.06096212 -0.06869511],0.06146535986330309,0.008744955062866211,[ 0.02295337 -0.02623612],0.09022205524076889,0.06012916564941406,ok
