param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",2678185529,[ 0.00923889 -0.00300686],9.433289161247014e-05,0.013335704803466797,[0.01746055 0.03995095],0.0019011657552613043,0.07283353805541992,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",1369685350,[-0.01416948 -0.03308046],0.0012953334443044644,0.006945133209228516,[0.02099123 0.05798844],0.003802885241849965,0.0674595832824707,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",781020512,[0.02109203 0.02226929],0.0009402072554375977,0.012715339660644531,[ 0.03455591 -0.0302409 ],0.0021086535241089323,0.10855865478515625,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",947380072,[ 0.00872751 -0.01119177],0.00020144536002599355,0.010370016098022461,[-0.00099866 -0.02295394],0.0005278971643974972,0.11127042770385742,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",727841268,[ 0.01458661 -0.01231721],0.0003644829506364556,0.01097869873046875,[-0.00391092 -0.01212635],0.00016230717183576956,0.12679076194763184,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",4204554059,[0.01855419 0.01971102],0.0007325897222677608,0.010043621063232422,[ 0.012806  -0.0083755],0.0002340106531810871,0.12810039520263672,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",259495031,[0.01167492 0.02824972],0.0009344856792875238,0.00948786735534668,[-0.04433005  0.00794063],0.002028078356574562,0.12398433685302734,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",1051880743,[-0.02857492 -0.0384266 ],0.0022934945548694695,0.010737419128417969,[ 0.03315618 -0.00269913],0.0011061549031292463,0.08495211601257324,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",470475814,[-0.00628731  0.00976237],0.00013482243492414137,0.010981321334838867,[-0.01967079  0.00743794],0.0004423288262987202,0.11253166198730469,ok
d,2,8000,40,0.6,2,uniform,"[0.1, 0.1]",2028053869,[0.02017568 0.02609764],0.0010879451580744993,0.009577035903930664,[ 0.00735922 -0.01899827],0.0004151205877470132,0.14600229263305664,ok
