param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.00429408 -0.0855107  -0.03813723 -0.02334043 -0.06673568 -0.07389511
 -0.06380502 -0.00048742]",5.090977111609062,0.0095672607421875,"[ 0.0486502  -0.01607988  0.01911634 -0.04226712 -0.02959377  0.01329112
 -0.04982277  0.0535048 ]",5.670037544094682,0.11161661148071289,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[-0.06189348 -0.07194624 -0.0991273  -0.05704678 -0.06348257 -0.08582891
 -0.01031109 -0.14815247]",4.661678065422323,0.004236459732055664,"[ 0.06783764  0.01629251  0.04084551  0.04811302 -0.00698333 -0.06967128
 -0.07463494 -0.01600195]",5.652596921242404,0.09391474723815918,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[-0.0689065  -0.10481476 -0.00893894 -0.11222733 -0.07980754 -0.0754447
 -0.01687547 -0.05918094]",4.8541145888913,0.007055759429931641,"[ 0.038194    0.04052502  0.00240936  0.06665642  0.00851286  0.06647628
  0.03359637 -0.04009252]",6.076130472127049,0.0933527946472168,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.07860937 -0.12311009 -0.07625847 -0.02952112 -0.05019739 -0.08371765
 -0.13739065 -0.01223984]",4.7988341432504775,0.002986907958984375,"[ 0.0061345   0.00169674  0.0228091  -0.06523195 -0.07920774 -0.00436119
 -0.00337776  0.02339425]",5.602245258861957,0.06567788124084473,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.07825902 -0.1197955  -0.04219699 -0.00816539  0.00431681 -0.0537178
 -0.08851645 -0.06337676]",4.982049399012168,0.003001689910888672,"[-0.03797265  0.14061204 -0.05455637 -0.00301895  0.01201065  0.01992619
 -0.0647886  -0.03789963]",5.670144776618583,0.06533455848693848,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[-0.07010624 -0.07277533 -0.04049116 -0.12013917 -0.01489557 -0.06233651
 -0.10103843 -0.03252651]",5.0315807574016445,0.007757663726806641,"[-0.01720378 -0.01981474 -0.02553038  0.04402546  0.00574324  0.01214016
  0.07923326  0.00896174]",6.0270568059507825,0.11596393585205078,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.09610626 -0.07078373  0.02034231 -0.10521399 -0.04518675 -0.06988136
 -0.07539456  0.02601429]",5.0041904703874405,0.005154609680175781,"[ 0.05524957  0.04339856  0.01642524  0.00721518 -0.06459937 -0.05173067
 -0.07785639  0.00829977]",5.582455709735646,0.05633854866027832,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1472501943,"[ 0.00425577 -0.01468457 -0.12333234 -0.04638854 -0.0637089  -0.0078405
 -0.07849917 -0.01497495]",5.076491912559682,0.004724025726318359,"[ 0.06065662 -0.03004772 -0.03652447 -0.01037008 -0.03661039  0.01681037
  0.05160628 -0.01305692]",5.628160329186227,0.05572247505187988,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[-0.09024294  0.02684349 -0.11926552  0.04211837 -0.09834128 -0.08510936
 -0.03076998 -0.02642911]",5.220132767684414,0.0049512386322021484,"[ 0.03536173  0.01006262 -0.06368376  0.04967127 -0.04241591  0.05741005
  0.00666664  0.07204536]",6.058984157926901,0.06535863876342773,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[-0.07530129 -0.11745714 -0.02970148 -0.10314159 -0.00685394 -0.03649453
 -0.0796471  -0.0233601 ]",4.979965783237679,0.002032756805419922,"[ 0.08283113  0.04837723  0.01531715 -0.06220958 -0.00191436  0.02975764
  0.03640737 -0.06798403]",5.90962689393378,0.10682153701782227,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[-0.06537764 -0.03102524 -0.0395641  -0.05881317 -0.04713235  0.03283618
 -0.0982508  -0.14389033]",5.06869522310449,0.002826213836669922,"[-0.09247685 -0.0235142  -0.00813694  0.01082446 -0.03764585 -0.11316236
 -0.11791619 -0.00423726]",5.178631109437365,0.08273959159851074,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.04639143 -0.10514877 -0.06410836 -0.10451065 -0.06481086 -0.06554099
 -0.09097481 -0.09820026]",4.671100975101044,0.0044901371002197266,"[-0.07502528 -0.08961202 -0.02834349  0.03019524 -0.0059727  -0.10204198
 -0.03225549 -0.10729279]",5.0411165217983696,0.09608316421508789,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[-0.06221458 -0.12825673 -0.13271978 -0.10923558 -0.05738885 -0.03926562
 -0.03711714 -0.11566125]",4.826894760085175,0.00471186637878418,"[ 0.03733138  0.01473138  0.03150736 -0.0115082  -0.01521142 -0.08283964
  0.0093715  -0.0128626 ]",5.897528110711845,0.09584832191467285,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2320123009,"[-0.1282974  -0.02952139 -0.06519689 -0.06265481 -0.04339594 -0.08843047
 -0.04592985 -0.02900856]",4.7492594943249955,0.005053520202636719,"[ 0.01201031  0.00707897  0.06107044 -0.02944281 -0.00760138  0.02253243
 -0.05993033  0.00227349]",5.551167380948259,0.09455037117004395,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2954173373,"[-0.01245268 -0.02423544 -0.05403075 -0.00310892 -0.1565964  -0.02969249
 -0.09101266 -0.07501744]",4.991138138073246,0.004517555236816406,"[-0.06485056  0.15716286  0.03402644  0.02475378  0.07546287  0.0046548
  0.02338472 -0.05608389]",6.0727151312251975,0.07143282890319824,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2841777980,"[-0.07711466 -0.00243419 -0.04933233 -0.01123603 -0.15396336 -0.08506126
 -0.09535859 -0.07155912]",4.905365416311148,0.0027599334716796875,"[-0.02177953  0.05219926 -0.03756091  0.02445276 -0.02835164 -0.00821989
 -0.00227228 -0.04923107]",5.66821050283337,0.0685570240020752,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1989427189,"[-0.07979381 -0.07853865  0.00720661 -0.15448406 -0.07447993 -0.16836523
 -0.04589041 -0.12065055]",4.511206364667967,0.003034353256225586,"[ 0.0508553   0.03178517  0.05317517  0.02222263 -0.00437239 -0.01514284
 -0.02127828 -0.03053415]",5.769295332654745,0.0736701488494873,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1346599503,"[-0.02755342 -0.04131045 -0.03859647 -0.02593829 -0.08267904 -0.0508755
 -0.08982618 -0.00280616]",5.1589750855139025,0.0046541690826416016,"[-0.05807897  0.00120768 -0.05433895 -0.01687007  0.02694857  0.01844866
  0.00520628 -0.03809059]",5.562283565408755,0.09299254417419434,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2387800701,"[-0.04648161 -0.06771967 -0.04664998 -0.04352524 -0.11219582 -0.01099778
 -0.02960984 -0.04322569]",5.101093752947603,0.0034637451171875,"[-0.04337457 -0.05060816  0.01542568  0.04898117 -0.01410174  0.01028705
 -0.06226498 -0.0159436 ]",5.576874933930041,0.0823822021484375,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[-0.006545    0.00675509 -0.05868277 -0.05644292 -0.06447403 -0.10442111
 -0.14984904 -0.10540137]",4.8912652723424594,0.003304719924926758,"[-0.01563924 -0.06966213  0.02691839 -0.04378922 -0.04222041 -0.03392425
  0.02263144  0.00917852]",5.517444754016135,0.10421228408813477,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3926379781,"[-0.02938804 -0.06029209 -0.03675128 -0.09280319  0.04015644 -0.00366704
 -0.05991736 -0.06329915]",5.168868345385901,0.00475001335144043,"[ 0.00706036 -0.11963797 -0.03112109 -0.09156005 -0.04103255 -0.00439375
  0.006367    0.11370888]",5.448701575626458,0.07633566856384277,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4243162185,"[-0.04822774 -0.08077766 -0.06765858 -0.14784058  0.01078551 -0.0993492
 -0.07877257 -0.03861503]",4.868512524073572,0.005095958709716797,"[ 0.05360228 -0.0655887   0.10904911  0.06553253  0.00617038 -0.0154485
 -0.08061444 -0.08179556]",5.755929042609274,0.09376263618469238,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",312743187,"[-0.05737788 -0.08203947  0.00346975 -0.08140936 -0.10233164  0.00901165
 -0.02721873 -0.07827853]",5.02374043787204,0.005005359649658203,"[ 0.03738779  0.02259049 -0.06496525 -0.06456832 -0.06222252 -0.06393362
 -0.01820689  0.01755458]",5.389074724843411,0.0838167667388916,ok
m,1,8000,1,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1863184316,"[-0.11465795 -0.06135241 -0.06319733 -0.02201276  0.00523056 -0.10605335
  0.01604083 -0.03921062]",4.928472329238159,0.002975940704345703,"[ 0.02068047  0.0472197   0.04292868 -0.04337697  0.01321712  0.08836081
 -0.06098804 -0.10082326]",5.5740879553328675,0.051491498947143555,ok
