param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[-0.04813365 -0.04914399  0.01629213 -0.04736951  0.02820638  0.02794696
  0.02079395 -0.00676898]",0.03733741944261631,0.0021605491638183594,"[ 0.04270249 -0.0463658   0.01484935  0.0100134  -0.00934581 -0.04062777
  0.0116544   0.02448556]",0.015898004756380764,0.03320932388305664,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[ 0.04082121 -0.09603385  0.02117939  0.01222305 -0.06942499  0.02825323
  0.03180256  0.00277686]",0.048109115886756385,0.0029327869415283203,"[ 0.00792904  0.02449576  0.07966371  0.06996519 -0.04407733  0.04074158
 -0.00608346  0.0323891 ]",0.023449063251599928,0.05381941795349121,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[-0.0136235   0.01320534  0.04905536  0.05375778 -0.00312136  0.00879714
 -0.08692288 -0.07366062]",0.05250360232031943,0.004815816879272461,"[ 0.02886627 -0.05502891 -0.00359978  0.04280206 -0.04435767 -0.03158457
  0.01030352  0.00700622]",0.020601042132008036,0.08491683006286621,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[ 0.03962321  0.01552886  0.01938774 -0.01720033 -0.06033994  0.04240705
 -0.01902026 -0.0374474 ]",0.01485766045394289,0.00299835205078125,"[-0.02263602  0.05353363  0.00478719 -0.03394577 -0.08140581 -0.01152891
  0.00582906 -0.027581  ]",0.026366866821480678,0.07823896408081055,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.07019836 -0.05107376  0.00689821  0.01260191 -0.00091212 -0.03875616
  0.06853432  0.01305099]",0.03846684364687422,0.004796028137207031,"[-0.0697492   0.00156999 -0.03566074 -0.01043468  0.01577182 -0.0089426
  0.09708624  0.05279444]",0.05135442220315677,0.043226003646850586,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[ 0.03782676 -0.03141661 -0.0601742   0.02633589 -0.04825799 -0.07888153
 -0.00837996 -0.03711721]",0.05078675659849753,0.005562305450439453,"[ 0.04973671  0.01086626  0.01671403  0.04382567 -0.00496428 -0.05056921
  0.01812013  0.01763635]",0.027857246296375707,0.09420275688171387,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[-0.0982241  -0.05286591  0.05436795  0.10199674 -0.03868685 -0.02782694
 -0.01560436 -0.02802207]",0.031693175850034755,0.003283262252807617,"[-0.02396607 -0.01983699  0.03119242  0.01764437 -0.04568238 -0.02013948
 -0.00347793  0.04953401]",0.007665511118120938,0.0590059757232666,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.04734329 -0.02804742  0.04453989 -0.04531434  0.04163304  0.06009541
  0.0195491   0.00687679]",0.011930648185946198,0.0020987987518310547,"[-0.04820621  0.04163316 -0.07213102  0.04106391 -0.00235037  0.01159594
 -0.00682322  0.0405    ]",0.01784866835836039,0.0930631160736084,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[-0.0489727   0.0076499   0.01919548  0.09139536  0.02287639  0.00988479
  0.03187726 -0.00518033]",0.011454056266132369,0.004899263381958008,"[-0.0241134   0.01233379  0.00510621 -0.06863687  0.0137573  -0.04259232
 -0.02972236  0.03505434]",0.01658476699203372,0.05250239372253418,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[ 0.04186868  0.01962695  0.08890503  0.03201607 -0.04299898 -0.02031137
  0.00352023  0.0215275 ]",0.04766365893051504,0.004495859146118164,"[ 0.04204505 -0.03320257 -0.08275423  0.0083188  -0.10467104  0.01952236
 -0.0018698   0.0123992 ]",0.052783357747229524,0.05871129035949707,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[ 0.00895122 -0.04102199  0.00491454  0.06943749  0.04215468  0.01897297
 -0.0051583  -0.01823621]",0.019141726731710336,0.0050907135009765625,"[ 0.06572593 -0.03332381  0.0615446   0.03875887 -0.01559987 -0.03366261
 -0.04402185  0.08980936]",0.033527688635248784,0.07465577125549316,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.01246029  0.04258682 -0.01914594  0.02153338 -0.042846    0.02064519
  0.01726643 -0.02818278]",0.012487090657104589,0.0028874874114990234,"[-0.06581896  0.00106407  0.05818905 -0.08403848  0.0248876  -0.00431176
 -0.03452427  0.04588795]",0.05098988691646333,0.10971426963806152,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2320123009,"[ 0.02456864 -0.08568522 -0.03580267  0.10344664  0.03905521 -0.00689344
  0.04119946  0.0179037 ]",0.05556628869011543,0.0030281543731689453,"[-0.00461265 -0.02385971  0.01648008 -0.00167218 -0.06643053 -0.02663158
 -0.05663015 -0.05280264]",0.037022062742346776,0.06867265701293945,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2387800701,"[-0.06148235 -0.05302197 -0.02122839  0.0052714  -0.02620611  0.0841007
 -0.07303693 -0.01726611]",0.02113255612909147,0.004918098449707031,"[-0.04026269 -0.06913608  0.03234832  0.02558935  0.00894531  0.01092209
  0.07470631  0.01633225]",0.036319206833014796,0.03307223320007324,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1346599503,"[ 0.00551071  0.07670263 -0.00307948  0.02104956  0.01344254 -0.02741824
 -0.11339885  0.01903215]",0.028207701598895105,0.005488157272338867,"[ 0.00311994 -0.03441701  0.05584767  0.050774   -0.08853636  0.00084787
  0.00036895  0.0271157 ]",0.038104206309272325,0.043881893157958984,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1472501943,"[ 0.11984553 -0.03818784 -0.0560742  -0.09091634  0.0212963  -0.00645437
  0.00950083  0.06715434]",0.032090429071677765,0.005041837692260742,"[ 0.00738759 -0.03585066  0.03122879  0.0283863   0.05848796 -0.02197787
  0.0046059  -0.03073355]",0.01660649095350159,0.10467815399169922,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[ 0.03618486  0.02485137 -0.04544922 -0.04497222  0.05930449 -0.04731391
  0.03730913  0.10564785]",0.01042659981710444,0.0039789676666259766,"[-0.02911848 -0.0742028   0.0343095   0.04123217 -0.03869308 -0.0412859
  0.02329207 -0.05734151]",0.036282164383050236,0.07099342346191406,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2954173373,"[-0.0459826  -0.01151078 -0.00651962 -0.06717839 -0.02586822  0.05410628
 -0.01537114 -0.05931524]",0.047240290260745665,0.005251646041870117,"[ 0.00301182 -0.00456453 -0.06262301  0.02161364  0.01389397 -0.02007488
 -0.01120865 -0.06109735]",0.03245080752374436,0.10596251487731934,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2841777980,"[ 0.0238931   0.04726315 -0.01332016 -0.00121616  0.03555251  0.01307948
 -0.05356716  0.07030293]",0.009711977154845836,0.002911806106567383,"[-0.02695333  0.02252899  0.00236798 -0.06225014 -0.06314455  0.001788
  0.00995115  0.0735246 ]",0.027809516449854684,0.09087300300598145,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1989427189,"[-0.08517279 -0.02582332  0.03099589  0.07570014 -0.00982108 -0.08769038
  0.04675693  0.02542776]",0.023008394690074464,0.003449678421020508,"[-0.01520019  0.03477947  0.01386768 -0.03656838 -0.10949629  0.00151067
 -0.02325307  0.04385816]",0.10171954757894952,0.08219313621520996,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3926379781,"[-0.00711302 -0.01372037 -0.0617449  -0.01885866  0.00294051  0.01848894
 -0.04925517 -0.03561895]",0.07265182203825836,0.00508427619934082,"[-1.04694118e-01  4.73635416e-02  4.09310155e-02  9.50254018e-05
  2.50581009e-02 -2.67153929e-02  2.84307058e-02  5.05549747e-02]",0.07053522108726394,0.04447007179260254,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3194031095,"[ 0.02049019  0.03370634  0.01443697 -0.08653216  0.08146795 -0.02920687
  0.00076584  0.00762701]",0.04641615092650069,0.004515647888183594,"[-0.03632768 -0.05759532  0.03287131  0.02862842  0.01960833 -0.00213414
 -0.03850016  0.03796352]",0.017454973730841646,0.035512447357177734,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",312743187,"[ 0.07151983 -0.06810589  0.07763277  0.05410677 -0.03924633  0.00798666
  0.00191221  0.00176569]",0.0655224431893113,0.0025496482849121094,"[-0.01580555  0.06368606  0.02904138 -0.01956097 -0.00307276 -0.01251717
  0.01459967 -0.04990552]",0.0442620311852664,0.06999349594116211,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1139351029,"[-0.02649146  0.03063642 -0.07421412  0.04298706 -0.01238848 -0.02793126
  0.01046856  0.0521333 ]",0.03872351402731376,0.0026845932006835938,"[-0.05388324 -0.08706838  0.02857514  0.05657726  0.00508794  0.01614618
  0.04794381  0.02423042]",0.04533128247794718,0.057372093200683594,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4243162185,"[ 0.01523731 -0.04115988  0.03135979  0.00187014  0.02003641  0.0332124
 -0.01678035  0.03976329]",0.026356777988622564,0.0027837753295898438,"[ 0.03473256  0.01632531  0.01362444 -0.09035098 -0.09278076  0.04533136
 -0.06941098 -0.0207468 ]",0.03695066197187223,0.09964323043823242,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2390268618,"[ 0.0173906   0.01270997  0.02309869  0.03944908  0.05074661  0.03831708
 -0.09073975 -0.04396329]",0.061708012073821567,0.002750873565673828,"[-0.03050212  0.05893903 -0.06881862  0.02654644  0.00915921  0.05152354
  0.03604918 -0.05994502]",0.049575645675631864,0.08239102363586426,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3387436816,"[-0.02298568 -0.00696243 -0.0386542   0.00349947  0.03974983 -0.03218602
 -0.02236204  0.05482135]",0.0233268763224963,0.004723072052001953,"[ 0.02335543  0.04317927 -0.06056912 -0.02363461  0.00255774 -0.04295184
  0.04197891 -0.12081655]",0.02845552316420689,0.04990649223327637,ok
m,1,8000,1,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1803210951,"[-0.03225706 -0.04484911  0.01607937 -0.0036773   0.01745444 -0.00718712
  0.06613126 -0.01968165]",0.05243148844645648,0.0049915313720703125,"[-0.01935735  0.01435435 -0.08051661 -0.01871139 -0.08181176 -0.01506484
 -0.05294674 -0.0458741 ]",0.09094915676418519,0.08644318580627441,ok
