param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[ 0.01790344  0.0246927   0.10391466 -0.06855849  0.01708298  0.04568108
 -0.0664844   0.00411691]",0.6909680827715651,0.003509998321533203,"[-0.07334299 -0.01440557 -0.00030649 -0.01752158  0.07049914 -0.06759492
 -0.0218043  -0.02180734]",0.718638517359964,0.046341657638549805,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[ 0.03716977  0.00422617 -0.07693457 -0.00388536  0.02587297 -0.08121432
 -0.01328754 -0.01338137]",0.31335169281334496,0.0038542747497558594,"[-0.01295203 -0.05480354 -0.06344157 -0.02975501 -0.00155844 -0.07285675
 -0.04678404  0.00790966]",0.3352862717373529,0.08686304092407227,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[-0.06246644  0.02187587  0.02739062 -0.0040735  -0.01293259  0.00208471
  0.00561344 -0.00599042]",0.44484368604639374,0.003356456756591797,"[-5.79661992e-03  1.05972912e-02 -3.40721647e-02 -6.22783164e-02
  6.27900433e-02  1.23177677e-02 -2.42059229e-02  8.47959384e-07]",0.38867150962320085,0.05092930793762207,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[ 0.01818085 -0.03000037  0.04592096 -0.07446888  0.09069268  0.02944925
 -0.02421517 -0.01703603]",0.24286052336156647,0.004992485046386719,"[ 0.00888355 -0.02364155  0.02973373 -0.06299637 -0.04431141 -0.03569477
 -0.00708233 -0.04512184]",0.24580879677403134,0.10860109329223633,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 0.05553819 -0.02481657  0.03191412  0.03821828 -0.05932816 -0.02813296
 -0.04387744  0.06646541]",0.3260791164759432,0.003862619400024414,"[ 0.07832401  0.05374872 -0.04549694 -0.01954829  0.08785443 -0.00857752
 -0.02700375 -0.01105536]",0.25788869755359345,0.10550117492675781,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[-0.09676018 -0.05182724  0.03627695 -0.02077848  0.09490848  0.03337406
  0.04282894  0.03180556]",0.452327053627608,0.0019855499267578125,"[-0.02870384  0.01852128 -0.03735001  0.11523233 -0.0292139  -0.01873796
 -0.01516098 -0.04439171]",0.5360072144792267,0.0579380989074707,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[ 0.08504967  0.02855664  0.01467477 -0.00789852  0.03156969  0.01449656
 -0.03068354  0.00016235]",0.3117594596273178,0.0053369998931884766,"[ 0.02193554  0.03126051  0.01998645 -0.00763976 -0.00350785 -0.00151254
 -0.02009624 -0.02807657]",0.33452307787748037,0.09409499168395996,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[-0.01759043  0.00185798 -0.06621735  0.01146947 -0.08480019 -0.02934218
 -0.08243385  0.05329918]",0.6230943403689098,0.003546476364135742,"[-0.01150243  0.00144407 -0.02762856  0.04536472  0.03194472 -0.04628752
  0.06863488  0.06587258]",0.5647826042388693,0.062177419662475586,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.0109136   0.13024344 -0.00664501 -0.06670416  0.00400399  0.04238145
  0.01937688 -0.05124555]",0.6008190718022172,0.0018362998962402344,"[ 0.04020108  0.06554353  0.01408403  0.05385911 -0.04460768 -0.04875362
 -0.01601679  0.02358973]",0.8388114315335351,0.08621478080749512,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[-0.08873974  0.0125209   0.05242414  0.11132672  0.05521013 -0.00988431
  0.0310025  -0.07862707]",1.3854503307829988,0.0028748512268066406,"[-0.08379348  0.02867766  0.0211095  -0.01366641 -0.01113023  0.0254222
 -0.0537505   0.02140106]",1.56264432991753,0.04793882369995117,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[ 0.00069163  0.01335389  0.00168081 -0.01186359  0.03207577  0.0385684
  0.05353885  0.00476029]",0.28745491934223727,0.004968881607055664,"[ 0.03896608 -0.00587101 -0.02552475 -0.09525662  0.09533696  0.07520925
 -0.02795657 -0.009424  ]",0.267363402322741,0.07669520378112793,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2320123009,"[ 0.02094189 -0.12224558  0.1150337   0.03709597  0.09914508 -0.01558808
 -0.08090095 -0.09325147]",0.7552410336807509,0.001789093017578125,"[ 0.03034064  0.00100635 -0.09386212  0.1130244  -0.01182289 -0.00637824
 -0.01946226 -0.01135896]",0.9622435974469947,0.0673379898071289,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[-0.01250934 -0.04351417  0.06007885  0.07783879  0.02311613 -0.03501965
 -0.02836111 -0.06472731]",0.7068101938940561,0.005457401275634766,"[ 0.03698719  0.02566165  0.03895712 -0.00853012  0.05422435 -0.00349934
 -0.06769458 -0.00505217]",0.8869049473478354,0.10816478729248047,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2841777980,"[ 0.01796876  0.00674385 -0.02747703  0.04212147 -0.06500841 -0.07000297
 -0.103344   -0.02409203]",0.5769886692504773,0.0046596527099609375,"[-0.03180651 -0.01009086  0.00031886 -0.02061124  0.02437315  0.00872492
 -0.02593989 -0.03765748]",0.6028008114408023,0.033883094787597656,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[-0.03284788  0.07503752 -0.04121195 -0.00070363 -0.0614946  -0.01996264
  0.0228825  -0.02621116]",0.422303159176953,0.003489255905151367,"[-0.01205021  0.03624357  0.05779996  0.02487906 -0.019127    0.08092729
  0.00670959  0.00430912]",0.4142603089415142,0.08101511001586914,ok
m,1,8000,1,0.6,8,standard_t,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1346599503,"[ 0.0444552  -0.01882982  0.04986889 -0.04846519 -0.04373468 -0.02846576
 -0.03390727  0.04001185]",0.4761006140547865,0.002821207046508789,"[ 0.05489488  0.00337557 -0.05786795 -0.04746053  0.00835802 -0.04007081
 -0.0402766   0.00255126]",0.47715879157712254,0.07221221923828125,ok
