param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[-1.         -1.          0.          0.         -0.66487043  0.47325452
  0.          0.        ]",4.326937080579222,0.001529693603515625,"[ 1.         -1.         -0.48274963  1.          1.          0.
  1.          0.        ]",14.728147797768889,0.001789093017578125,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[ 4.73253478e-02 -3.41896365e-01 -1.00000000e+00  0.00000000e+00
  5.55956163e-04  6.98038339e-02  0.00000000e+00  1.00000000e+00]",7.05026773385623,0.0032806396484375,[-1.  1.  0. -1.  0. -1. -1. -1.],4.685000000000001,0.0031461715698242188,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 1.         -0.0701197  -1.          0.          0.          0.15089644
  1.         -0.23000675]",9.726821583657921,0.0015103816986083984,[-1.  0.  1. -1.  0.  0.  0.  0.],6.585000000000002,0.0014684200286865234,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[ 0.13736472 -1.          0.          0.03588001 -0.93425094 -0.74385137
  0.85502873  0.        ]",5.9305834301787534,0.002671957015991211,"[-0.60187745  0.          1.          0.         -0.52481137  0.
  0.          0.92140267]",9.24802073634972,0.0027892589569091797,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[ 0.          0.67107892  0.         -1.         -1.          0.
  0.          1.        ]",8.109073182378337,0.0033545494079589844,[ 0. -1.  0.  1. -1.  1.  0.  1.],11.985000000000001,0.005229949951171875,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-1.         -1.         -0.38354246  0.26743038 -0.96493079 -0.33734808
  0.         -1.        ]",2.3407392186259397,0.002263307571411133,"[ 0.         -1.          0.          1.          0.          0.74116153
  1.          0.        ]",11.620178871575922,0.005070686340332031,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.         -1.          0.91384722 -0.77679903  0.51265819  0.
  0.         -0.72996996]",6.37551687929157,0.0036084651947021484,"[ 1.          0.          1.         -0.86144598  0.          0.
 -1.         -1.        ]",8.216275607866077,0.003687620162963867,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.92298625 -0.94743543  0.          0.         -0.49867236  0.
 -0.56830616  0.49962168]",3.971230475473092,0.002956390380859375,[-1. -1.  1.  1.  0.  0.  0.  0.],9.450000000000001,0.0030660629272460938,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[ 0.19993457  0.20228387 -1.         -0.66468422  0.         -0.91783586
 -1.          0.        ]",3.5643661470238595,0.002870798110961914,"[-0.54011505 -1.          1.         -1.         -0.96867891  0.
 -0.17133102  0.        ]",5.221584351820333,0.0031938552856445312,ok
n,40,40,40,0.6,8,binomial,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[-0.43081261 -1.          0.74912176  0.          0.         -1.
 -1.         -0.82076418]",3.9759087042676415,0.0030641555786132812,"[ 0.          0.          0.43909663 -1.          0.          0.
  1.          1.        ]",10.914760464673288,0.002974271774291992,ok
