param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[ 0.         -0.38731863 -0.35814615  0.          1.          0.
  0.50326643  0.        ]",1.7498175804746325,0.0015888214111328125,[-1.  0.  0. -1.  0. -1.  1. -1.],4.914608329909031,0.0014414787292480469,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[ 0.97213316  1.         -1.         -0.40733138  0.95759856  0.
 -0.16015249  0.        ]",4.003833390349033,0.0009546279907226562,"[-0.33994004 -1.          0.         -1.         -0.99922618 -1.
  0.         -1.        ]",5.694256702452993,0.0008645057678222656,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 0.          0.09421203  1.         -1.         -1.         -1.
  0.88114023  1.        ]",5.925537223209477,0.0010221004486083984,[ 0. -1.  0.  0.  0.  0.  0. -1.],1.9339737624169693,0.0008668899536132812,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[ 0.27317625 -0.19240348  0.57468409 -0.92294068 -1.         -0.93762095
  0.         -1.        ]",4.396697038455481,0.0008068084716796875,"[ 0.49266152 -0.55696357  0.87153686  1.         -1.         -1.
  0.          0.        ]",4.424838384959963,0.0015134811401367188,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,"[ 0.          0.50991914  1.          0.         -1.          0.
  0.40448075  0.        ]",2.2030040166324576,0.0013904571533203125,[ 0. -1.  0.  1.  0. -1.  1.  0.],4.347037561480429,0.0013608932495117188,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.42481928  0.         -1.         -1.          0.65175302  0.62410021
  0.          0.82597757]",3.7742621101968967,0.0013608932495117188,"[ 0.          0.         -1.         -1.          1.         -1.
  0.74469853  0.        ]",4.715732481249464,0.001302957534790039,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.          0.71908998  0.          0.          1.         -0.18738582
 -1.          1.        ]",4.3301818855891145,0.0015177726745605469,"[ 0.04120397 -0.16184675  0.          0.          1.          0.
  0.          0.        ]",1.2264191963390294,0.0015044212341308594,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[ 0.          0.04682695  0.         -1.          0.         -0.17282945
  1.          1.        ]",3.0174668223219525,0.0012650489807128906,[ 0.  0.  0. -1.  1.  1.  0.  0.],3.0559912174644293,0.0014996528625488281,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[ 0.          0.         -1.          0.          0.          0.47817581
  0.          0.09940035]",1.1941615589079588,0.0012843608856201172,"[ 0.          1.          0.          0.74606904 -1.          1.
 -1.         -0.43833661]",5.097264613338494,0.001283884048461914,ok
n,40,40,40,0.6,8,normal,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[ 1.         -0.44444018 -1.          0.55706458  1.         -1.
  0.14768741  0.        ]",4.49828090557214,0.004269599914550781,[ 1.  0. -1.  0.  0.  0.  0.  0.],2.170369429718931,0.0013823509216308594,ok
