param_name,param_value,n,m,alpha,d,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",781020512,"[ 0.37055478  0.         -0.85163849  0.10871415  0.45334838  0.46159169
  0.09950144  1.        ]",2.299606942456243,0.003649473190307617,[-1.  1.  0. -1.  0. -1. -1. -1.],5.999451309396917,0.003197908401489258,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",727841268,"[ 1.          0.         -0.88110444  0.          0.          0.71568093
  1.          0.        ]",3.2865468738171306,0.0019049644470214844,[-1.  0.  1. -1.  0.  0.  0.  0.],2.9989866997929786,0.0015895366668701172,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2678185529,"[-1.         -1.          0.          0.         -0.27585253  0.90104676
  0.          0.        ]",2.8845040051505,0.0031890869140625,"[ 1.         -1.          0.38714886  1.          1.          0.
  1.          0.        ]",5.153270218921559,0.0030205249786376953,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4204554059,[ 0.  1.  0. -1. -1.  0.  0.  1.],3.998255924875668,0.0015232563018798828,"[ 0.         -1.          0.          1.         -1.          1.
  0.15397207  1.        ]",5.024556373202497,0.003329038619995117,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",947380072,"[ 0.47847711 -1.          0.          0.77762941 -0.08833461 -0.34002531
  1.          0.        ]",2.9591420685169525,0.002710103988647461,"[-0.2157273   0.          1.          0.         -0.05912373  0.3216383
  0.          1.        ]",2.1526112281761502,0.002740144729614258,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",259495031,"[-0.89088015 -1.          0.48004347  0.64951389 -0.55065057  0.25123596
  0.         -1.        ]",3.8113891724575355,0.0030515193939208984,"[ 0.         -0.99620562  0.          1.          0.          1.
  1.          0.        ]",3.990113628679094,0.002760171890258789,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1369685350,"[ 0.         -0.72265041  1.         -0.34200081  0.86497137  0.
  0.         -0.36262514]",2.507091751424686,0.003129243850708008,"[ 1.          0.          1.         -0.39129402  0.          0.
 -1.         -1.        ]",4.148101265802462,0.0031080245971679688,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2028053869,"[-0.43235741 -0.53655893  0.          0.         -0.01973211  0.
 -0.16017741  0.89248744]",1.2950971684990316,0.0042798519134521484,"[-1.         -1.          1.          1.          0.          0.2457707
  0.          0.02191889]",4.057780621185757,0.0013298988342285156,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",470475814,"[ 0.96193348  0.69227917 -1.          0.15544355  0.         -0.34611392
 -1.          0.1715712 ]",3.5819312589765824,0.003222227096557617,"[-0.15693127 -1.          1.         -1.         -0.49007144  0.
  0.          0.        ]",3.2609411934369,0.002694845199584961,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1051880743,"[ 1.         -0.89380342  0.          0.93993446  0.          0.
 -1.         -0.33112456]",3.793542674600616,0.002679109573364258,"[-1.          0.24404814  1.          0.          0.          0.
  0.         -1.        ]",3.0609610303953256,0.0026526451110839844,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2690882795,"[-0.0757654  -0.81208564  1.          0.          0.         -1.
 -1.         -0.39280471]",3.817904982970774,0.0011203289031982422,"[ 0.          0.          0.77602477 -1.          0.          0.
  1.          1.        ]",3.6007741756825387,0.0012929439544677734,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4125618433,"[-1.          0.67783376  0.          1.          0.25121    -0.46456473
  0.4552351  -1.        ]",3.949710948206843,0.003831148147583008,"[-1.          1.          0.          1.          1.         -0.54548708
 -1.          0.        ]",5.294434810890462,0.0032148361206054688,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2320123009,"[-0.73304883 -0.82309226  1.         -1.          1.         -0.12873652
  0.          0.36229208]",4.355606420297863,0.004163503646850586,"[ 0.          0.20639819  1.         -1.          0.          0.
  0.          0.        ]",2.0428288697697736,0.0032796859741210938,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1472501943,"[ 0.          1.         -1.          0.         -1.          0.22999693
 -0.3860707  -0.37232504]",3.3445799044544113,0.004666328430175781,"[ 1.          1.         -0.02443161  0.          0.          0.
  1.          0.        ]",2.998967357207397,0.002763032913208008,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2954173373,"[-1.          0.          1.          0.57957888  0.          0.28884312
 -1.          0.55137898]",3.722054670282912,0.002844095230102539,"[-0.28832614  1.          0.6997995   1.          0.         -0.61438947
 -0.03554909  1.        ]",3.9513551860124037,0.002742767333984375,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3452587823,"[ 0.48858732  0.          0.5480496   1.         -1.         -1.
 -1.          1.        ]",5.550334106399313,0.002933025360107422,"[ 0.          0.          1.          0.         -0.07858552 -1.
  0.          1.        ]",3.0070749009998865,0.002187967300415039,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2841777980,"[ 0.         -1.          0.          1.          0.          0.72382562
  0.          1.        ]",3.5226383664449386,0.0026047229766845703,"[ 0.          0.          0.         -1.          0.         -0.92612815
  0.          1.        ]",2.862218361839177,0.0033211708068847656,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1346599503,"[ 0.08705149 -1.          0.         -1.          1.          0.
  0.          0.        ]",3.0099694497973264,0.0031909942626953125,"[-1.          0.91651688  1.          1.         -1.         -1.
  1.          0.        ]",6.839292276344504,0.0025000572204589844,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1989427189,"[ 1.          0.20558245  0.         -0.69586349  0.         -0.35048137
  0.          0.        ]",1.6497239215698416,0.0015292167663574219,"[ 0.         -1.          0.         -1.          1.          0.74273545
 -1.         -1.        ]",5.550043323285752,0.0008909702301025391,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",2387800701,"[ 0.         -1.         -1.         -1.          1.          0.
  0.95006873 -0.55341311]",5.221552831065087,0.0021886825561523438,"[-1.          0.          0.          1.          0.          0.
 -0.47650668 -0.60900997]",2.599157814676677,0.0011904239654541016,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",312743187,"[0.         0.         0.         0.34394713 0.42119955 1.
 1.         0.        ]",2.293188751817113,0.0014128684997558594,"[0.80305654 0.53967421 0.         1.         1.         0.
 0.         0.        ]",2.9372866582817925,0.0012731552124023438,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",3926379781,"[-0.47405027  0.37913683 -0.40696827  0.         -0.22515836  1.
 -1.         -0.76414071]",3.164602249973046,0.002705812454223633,"[ 0.          0.42855855  1.         -1.          0.          1.
  0.          0.        ]",3.1822496768084427,0.0026748180389404297,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",4243162185,"[ 0.          0.98402789  0.38912873  0.17965239 -0.88073521  0.
  0.          1.        ]",2.9262272001900858,0.0025343894958496094,"[-1.         -1.          1.          0.         -0.09774823  0.
  0.         -1.        ]",4.0114173580534525,0.0026581287384033203,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1803210951,"[ 0.         -0.13381928  0.          0.          0.          0.
  0.81481614  0.        ]",0.6855220267811454,0.0015099048614501953,[ 0.  0. -1.  0.  1.  0.  1.  0.],3.0024517080879227,0.0015058517456054688,ok
n,40,40,40,0.6,8,uniform,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1863184316,"[-1.          0.          0.          0.          0.09943668  0.
  0.          0.        ]",1.0091970660677114,0.0015723705291748047,[ 0. -1.  0. -1. -1.  0.  1. -1.],5.002784691803822,0.0011777877807617188,ok
