param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,normal,0.3,781020512,0.03649188560325951,0.004586108642843495,0.002619028091430664,0.006722990066455368,0.0014403481116862754,0.07580780982971191,ok
alpha,0.1,8000,40,0.1,normal,0.3,727841268,0.025009417307041565,6.245785413083525e-05,0.0019159317016601562,-0.007135729519998173,0.0005876803173653584,0.061559200286865234,ok
alpha,0.1,8000,40,0.1,normal,0.3,4204554059,-0.003574000170039171,0.0003582076132471445,0.003200054168701172,0.00051192115377317,0.0005295657123110719,0.12054276466369629,ok
alpha,0.1,8000,40,0.1,normal,0.3,2678185529,-0.009216738380943883,0.0016849397357858724,0.0028531551361083984,0.005484406115497878,0.0006941577139241093,0.12396430969238281,ok
alpha,0.1,8000,40,0.1,normal,0.3,1369685350,0.011073625092736235,6.082612444341295e-05,0.001806497573852539,-0.02612745666198802,0.002025017302109367,0.06551194190979004,ok
alpha,0.1,8000,40,0.1,normal,0.3,2028053869,0.009328514462964538,0.0007328605631490904,0.0017788410186767578,0.0156019651902399,0.0011118789039726612,0.06458139419555664,ok
alpha,0.1,8000,40,0.1,normal,0.3,947380072,0.008905314309772094,0.002609264775146298,0.002357959747314453,-0.014595285833508083,0.0007606764121437372,0.10159468650817871,ok
alpha,0.1,8000,40,0.1,normal,0.3,259495031,-0.0073317574965570675,0.0015485053947422887,0.002811431884765625,-0.0007293791881574343,0.0010724757128090453,0.09488654136657715,ok
alpha,0.1,8000,40,0.1,normal,0.3,1051880743,-0.0019255954103353052,0.00029317215494942,0.0018548965454101562,0.009867192708992435,2.8403384896837132e-05,0.06498861312866211,ok
alpha,0.1,8000,40,0.1,normal,0.3,470475814,-0.013615319243806039,0.0009748086944348745,0.0018529891967773438,-0.026402041260642762,0.000339856764373521,0.11330771446228027,ok
alpha,0.1,8000,40,0.1,normal,0.3,1472501943,-0.02275702852460111,0.0017810622248777173,0.0017421245574951172,0.006331551248537284,0.00017197838978254813,0.049066781997680664,ok
alpha,0.1,8000,40,0.1,normal,0.3,2954173373,-0.007474811545577303,5.194715084800193e-05,0.0018596649169921875,-0.02000467334082751,2.832820367842007e-05,0.05763864517211914,ok
alpha,0.1,8000,40,0.1,normal,0.3,4125618433,-0.013874719200145876,0.0009353281341159882,0.0026133060455322266,-0.013184814787703253,0.0008936052229263827,0.07649827003479004,ok
alpha,0.1,8000,40,0.1,normal,0.3,2320123009,-0.001102409662557684,0.003029337420579626,0.002557992935180664,0.0030141015299296582,0.0034994238369610844,0.11542868614196777,ok
alpha,0.1,8000,40,0.1,normal,0.3,2690882795,-0.002721506128304393,0.0010597365950557468,0.002378225326538086,0.004393256412689057,0.0006471342340989592,0.11566972732543945,ok
alpha,0.1,8000,40,0.1,normal,0.3,2841777980,-0.00840964063809692,0.0006347530504596666,0.0017135143280029297,0.02681141526972904,0.00010053571545005063,0.07328152656555176,ok
alpha,0.1,8000,40,0.1,normal,0.3,3452587823,-0.022383717967835826,3.5362769642752614e-06,0.0024569034576416016,-0.01661530645616294,5.850583394875313e-05,0.12107253074645996,ok
alpha,0.1,8000,40,0.1,normal,0.3,1346599503,-0.012045535341671064,0.003820295645247603,0.0017635822296142578,-0.0014483117104482747,0.002622598947684145,0.06581735610961914,ok
alpha,0.1,8000,40,0.1,normal,0.3,1989427189,0.005070976788460015,0.0030807052040367103,0.0017685890197753906,-0.011758709659813713,0.0014957103243481954,0.08980321884155273,ok
