param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
alpha,0.1,8000,40,0.1,uniform,0.3,781020512,-0.016756242202141333,0.00028104843290448277,0.0022459030151367188,-0.0018554910453366339,3.4735567104470343e-06,0.09137392044067383,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2678185529,0.019895118627769843,0.0003960303959372554,0.0021009445190429688,-0.005589560122220263,3.118291321974361e-05,0.09022712707519531,ok
alpha,0.1,8000,40,0.1,uniform,0.3,727841268,-0.00914649835729085,8.36367506828997e-05,0.0022759437561035156,0.017487512674401573,0.00030585455728532015,0.09046530723571777,ok
alpha,0.1,8000,40,0.1,uniform,0.3,4204554059,-0.0025279749042856512,6.403163856097107e-06,0.0019426345825195312,-0.0036525199277664634,1.3358969344053278e-05,0.08618330955505371,ok
alpha,0.1,8000,40,0.1,uniform,0.3,259495031,-0.011813775001398654,0.00013959128803117413,0.0014789104461669922,0.0025611452985424103,6.5538283049943345e-06,0.046304941177368164,ok
alpha,0.1,8000,40,0.1,uniform,0.3,947380072,0.02929269284010439,0.0008580390359517336,0.0017936229705810547,0.004187351445865929,1.7530650476642846e-05,0.08356380462646484,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2028053869,-0.001564795829888923,2.4569140478153903e-06,0.0017135143280029297,-0.011160868425820042,0.00012462434034280252,0.05585026741027832,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1369685350,0.016469077368688224,0.00027114625425671523,0.0014293193817138672,0.018119681664099534,0.00032823016340993206,0.08341193199157715,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1051880743,-0.003984906867615755,1.589070228385612e-05,0.001516580581665039,-0.029947048206463617,0.0008969099995505803,0.04770207405090332,ok
alpha,0.1,8000,40,0.1,uniform,0.3,470475814,0.013180733103300278,0.00017366557289387574,0.0017638206481933594,0.015021313374082296,0.0002255644647426601,0.07518625259399414,ok
alpha,0.1,8000,40,0.1,uniform,0.3,4125618433,-0.01685971842895896,0.00028424375366503657,0.0023648738861083984,0.011016795471604493,0.00012137393306020973,0.06509065628051758,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1472501943,-0.0038078842570034173,1.449750047997604e-05,0.001430511474609375,0.007406050751373989,5.4854415417157e-05,0.04787254333496094,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2690882795,0.013096332434611672,0.00017151056230303334,0.0017452239990234375,0.032181121711404456,0.0010356163358823639,0.08451437950134277,ok
alpha,0.1,8000,40,0.1,uniform,0.3,3452587823,-0.012435287930184495,0.00015427224472503606,0.0014157295227050781,-0.009063665082805372,8.188467260813116e-05,0.045623064041137695,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2320123009,-0.009912768548009638,9.81626217249175e-05,0.0021185874938964844,0.014638362793598331,0.0002144299300591879,0.08526158332824707,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2954173373,-0.015661282961183746,0.0002452977649401242,0.002170562744140625,-0.012020426721878202,0.00014450752961979191,0.0889897346496582,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2841777980,-0.014212529833202078,0.00020216830154148817,0.0014338493347167969,-0.008793468843368174,7.743171077190781e-05,0.05541181564331055,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1989427189,0.0005644598770293034,3.1302011073238826e-07,0.001535177230834961,-0.03571721161634646,0.0012760748220468734,0.04575753211975098,ok
alpha,0.1,8000,40,0.1,uniform,0.3,3926379781,0.015638227150067255,0.00024432776664964,0.002246379852294922,-0.010437054624315215,0.00010908328527898259,0.049707889556884766,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1346599503,0.012152436676353693,0.0001477741332976048,0.0017817020416259766,0.000234701055973332,5.688360060664126e-08,0.08281826972961426,ok
alpha,0.1,8000,40,0.1,uniform,0.3,312743187,-0.002008915692210905,4.002168516646812e-06,0.001771688461303711,0.0002171615311902233,5.086611186744731e-08,0.04611039161682129,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1803210951,-0.0047640730427779155,2.2755261499302292e-05,0.0013630390167236328,0.007621697272744326,5.7996187293885e-05,0.04648256301879883,ok
alpha,0.1,8000,40,0.1,uniform,0.3,4243162185,-0.009583067768467854,9.184255990065331e-05,0.0018377304077148438,-0.006652801373008704,4.4264884009343424e-05,0.08500051498413086,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2387800701,-2.5560327601915623e-05,5.931781313932037e-10,0.001954317092895508,0.003211504416695007,1.0321502304133556e-05,0.08788895606994629,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1139351029,-0.00149808858759268,2.2334036205874153e-06,0.0012857913970947266,0.010523859268474385,0.0001108280503703179,0.04576230049133301,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2390268618,-0.0009510139193198911,9.07925994918402e-07,0.002719402313232422,0.0010165978926470211,1.0297384759761193e-06,0.08800816535949707,ok
alpha,0.1,8000,40,0.1,uniform,0.3,3387436816,0.02314867924132024,0.0005357047030335974,0.001622915267944336,-0.00019622320964093686,3.984294132906567e-08,0.042313337326049805,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1705053442,0.008071535817026168,6.517482892585433e-05,0.0013489723205566406,-0.00830706658703019,6.898148816947594e-05,0.0493474006652832,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1863184316,-0.015820921084944827,0.00025018039016072856,0.0019154548645019531,-0.013565919121606937,0.00018393027829495515,0.08437108993530273,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1100160589,0.021228862459086235,0.0004506094529138632,0.0018925666809082031,0.018344287696576363,0.00033646523648674944,0.07282018661499023,ok
alpha,0.1,8000,40,0.1,uniform,0.3,845025431,-0.013491150246194033,0.00018209891084523976,0.0013699531555175781,-0.04945526846420576,0.0024461453156438624,0.05701804161071777,ok
alpha,0.1,8000,40,0.1,uniform,0.3,3194031095,0.008566941049271066,7.336940207522042e-05,0.0019495487213134766,0.0013003468597260895,1.687400735403609e-06,0.08505821228027344,ok
alpha,0.1,8000,40,0.1,uniform,0.3,2142071295,0.005441171122982692,2.9573447479885228e-05,0.0014824867248535156,-0.007971086504016366,6.358643341999877e-05,0.050641775131225586,ok
alpha,0.1,8000,40,0.1,uniform,0.3,4045147272,0.018344910399836534,0.0003366726853819789,0.00171661376953125,-0.02977111326819459,0.000886096975455601,0.049877166748046875,ok
alpha,0.1,8000,40,0.1,uniform,0.3,3329482216,-0.011939177366876887,0.00014246864252378847,0.0019893646240234375,-0.005937784093858403,3.5219828737085815e-05,0.06587576866149902,ok
alpha,0.1,8000,40,0.1,uniform,0.3,378778862,-0.011538445509043843,0.00013320631714363522,0.0019140243530273438,-0.009461032594023507,8.956902216533215e-05,0.04959821701049805,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1974704002,0.007785122023280444,6.058934041174554e-05,0.0014438629150390625,-0.01926111565036021,0.00037103705576709364,0.08764362335205078,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1531504262,-0.013619509475189525,0.00018550480339391017,0.001963376998901367,-0.005419650417691305,2.9378088369157263e-05,0.0462031364440918,ok
alpha,0.1,8000,40,0.1,uniform,0.3,1972023672,-0.014669997097222498,0.00021507130859940897,0.001581430435180664,0.027654885820947293,0.0007650519906065901,0.0903160572052002,ok
alpha,0.1,8000,40,0.1,uniform,0.3,4214505796,0.009541757329846776,9.093852959506698e-05,0.0020966529846191406,0.03212938047046231,0.0010319380565221548,0.08967089653015137,ok
