param_name,param_value,n,m,alpha,distribution,true_mean,seed,dame_estimate,dame_mse,dame_time,kent_estimate,kent_mse,kent_time,status
n,40,40,40,0.6,binomial,0.3,781020512,0.1274992640656765,0.8602548848423716,0.0006053447723388672,-0.039713248597297704,0.5780359443584745,0.0008792877197265625,ok
n,40,40,40,0.6,binomial,0.3,2678185529,-0.23609325741776557,0.3179908143297065,0.00040340423583984375,-0.3,0.25,0.0006427764892578125,ok
n,40,40,40,0.6,binomial,0.3,727841268,-0.13721849439253087,0.4392793241753037,0.0003437995910644531,-0.43233108701026673,0.13518042957905207,0.0005855560302734375,ok
n,40,40,40,0.6,binomial,0.3,4204554059,-0.16883738672797347,0.4639825057195764,0.0002808570861816406,0.27103142620845744,1.2567114585469679,0.0005166530609130859,ok
n,40,40,40,0.6,binomial,0.3,947380072,-0.37408074384448176,0.18140721276407,0.00036454200744628906,0.06826040672718844,0.7538761338900628,0.0005512237548828125,ok
n,40,40,40,0.6,binomial,0.3,259495031,-0.2729794295953014,0.3329527386701637,0.0002944469451904297,-0.07174761986356329,0.6056767671880288,0.0005331039428710938,ok
n,40,40,40,0.6,binomial,0.3,1369685350,-0.07555976052753047,0.5248136605669291,0.00027823448181152344,-0.03590418111203393,0.5838424204420715,0.0005197525024414062,ok
n,40,40,40,0.6,binomial,0.3,2028053869,-0.3758113438187989,0.17993601603281328,0.0014159679412841797,-0.0515637415202709,0.5601568330071359,0.0005741119384765625,ok
n,40,40,40,0.6,binomial,0.3,470475814,-0.18760091355148578,0.37503264108297485,0.00038433074951171875,-0.4,0.16000000000000003,0.0006465911865234375,ok
n,40,40,40,0.6,binomial,0.3,1051880743,0.023972172796271087,0.7638273588222351,0.0003135204315185547,-0.08377954102662091,0.5870937917493757,0.0005364418029785156,ok
n,40,40,40,0.6,binomial,0.3,2690882795,-0.28970796380075675,0.26039796220836986,0.0005865097045898438,0.0950124566053624,0.8010472974787658,0.0007543563842773438,ok
n,40,40,40,0.6,binomial,0.3,4125618433,-0.05747452496271586,0.6280966285830728,0.0003788471221923828,-0.3,0.30250000000000005,0.0011768341064453125,ok
n,40,40,40,0.6,binomial,0.3,2320123009,-0.2047796616165202,0.35428725122534427,0.0005137920379638672,-0.092654063271955,0.5003382742056754,0.0005657672882080078,ok
n,40,40,40,0.6,binomial,0.3,1472501943,-0.5005311831610556,0.08968157225891725,0.001056671142578125,-0.3495308290357315,0.20292247398923538,0.0006291866302490234,ok
n,40,40,40,0.6,binomial,0.3,2954173373,-0.1528096875625416,0.41885530051289516,0.00037360191345214844,-0.06407879835601663,0.5415800150291246,0.0014531612396240234,ok
n,40,40,40,0.6,binomial,0.3,3452587823,-0.33544024620498075,0.21581576484608894,0.0004115104675292969,0.1,0.81,0.0024056434631347656,ok
n,40,40,40,0.6,binomial,0.3,2841777980,-0.2525557672589102,0.2996951879614805,0.0006687641143798828,0.11439413287561803,0.8361166302373535,0.002215862274169922,ok
n,40,40,40,0.6,binomial,0.3,1346599503,-0.11688009524159165,0.466652804277137,0.0003635883331298828,0.23217566208459642,1.0653865973997751,0.0029134750366210938,ok
n,40,40,40,0.6,binomial,0.3,1989427189,-0.05371446199741095,0.5569421042318139,0.0003399848937988281,-0.02009634350830025,0.6082497134091233,0.0005450248718261719,ok
n,40,40,40,0.6,binomial,0.3,2387800701,-0.40230058078697883,0.1581648280423744,0.00028514862060546875,0.0,0.6400000000000001,0.0005364418029785156,ok
n,40,40,40,0.6,binomial,0.3,3926379781,-0.4387868726626629,0.1304749233608193,0.0002532005310058594,-0.09189546604659378,0.5014120310053706,0.0005211830139160156,ok
